
[00:00:00.000 --> 00:00:01.920]  在過去的壽苦日
[00:00:01.920 --> 00:00:04.360]  我們在城鎮家
[00:00:04.360 --> 00:00:07.800]  講了兩個故事
[00:00:07.800 --> 00:00:09.600]  一個是人的故事
[00:00:09.600 --> 00:00:12.840]  是政治彌賽亞的故事
[00:00:12.840 --> 00:00:15.800]  另一個是神的故事
[00:00:15.800 --> 00:00:19.440]  是壽苦彌賽亞的故事
[00:00:19.440 --> 00:00:21.920]  人的故事是古舊的
[00:00:21.920 --> 00:00:26.680]  是關乎人的暴力的神話
[00:00:26.680 --> 00:00:31.160]  我們說這是政治彌賽亞的故事
[00:00:31.160 --> 00:00:32.640]  它的訊息是怎樣呢?
[00:00:32.640 --> 00:00:37.360]  它的訊息是暴力可以拯救
[00:00:37.360 --> 00:00:40.640]  暴力將錯的事情修正
[00:00:40.640 --> 00:00:42.200]  做得正、做得對
[00:00:42.200 --> 00:00:46.160]  所以要以暴抑暴
[00:00:46.160 --> 00:00:52.680]  Might能夠將事情變成Right
[00:00:52.680 --> 00:00:57.000]  但是神是寫下另一個故事
[00:00:57.000 --> 00:00:59.560]  就是壽苦彌賽亞的故事
[00:00:59.560 --> 00:01:01.840]  是禮拜五我們詩班
[00:01:01.840 --> 00:01:07.080]  所唱出的彌賽亞的歌曲、神曲的故事
[00:01:07.080 --> 00:01:09.760]  是我們所細聽的故事
[00:01:09.760 --> 00:01:11.160]  在故事當中
[00:01:11.160 --> 00:01:14.360]  原來耶穌基督是壽苦的彌賽亞
[00:01:14.360 --> 00:01:17.360]  祂不是政治的彌賽亞
[00:01:17.360 --> 00:01:23.360]  祂不是人間那種超級的英雄
[00:01:23.360 --> 00:01:28.480]  祂反而是被那些有權勢的人陷害
[00:01:28.480 --> 00:01:30.440]  雖然如此
[00:01:30.440 --> 00:01:33.800]  耶穌基督是沒有以暴抑暴
[00:01:33.800 --> 00:01:35.760]  沒有用暴力
[00:01:35.760 --> 00:01:40.120]  使事情做得對、正確
[00:01:40.120 --> 00:01:44.680]  耶穌基督沒有用超級的力量去報仇
[00:01:44.680 --> 00:01:49.800]  而是以超級的寬恕去勝過我們
[00:01:49.800 --> 00:01:54.800]  耶穌基督沒有用權勢、沒有用位置來壓我們
[00:01:54.800 --> 00:01:57.200]  反而祂倒空自己
[00:01:57.200 --> 00:01:59.800]  要給我們生命的福氣
[00:01:59.800 --> 00:02:02.920]  祂變得低下
[00:02:02.920 --> 00:02:07.920]  以致能夠在下面將我們托上來
[00:02:07.920 --> 00:02:11.400]  祂這樣做是因為祂愛我們
[00:02:11.400 --> 00:02:14.520]  祂要救贖我們
[00:02:14.520 --> 00:02:17.800]  神的愛就是這樣的權能
[00:02:17.800 --> 00:02:20.320]  就是這樣的力量
[00:02:20.320 --> 00:02:25.640]  是能夠將事情做得對、做得正確
[00:02:25.640 --> 00:02:28.080]  在今天的下午中午
[00:02:28.080 --> 00:02:30.440]  我們一同要經歷這個愛
[00:02:30.440 --> 00:02:32.280]  我們再接續
[00:02:32.280 --> 00:02:34.320]  禮拜五我們所領受的
[00:02:34.320 --> 00:02:35.600]  而在今午
[00:02:35.600 --> 00:02:39.440]  我們要講到我們怎樣去回應
[00:02:39.440 --> 00:02:43.800]  我們怎樣回應耶穌基督受苦的彌賽亞
[00:02:43.800 --> 00:02:46.560]  祂那種的愛
[00:02:46.560 --> 00:02:49.320]  我們同心禱告
[00:02:49.320 --> 00:02:52.040]  「真愛主,我們愛祢」
[00:02:52.040 --> 00:02:54.800]  「但我們可以愛得更加的深」
[00:02:54.800 --> 00:02:57.200]  「如今我們眾弟兄姊妹們」
[00:02:57.200 --> 00:02:59.080]  「在祢聖所當中」
[00:02:59.080 --> 00:03:01.040]  「在復活的主日」
[00:03:01.040 --> 00:03:04.880]  「我們去經歷祢的愛、回應祢的愛」
[00:03:04.880 --> 00:03:09.160]  「主啊,我們眾人我們的心是預備好」
[00:03:09.160 --> 00:03:11.160]  「我們要尋殺祢」
[00:03:11.160 --> 00:03:12.960]  「我們要找祢」
[00:03:12.960 --> 00:03:15.920]  「好像莫大拉的瑪利亞」
[00:03:15.920 --> 00:03:18.080]  「要去找祢」
[00:03:18.080 --> 00:03:22.640]  「主啊,我們求祢讓我們對祢有經歷」
[00:03:22.640 --> 00:03:24.400]  「我們這樣的禱告」
[00:03:24.400 --> 00:03:26.960]  「是奉主耶穌基督的名字求」
[00:03:26.960 --> 00:03:29.640]  「阿們」
[00:03:29.640 --> 00:03:35.880]  在十六年的二月二日的年初二的主日學當中
[00:03:35.880 --> 00:03:38.000]  有一個六歲的小朋友
[00:03:38.000 --> 00:03:39.680]  一個四歲的小朋友
[00:03:39.680 --> 00:03:44.480]  分別在主日學當中作出他們新年的祈禱
[00:03:44.480 --> 00:03:47.160]  其中六歲的那位就這樣說
[00:03:47.160 --> 00:03:51.520]  「神啊,希望今年我讀書讀得好」
[00:03:51.520 --> 00:03:55.600]  「能夠在五名之內」
[00:03:55.600 --> 00:03:58.480]  另一位是四歲的小朋友
[00:03:58.480 --> 00:03:59.640]  他就說
[00:03:59.640 --> 00:04:01.760]  「神啊,我愛祢」
[00:04:01.760 --> 00:04:03.800]  「祝祢吉大利」
[00:04:03.800 --> 00:04:06.120]  「和出入平安」
[00:04:06.120 --> 00:04:08.320]  「和新年快樂」
[00:04:08.320 --> 00:04:10.720]  「和萬事如意」
[00:04:10.720 --> 00:04:13.440]  「和吃得快樂」
[00:04:13.440 --> 00:04:16.400]  「我愛祢」
[00:04:16.400 --> 00:04:20.840]  接著在周圍畫了很多的心心
[00:04:20.840 --> 00:04:23.160]  你喜歡哪一個祈禱呢?
[00:04:23.160 --> 00:04:26.360]  我也挺喜歡第二個
[00:04:26.360 --> 00:04:30.560]  因為這個小朋友有一個單純的心
[00:04:30.560 --> 00:04:33.200]  單純的愛心
[00:04:33.200 --> 00:04:34.040]  弟兄姊妹們
