
[00:00:00.000 --> 00:00:05.760]  我們感覺到現在的世代有很多的紛亂
[00:00:05.760 --> 00:00:08.240]  大聖經又給我們指引
[00:00:08.240 --> 00:00:09.760]  願意我們一同學習
[00:00:09.760 --> 00:00:11.240]  我們一起禱告
[00:00:11.240 --> 00:00:15.080]  天父我們求祢帶領
[00:00:15.080 --> 00:00:17.840]  我們一起看到祢的話語
[00:00:17.840 --> 00:00:19.560]  又願意祢的真理
[00:00:19.560 --> 00:00:22.080]  帶領著我們應該走的路
[00:00:22.080 --> 00:00:25.120]  就算環境怎樣的紛亂
[00:00:25.120 --> 00:00:26.840]  我們知道在祢裡面
[00:00:26.840 --> 00:00:28.840]  我們能夠有力量去走過
[00:00:28.840 --> 00:00:30.880]  並且有盼望
[00:00:30.880 --> 00:00:31.760]  我們這樣祈禱
[00:00:31.760 --> 00:00:33.400]  奉主耶穌基督的名
[00:00:33.400 --> 00:00:35.760]  阿們
[00:00:35.760 --> 00:00:37.800]  大家不知道有沒有聽過一隊樂隊
[00:00:37.800 --> 00:00:39.880]  叫「太極樂隊」
[00:00:39.880 --> 00:00:41.640]  應該都挺出名的
[00:00:41.640 --> 00:00:43.640]  他們作了一首歌
[00:00:43.640 --> 00:00:45.720]  叫做「末世警號」
[00:00:45.720 --> 00:00:49.080]  這個主題我定了是「末世警號」
[00:00:49.080 --> 00:00:53.120]  原來這首歌又真的是「末世警號」
[00:00:53.120 --> 00:00:56.120]  這首歌詞是這樣的
[00:00:56.120 --> 00:01:00.760]  說動盪時日裡一切也是灰暗
[00:01:00.760 --> 00:01:04.440]  亮著末世警號天天的倒數
[00:01:04.440 --> 00:01:07.160]  充斥的紛爭
[00:01:07.160 --> 00:01:09.840]  換上傷感的氣氛
[00:01:09.840 --> 00:01:13.960]  若要強食裡只有接受苦群
[00:01:13.960 --> 00:01:17.920]  就像沒有通道可找到更好
[00:01:17.920 --> 00:01:20.240]  心中變得冷感
[00:01:20.240 --> 00:01:23.280]  世界也變得失了態
[00:01:23.280 --> 00:01:26.480]  這一刻充滿憤怒的氣焰
[00:01:26.480 --> 00:01:28.240]  這一的爭鬥
[00:01:28.240 --> 00:01:31.120]  此事不可終止
[00:01:31.120 --> 00:01:34.960]  知不知一世有著的意義
[00:01:34.960 --> 00:01:36.800]  怎能制止
[00:01:36.800 --> 00:01:40.360]  盼望戰亂可終止
[00:01:40.360 --> 00:01:42.120]  非常之
[00:01:42.120 --> 00:01:43.080]  好像
[00:01:43.080 --> 00:01:44.960]  很灰暗的圖畫
[00:01:44.960 --> 00:01:47.440]  但是同時也是很真實
[00:01:47.440 --> 00:01:49.920]  我們今天面對很多的環境
[00:01:49.920 --> 00:01:51.520]  很亂
[00:01:51.520 --> 00:01:55.440]  然後這首歌最後有一個
[00:01:55.440 --> 00:01:57.920]  很期盼的一句話
[00:01:57.920 --> 00:02:02.560]  他說只想了解存在意義
[00:02:02.560 --> 00:02:03.520]  重複重複
[00:02:03.520 --> 00:02:04.800]  然後他說
[00:02:04.800 --> 00:02:07.760]  只想可了解存在意義
[00:02:07.760 --> 00:02:09.160]  究竟有什麼意義呢
[00:02:09.160 --> 00:02:10.880]  其實也在學習
[00:02:10.880 --> 00:02:14.440]  太極樂隊也提出了一個呼喊
[00:02:14.440 --> 00:02:17.520]  這個呼喊說到人生很多的鬥爭
[00:02:17.520 --> 00:02:20.520]  人與人之間很多的傷痛
[00:02:20.520 --> 00:02:25.280]  國與國之間很多的紛亂
[00:02:25.280 --> 00:02:27.440]  好像很無奈
[00:02:27.440 --> 00:02:31.520]  在黑暗的日子裡
[00:02:31.520 --> 00:02:32.800]  但是也有一個期盼
[00:02:32.800 --> 00:02:35.520]  希望這些事情能夠早日止息
[00:02:35.520 --> 00:02:39.000]  也希望找到人生的意義
[00:02:39.000 --> 00:02:40.600]  我想今天我們面對的
[00:02:40.600 --> 00:02:43.320]  就是伊巴的戰爭
[00:02:43.320 --> 00:02:46.080]  我們每天都看報紙很緊張
[00:02:46.080 --> 00:02:49.920]  留意新聞究竟事情發生到怎樣
[00:02:49.920 --> 00:02:53.520]  是否這個戰亂可以快些停止呢
[00:02:53.520 --> 00:02:57.400]  由俄烏的戰爭還沒有平息
