
[00:00:00.000 --> 00:00:03.000]  上一次跟大家講到
[00:00:03.000 --> 00:00:07.000]  尼泊格尼撒這個皇帝是發了一個夢
[00:00:07.000 --> 00:00:12.000]  他不能夠解釋這個夢究竟是代表甚麼
[00:00:12.000 --> 00:00:14.000]  甚至他告訴別人
[00:00:14.000 --> 00:00:17.000]  他已經忘記了這個夢
[00:00:17.000 --> 00:00:20.000]  相信大家還記得我跟大家講
[00:00:20.000 --> 00:00:24.000]  尼泊格尼撒絕對可能是記得這個夢
[00:00:24.000 --> 00:00:27.000]  但他是告訴別人他忘記了
[00:00:27.000 --> 00:00:28.000]  為甚麼他要這樣做
[00:00:28.000 --> 00:00:33.000]  因為他想看看身邊的哲士是否真的有了
[00:00:33.000 --> 00:00:36.000]  是否當他講了一個夢給這些哲士聽
[00:00:36.000 --> 00:00:41.000]  這些哲士就會隨便講解一些東西給他聽
[00:00:41.000 --> 00:00:43.000]  隨便給他解釋
[00:00:43.000 --> 00:00:48.000]  還是他們真真正正明白到這個夢的意思
[00:00:48.000 --> 00:00:50.000]  最好的測試辦法
[00:00:50.000 --> 00:00:53.000]  就是如果他不講這個夢給他們聽
[00:00:53.000 --> 00:00:57.000]  他們能夠講出這個夢的內容
[00:00:57.000 --> 00:00:58.000]  然後幫他解釋
[00:00:58.000 --> 00:01:03.000]  他就可以知道這人所給他的解釋是正確
[00:01:03.000 --> 00:01:04.000]  是講得對
[00:01:04.000 --> 00:01:12.000]  其實耶穌基督自己在馬太高音24章15節
[00:01:12.000 --> 00:01:13.000]  曾經說
[00:01:13.000 --> 00:01:16.000]  「你們看見先知但以理所說的
[00:01:16.000 --> 00:01:20.000]  那行為壞可憎的站在聖地」
[00:01:20.000 --> 00:01:22.000]  然後有個括弧
[00:01:22.000 --> 00:01:27.000]  寫著「讀者經的人需要回憶」
[00:01:27.000 --> 00:01:29.000]  讀者經的人需要回憶
[00:01:29.000 --> 00:01:31.000]  意思是甚麼
[00:01:31.000 --> 00:01:34.000]  即是耶穌基督是要我們回憶
[00:01:34.000 --> 00:01:40.000]  要我們明白但以理書裏面的寓言
[00:01:40.000 --> 00:01:43.000]  這個寓言是絕對可以明白
[00:01:43.000 --> 00:01:45.000]  是可以給我們回憶
[00:01:45.000 --> 00:01:46.000]  為甚麼
[00:01:46.000 --> 00:01:50.000]  因為其實這個寓言自己是解釋給我們聽
[00:01:50.000 --> 00:01:53.000]  經文但以理書裏面解釋得很清楚
[00:01:53.000 --> 00:01:56.000]  這個寓言究竟是甚麼意思
[00:01:56.000 --> 00:01:59.000]  所以我們每個人都應該能夠解釋
