
[00:00:00.000 --> 00:00:02.880]  我今天講一道題目是「聖靈的工作」
[00:00:02.880 --> 00:00:07.120]  這類題目我們不常講的
[00:00:07.120 --> 00:00:10.000]  不知道大家對於聖靈的認識有多少
[00:00:10.000 --> 00:00:13.000]  在這裡想考考你們
[00:00:13.000 --> 00:00:15.440]  這裡有幾句說話
[00:00:15.440 --> 00:00:17.760]  如果你覺得他說得對
[00:00:17.760 --> 00:00:19.480]  你認同的就舉手
[00:00:19.480 --> 00:00:22.760]  舉高一點,不然我看不到你
[00:00:22.760 --> 00:00:24.000]  開始了
[00:00:30.400 --> 00:00:33.640]  神用六天創造天地,對嗎?
[00:00:33.640 --> 00:00:36.000]  對,舉手
[00:00:36.000 --> 00:00:38.560]  舉高一點,肯定一點
[00:00:38.560 --> 00:00:39.840]  對,好
[00:00:39.840 --> 00:00:40.920]  接著
[00:00:40.920 --> 00:00:44.080]  耶穌死後第三天復活
[00:00:44.080 --> 00:00:46.480]  對,好
[00:00:46.480 --> 00:00:48.480]  神是三位一體的
[00:00:48.480 --> 00:00:49.920]  嗯,很肯定
[00:00:49.920 --> 00:00:50.480]  好
[00:00:50.480 --> 00:00:54.040]  三位一體是聖父、聖子、聖經
[00:00:54.040 --> 00:00:55.440]  嘩
[00:00:55.440 --> 00:00:56.880]  幸好收得快
[00:00:56.880 --> 00:01:01.280]  那些時候我真是很怕你們舉了不收
[00:01:01.280 --> 00:01:03.400]  不要笑
[00:01:03.400 --> 00:01:05.920]  因為有一位牧師
[00:01:05.920 --> 00:01:09.200]  他在美國牧了十多年
[00:01:09.200 --> 00:01:13.080]  他看到美國教會有兩個現象
[00:01:13.080 --> 00:01:18.920]  就是有一類教會是很不重視聖靈的
[00:01:18.920 --> 00:01:22.720]  但是有一類教會就經常提及
[00:01:22.720 --> 00:01:25.240]  或者很著重聖靈的工作
[00:01:25.240 --> 00:01:29.840]  他有一次被邀請到一間教會講道
[00:01:29.840 --> 00:01:31.240]  崇拜之前
[00:01:31.240 --> 00:01:35.680]  那間教會的執事會主席走過來與牧師聊天
[00:01:35.680 --> 00:01:37.400]  他跟牧師說
[00:01:37.400 --> 00:01:39.800]  牧師,你今天講聖靈嗎?
[00:01:39.800 --> 00:01:41.280]  你小心一點
[00:01:41.280 --> 00:01:43.320]  我們教會的三位一體就是
[00:01:43.320 --> 00:01:45.680]  聖父、聖子、聖經
[00:01:45.680 --> 00:01:47.200]  這位牧師就說
[00:01:47.200 --> 00:01:51.440]  嘩,原來我們教會是異端來的
[00:01:51.440 --> 00:01:55.120]  到底我們應該怎樣去理解聖靈呢?
[00:01:55.120 --> 00:01:57.560]  我相信如果我們要認識聖靈
[00:01:57.560 --> 00:02:00.560]  我們必須要回到聖經
[00:02:00.560 --> 00:02:04.960]  今天我想藉著剛才主席與我們讀的經文
[00:02:04.960 --> 00:02:10.560]  來看看主耶穌對聖靈有什麼教導
[00:02:10.560 --> 00:02:13.560]  在講關於聖靈的教導之前
[00:02:13.560 --> 00:02:16.200]  我想先和大家重溫一下
[00:02:16.200 --> 00:02:18.360]  一點點的上文
[00:02:18.360 --> 00:02:20.280]  在《約翰福音》裡面
[00:02:20.280 --> 00:02:25.160]  耶穌有七次宣告祂的身份
[00:02:25.160 --> 00:02:26.960]  就是這七次
[00:02:26.960 --> 00:02:29.120]  到了第十五章的時候
[00:02:29.120 --> 00:02:32.200]  就是祂最後一次宣告祂的身份
[00:02:32.200 --> 00:02:35.960]  祂就是「真葡萄樹」
[00:02:35.960 --> 00:02:39.440]  意思是信徒與主耶穌之間
[00:02:39.440 --> 00:02:41.680]  有一個密不可分的關係
[00:02:41.680 --> 00:02:43.720]  因著這個關係
[00:02:43.720 --> 00:02:45.240]  這個親密的關係
[00:02:45.240 --> 00:02:48.680]  信徒就能夠多結果子
[00:02:48.680 --> 00:02:52.280]  這些「果子」就是信徒在各方面
[00:02:52.280 --> 00:02:54.440]  遵照耶穌的吩咐
[00:02:54.440 --> 00:02:59.600]  來實踐表現出來的生命質素
[00:02:59.600 --> 00:03:01.760]  我們可以想像
[00:03:01.760 --> 00:03:04.080]  一個與主耶穌這麼親密的
[00:03:04.080 --> 00:03:08.880]  又能夠實踐信仰出來的人
[00:03:08.880 --> 00:03:10.880]  他在這個世界上
[00:03:10.880 --> 00:03:15.480]  肯定是與世界的價值觀背道而馳的
[00:03:15.480 --> 00:03:21.200]  他們也會被世界排擠和恨惡
[00:03:21.200 --> 00:03:22.080]  既然如此
[00:03:22.080 --> 00:03:23.680]  主耶穌來了之後
[00:03:23.680 --> 00:03:26.760]  那群門徒怎麼辦呢?
[00:03:26.760 --> 00:03:30.120]  於是耶穌就在第十五章
[00:03:30.120 --> 00:03:32.560]  來安慰那些門徒
[00:03:32.560 --> 00:03:34.640]  祂在十五章的尾章
[00:03:34.640 --> 00:03:37.680]  就說到祂會在天父那裡
[00:03:37.680 --> 00:03:41.920]  差派聖靈這位保衛師來到
[00:03:41.920 --> 00:03:44.400]  然後來到十六章這一段
[00:03:44.400 --> 00:03:50.520]  耶穌就進一步講解這位保衛師的工作
[00:03:50.520 --> 00:03:53.720]  在這裡我想先解釋一下
[00:03:53.720 --> 00:03:56.920]  「保衛師」這個字的意思
[00:03:56.920 --> 00:04:01.400]  這個字的原文原來是由兩個字組合而成
[00:04:01.400 --> 00:04:04.240]  一個就是「被呼喚出來」
[00:04:04.240 --> 00:04:07.880]  另一個就是「站在旁邊」
[00:04:07.880 --> 00:04:15.840]  組合的意思是「被呼喚出來站在旁邊作幫助」
[00:04:15.840 --> 00:04:20.200]  這個字在不同的場合有不同的用途
[00:04:20.200 --> 00:04:23.840]  在法庭
[00:04:23.840 --> 00:04:27.120]  保衛師就是被呼喚出來
[00:04:27.120 --> 00:04:31.120]  在當中作見證的證人
[00:04:31.120 --> 00:04:33.840]  在戰場上
[00:04:33.840 --> 00:04:36.040]  有情緒低落的士兵
[00:04:36.040 --> 00:04:39.880]  這個保衛師就是被呼喚出來
[00:04:39.880 --> 00:04:43.520]  去安慰鼓勵這些士兵的人
[00:04:43.520 --> 00:04:46.680]  故此保衛師有多方面的功能
[00:04:46.680 --> 00:04:50.120]  今天我就想從這段經文來看一下
[00:04:50.120 --> 00:04:53.400]  保衛師其中三項的工作
