
[00:00:00.000 --> 00:00:04.000]  相信我們也試過有一些很好的經驗
[00:00:04.000 --> 00:00:06.000]  我們會跟別人分享
[00:00:06.000 --> 00:00:08.000]  例如我們看了一本好書
[00:00:08.000 --> 00:00:11.000]  我們參與了一些課程
[00:00:11.000 --> 00:00:16.000]  記得去年十一月有一部電影非常賣座
[00:00:16.000 --> 00:00:18.000]  有一位姊妹跟我分享
[00:00:18.000 --> 00:00:20.000]  她看了四次
[00:00:20.000 --> 00:00:24.000]  她說這部電影帶給她很多的反思
[00:00:24.000 --> 00:00:28.000]  這部電影主要提及家人關係的矛盾
[00:00:28.000 --> 00:00:30.000]  人與人之間的聯繫
[00:00:30.000 --> 00:00:33.000]  以及一些生死的議題等
[00:00:33.000 --> 00:00:35.000]  我看完這部電影的時候
[00:00:35.000 --> 00:00:37.000]  我也有很多的反省
[00:00:37.000 --> 00:00:41.000]  特別當中有幾個片段都很觸動我的心
[00:00:41.000 --> 00:00:46.000]  所以之後我也跟一些弟兄姊妹和朋友分享
[00:00:46.000 --> 00:00:47.000]  如果你還沒有看這部電影
[00:00:47.000 --> 00:00:48.000]  我也鼓勵他們
[00:00:48.000 --> 00:00:51.000]  這部電影都是值得一看
[00:00:51.000 --> 00:00:55.000]  我想我們跟別人分享一些美好經驗
[00:00:55.000 --> 00:00:58.000]  是一些很自然的事
[00:00:58.000 --> 00:01:02.000]  如果這些事是關乎我們一生的事
[00:01:02.000 --> 00:01:06.000]  我相信我們不得不分享
[00:01:06.000 --> 00:01:11.000]  這個星期是基督教傳統中之主日
[00:01:11.000 --> 00:01:14.000]  是御虎期最後的一週
[00:01:14.000 --> 00:01:16.000]  這個星期被稱為聖週
[00:01:16.000 --> 00:01:19.000]  又或者是受難週
[00:01:19.000 --> 00:01:22.000]  是揭開主耶穌在世的使命
[00:01:22.000 --> 00:01:27.000]  為世人贖罪和成就救恩的序幕
[00:01:27.000 --> 00:01:31.000]  讓這個星期我們也有一些安靜的空間
[00:01:31.000 --> 00:01:37.000]  來紀念主耶穌為世人釘十架的愛和救贖
[00:01:37.000 --> 00:01:43.000]  預備我們自己的心靈來迎接主復的喜悅
[00:01:43.000 --> 00:01:46.000]  今天這段經文是主耶穌騎奴進城
[00:01:46.000 --> 00:01:49.000]  進入耶路撒冷的一個記載
[00:01:49.000 --> 00:01:52.000]  在《馬可福音》裡面清楚記載
[00:01:52.000 --> 00:01:56.000]  這個星期耶穌有三次進入耶路撒冷
[00:01:56.000 --> 00:02:00.000]  而這一次是第一次進城的一段記載
[00:02:00.000 --> 00:02:02.000]  在十九章二十八節
[00:02:02.000 --> 00:02:04.000]  耶穌說完了者話
[00:02:04.000 --> 00:02:08.000]  這裡是指在上文第十九章第十一節
[00:02:08.000 --> 00:02:10.000]  耶穌將近耶路撒冷的時候
[00:02:10.000 --> 00:02:15.000]  同群眾剛剛講完十定銀紙的比喻
[00:02:15.000 --> 00:02:20.000]  這個比喻是教導一個如何做一個忠心的僕人
[00:02:20.000 --> 00:02:23.000]  當神一國來臨的時候
[00:02:23.000 --> 00:02:26.000]  每一個信徒都將要面對審判
[00:02:26.000 --> 00:02:30.000]  為自己所做的事來交帳
[00:02:30.000 --> 00:02:32.000]  在這個比喻之後
[00:02:32.000 --> 00:02:34.000]  就是今天的經文第二十八節
[00:02:34.000 --> 00:02:36.000]  記載耶穌上耶路撒冷
[00:02:36.000 --> 00:02:41.000]  將近橄欖山上的八法奇同八大利
[00:02:41.000 --> 00:02:45.000]  這個地方正是從耶利歌城
[00:02:45.000 --> 00:02:48.000]  去耶路撒冷必經的地方
[00:02:48.000 --> 00:02:51.000]  耶穌打發兩個門徒
[00:02:51.000 --> 00:02:55.000]  往對面的村子去牽一匹驢驅來
[00:02:55.000 --> 00:02:58.000]  接著耶穌騎上驢進入城
[00:02:58.000 --> 00:03:01.000]  門徒就大聲來到去讚美
[00:03:01.000 --> 00:03:06.000]  奉主命來的王是應當稱眾的
[00:03:06.000 --> 00:03:09.000]  有幾個法利菜人聽到
[00:03:09.000 --> 00:03:11.000]  他們非常不高興
[00:03:11.000 --> 00:03:12.000]  他們就跟耶穌說
[00:03:12.000 --> 00:03:15.000]  「夫子 擲避你的門徒吧」
[00:03:15.000 --> 00:03:17.000]  耶穌回答他們
[00:03:17.000 --> 00:03:21.000]  「我告訴你們 若果他們閉口不說
[00:03:21.000 --> 00:03:25.000]  這些石頭必要呼叫起來」
[00:03:25.000 --> 00:03:27.000]  耶穌進城
[00:03:27.000 --> 00:03:32.000]  在四卷福音都是有記載的
[00:03:32.000 --> 00:03:36.000]  但是路加所記載的焦點
[00:03:36.000 --> 00:03:39.000]  和內容卻是有不同
[00:03:39.000 --> 00:03:43.000]  馬太 馬可都有提及群眾
[00:03:43.000 --> 00:03:48.000]  用砍下來的樹枝來鋪在路上
[00:03:48.000 --> 00:03:51.000]  獨有約翰來描述
[00:03:51.000 --> 00:03:53.000]  很多來過節的人
[00:03:53.000 --> 00:03:58.000]  是拿著棕樹枝來迎接耶穌
[00:03:58.000 --> 00:04:04.000]  路加在這段經文連樹枝都沒有提及
[00:04:04.000 --> 00:04:07.000]  除此之外 三卷福音都有提及
[00:04:07.000 --> 00:04:10.000]  群眾在高呼和撒罵
[00:04:10.000 --> 00:04:14.000]  希伯來語的意思就是叩聖你來拯救
[00:04:14.000 --> 00:04:19.000]  是出自詩篇第118篇第25節
[00:04:19.000 --> 00:04:22.000]  我們看到在路加這段經文裡
[00:04:22.000 --> 00:04:26.000]  他都沒有特別的記載
[00:04:26.000 --> 00:04:30.000]  今天早上願意我們從路加福音
[00:04:30.000 --> 00:04:32.000]  他記載的重點
[00:04:32.000 --> 00:04:36.000]  是思想主耶穌進入耶路撒冷的情景
[00:04:36.000 --> 00:04:39.000]  耶穌和門徒所說的話
[00:04:39.000 --> 00:04:43.000]  幫助我們在受難週的開始
[00:04:43.000 --> 00:04:46.000]  來紀念主
[00:04:46.000 --> 00:04:50.000]  今天想和大家有三點的分享
[00:04:50.000 --> 00:04:54.000]  第一 耶穌是一位謙卑的君王
[00:04:54.000 --> 00:04:58.000]  第二 耶穌是和平的君王
[00:04:58.000 --> 00:05:03.000]  第三 耶穌忠於祂的使命
[00:05:03.000 --> 00:05:08.000]  在路加福音第19章第30到31節
[00:05:08.000 --> 00:05:10.000]  耶穌是和門徒說
[00:05:10.000 --> 00:05:12.000]  你們去對面的村
[00:05:12.000 --> 00:05:13.000]  進去的時候
[00:05:13.000 --> 00:05:17.000]  你會見到一匹驢驅山在那裡
[00:05:17.000 --> 00:05:22.000]  是從來沒有人騎過的
[00:05:22.000 --> 00:05:25.000]  這一句是從來沒有人騎過的
