
[00:00:00.000 --> 00:00:04.680]  今次我們回來的主題就是「心靈的頻道」
[00:00:04.680 --> 00:00:09.480]  正如我所說,我們屬靈的心靈是有少許收音機的
[00:00:09.480 --> 00:00:12.880]  我們需要收到上帝對我們的聲音
[00:00:12.880 --> 00:00:15.240]  我們沒有調整好我們的收音機
[00:00:15.240 --> 00:00:16.880]  很多時候我們生活忙碌的時候
[00:00:16.880 --> 00:00:18.440]  我們就沒有調整好
[00:00:18.440 --> 00:00:20.480]  所以我們就聽不到上帝的聲音
[00:00:20.480 --> 00:00:23.520]  或者我們沒有一個習慣去練習一下
[00:00:23.520 --> 00:00:25.480]  怎樣去調校天線
[00:00:25.480 --> 00:00:26.480]  調校那個頻道
[00:00:26.480 --> 00:00:32.120]  是不是上帝可以讓我們說話和聽到上帝說話的那個頻道
[00:00:32.120 --> 00:00:34.360]  上帝一向都是在說話的
[00:00:34.360 --> 00:00:35.680]  而我們呢
[00:00:35.680 --> 00:00:37.680]  就是在聽著這個意思
[00:00:37.680 --> 00:00:41.720]  上一次我們講到牧羊人和羊的關係
[00:00:41.720 --> 00:00:43.000]  記得嗎?
[00:00:43.000 --> 00:00:45.160]  上帝,就是耶穌基督
[00:00:45.160 --> 00:00:47.000]  就是牧羊人
[00:00:47.000 --> 00:00:50.320]  而我們就是牠們的一群羊仔
[00:00:50.320 --> 00:00:51.920]  羊仔就是做什麼的?
[00:00:51.920 --> 00:00:56.600]  就是要聽見和認得到牧羊人的聲音
[00:00:56.600 --> 00:00:58.120]  要我們認得到的時候
[00:00:58.120 --> 00:01:01.840]  我們才能夠知道上帝怎樣帶領我們
[00:01:01.840 --> 00:01:03.480]  所以有時候是
[00:01:03.480 --> 00:01:05.680]  你想想,如果你信了主這麼久
[00:01:05.680 --> 00:01:06.840]  你要了解
[00:01:06.840 --> 00:01:08.400]  我們和上帝之間的關係
[00:01:08.400 --> 00:01:11.280]  不是純粹頭腦上的內容
[00:01:11.280 --> 00:01:12.720]  我們可以思考很多東西
[00:01:12.720 --> 00:01:17.880]  或者去拆掉很多難的概念
[00:01:17.880 --> 00:01:19.640]  我們明白得到等等
[00:01:19.640 --> 00:01:22.520]  但還是需要用心去感受
[00:01:22.520 --> 00:01:24.960]  我們和上帝之間的關係是一個緊密的關係
[00:01:24.960 --> 00:01:27.960]  羊和牧羊人就是一個這樣的比喻
[00:01:27.960 --> 00:01:29.640]  這次我們用另一個比喻
[00:01:29.640 --> 00:01:35.600]  就是「我是葡萄樹,你們是枝子」這個比喻
[00:01:35.600 --> 00:01:39.240]  就是說耶穌就是葡萄樹
[00:01:39.240 --> 00:01:43.760]  我們就是枝子(Vine and branches)
[00:01:43.760 --> 00:01:47.200]  我們想用這個比喻來入手去想一想
[00:01:47.200 --> 00:01:50.280]  到底我們怎樣和上帝之間去建立這個關係
[00:01:50.280 --> 00:01:53.960]  怎樣聽到祂的聖音和跟祂有一個連結
[00:01:53.960 --> 00:01:57.560]  這裡就是約翰福音第十五章
[00:01:57.560 --> 00:02:01.600]  耶穌說到他和門徒之間的關係
[00:02:01.600 --> 00:02:03.320]  他和你之間的關係
[00:02:03.320 --> 00:02:06.400]  就是一個葡萄樹的樹幹
[00:02:06.400 --> 00:02:09.600]  和那些橫枝枝子的關係
[00:02:09.600 --> 00:02:12.520]  這個如果是從小到大在教會長大的
[00:02:12.520 --> 00:02:15.640]  應該都很懂得這個比喻
[00:02:15.640 --> 00:02:18.360]  我們以前小時候主教學
[00:02:18.360 --> 00:02:20.320]  我們都唱一些不合音的歌
[00:02:20.320 --> 00:02:24.040]  「葡萄樹,主是葡萄樹,我們是枝子」
[00:02:24.040 --> 00:02:26.040]  居然記到現在
[00:02:26.040 --> 00:02:27.960]  合音的那些是未必記得的
[00:02:27.960 --> 00:02:29.960]  不合音的記到現在
[00:02:29.960 --> 00:02:34.400]  但是那個比喻就是一個農田的比喻
[00:02:34.400 --> 00:02:37.720]  是在約翰福音第十五章出現的
[00:02:37.720 --> 00:02:41.640]  這一段的聖經約翰福音第十五章中間
[00:02:41.640 --> 00:02:44.040]  就是講到我們和主之間的關係
[00:02:44.040 --> 00:02:46.280]  這一段的說話
[00:02:46.280 --> 00:02:48.880]  耶穌和門徒所講的
[00:02:48.880 --> 00:02:50.440]  對他們的叮嚀
[00:02:50.440 --> 00:02:53.440]  就是在約翰福音的後半段
[00:02:53.440 --> 00:02:56.040]  十三至十七章
[00:02:56.040 --> 00:02:58.120]  這一段的聖經如果你聽過的話
[00:02:58.120 --> 00:02:59.240]  我們都講過了
[00:02:59.240 --> 00:03:01.520]  就是一個道別的講話
[00:03:01.520 --> 00:03:03.480]  Farewell Speech
[00:03:03.480 --> 00:03:05.000]  Farewell Sermon
[00:03:05.000 --> 00:03:08.320]  就是耶穌臨離開這個世界之前
[00:03:08.320 --> 00:03:09.760]  臨上十駕之前
[00:03:09.760 --> 00:03:12.600]  他和門徒一些的說話
[00:03:12.600 --> 00:03:15.080]  你看到十三章開始就告訴我們
[00:03:15.080 --> 00:03:16.840]  這裡有些分別
[00:03:16.840 --> 00:03:18.320]  因為十三章打後
[00:03:18.320 --> 00:03:20.120]  就是一些很重要的講話
[00:03:20.120 --> 00:03:21.320]  重要的事跡
[00:03:21.320 --> 00:03:23.520]  重要的事件發生的
[00:03:23.520 --> 00:03:24.480]  十三章第一節
[00:03:24.480 --> 00:03:26.160]  他說御越節以前
[00:03:26.160 --> 00:03:29.360]  晚餐的時候發生什麼事?
[00:03:29.360 --> 00:03:30.560]  就是大家吃飯
[00:03:30.560 --> 00:03:32.440]  就是御越節的晚餐
[00:03:32.440 --> 00:03:34.600]  然後耶穌吃飯的時候
[00:03:34.600 --> 00:03:36.120]  他就離席了
