
[00:00:00.000 --> 00:00:02.360]  各位領姊妹 早安
[00:00:02.360 --> 00:00:06.880]  不知道大家今早已經收到溫馨提示了嗎?
[00:00:06.880 --> 00:00:10.560]  由你一起床 可能你已經收到溫馨提示
[00:00:10.560 --> 00:00:13.480]  「今天上課 別遲到」
[00:00:13.480 --> 00:00:16.280]  又或者年近歲晚
[00:00:16.280 --> 00:00:18.920]  公司都會不斷收電郵
[00:00:18.920 --> 00:00:21.880]  「我們要交數了」
[00:00:21.880 --> 00:00:26.640]  「明天有個很重要的會議 千萬別遲到」
[00:00:26.640 --> 00:00:30.680]  所以 溫馨提示 其實簡單來說
[00:00:30.680 --> 00:00:33.200]  只是一個提示而已
[00:00:33.200 --> 00:00:36.080]  「減粗」就放了個「溫馨」上去
[00:00:36.080 --> 00:00:39.680]  讓你看完之後 都「嘎啲」的意思
[00:00:39.680 --> 00:00:41.120]  所以溫馨提示
[00:00:41.120 --> 00:00:43.600]  就是可能在我們深夜的時候
[00:00:43.600 --> 00:00:45.800]  看《義不容情》的時候
[00:00:45.800 --> 00:00:47.160]  聽到一個廣告
[00:00:47.160 --> 00:00:49.080]  「信感冒靈提提你」
[00:00:49.080 --> 00:00:51.080]  「現在已經是夜深了」
[00:00:51.080 --> 00:00:53.280]  「請將音量收細」
[00:00:53.280 --> 00:00:55.040]  剛才主席也提醒我們
[00:00:55.040 --> 00:00:58.560]  將那些「響鬧裝置」調到「震機」
[00:00:58.560 --> 00:00:59.480]  為什麼?
[00:00:59.480 --> 00:01:02.480]  因為很想讓我們和身邊的頂姊妹
[00:01:02.480 --> 00:01:06.360]  能夠專心地去崇拜神
[00:01:06.360 --> 00:01:10.000]  所以提示對我們來說 是很重要的
[00:01:10.000 --> 00:01:13.680]  如果不重要 就不會去提醒我們
[00:01:13.680 --> 00:01:16.440]  所以今天保羅給提摩太
[00:01:16.440 --> 00:01:19.040]  給我們的溫馨提示
[00:01:19.040 --> 00:01:24.720]  其實都是很重要 很重要 很重要的提示
[00:01:24.720 --> 00:01:29.600]  提摩太后書是保羅所寫的最後一封書信
[00:01:29.600 --> 00:01:32.880]  是保羅在監獄裡面
[00:01:32.880 --> 00:01:36.720]  最後一個絕筆的書信
[00:01:36.720 --> 00:01:40.280]  來給他屬靈的兒子提摩太
[00:01:40.280 --> 00:01:42.440]  這一刻我想起最近有一位牧師
[00:01:42.440 --> 00:01:43.920]  他說他自己很絕
[00:01:43.920 --> 00:01:47.720]  不斷地去送一些絕版書
[00:01:47.720 --> 00:01:51.720]  這些書其實都是他認為很重要
[00:01:51.720 --> 00:01:56.440]  在裡面的內容都很能夠成為我們生命的激勵
[00:01:56.440 --> 00:01:59.400]  以致他能夠在當中去送出
[00:01:59.400 --> 00:02:01.880]  整本提摩太后書裡面
[00:02:01.880 --> 00:02:06.480]  有很多給提摩太的提醒和教導
[00:02:06.480 --> 00:02:09.080]  如果說我們要用一個標題
[00:02:09.080 --> 00:02:11.680]  來說提摩太后書的話
[00:02:11.680 --> 00:02:14.280]  我會用第一章的第六節
[00:02:14.280 --> 00:02:15.280]  保羅這樣說
[00:02:15.280 --> 00:02:19.840]  「為此我提醒你」
[00:02:19.840 --> 00:02:22.720]  盼望今天這幾節的經文
[00:02:22.720 --> 00:02:25.760]  都成為我們眾人的提醒
[00:02:25.760 --> 00:02:29.200]  使我們能夠在這個時代裡面
[00:02:29.200 --> 00:02:32.840]  我們能夠有力繼續活出我們的生命
[00:02:32.840 --> 00:02:36.080]  讓我們一起低頭禱告
[00:02:36.080 --> 00:02:39.880]  親愛的天父 多謝你賜下你寶貴的話語
[00:02:39.880 --> 00:02:43.600]  讓我們都能夠在當中藉著你的話語
[00:02:43.600 --> 00:02:45.960]  當我們去到實踐的時候
[00:02:45.960 --> 00:02:49.640]  我們的生命就能夠變得不再一樣
[00:02:49.640 --> 00:02:53.120]  天父你也讓我們過去有很多歷代的
[00:02:53.120 --> 00:02:55.320]  我們的眾弟兄姊妹
[00:02:55.320 --> 00:02:57.480]  他們的生命和我們都是一樣
[00:02:57.480 --> 00:02:58.880]  都是軟弱
[00:02:58.880 --> 00:03:00.400]  都是有限制
[00:03:00.400 --> 00:03:04.840]  但是當他們願意專心去定徵仰望
[00:03:04.840 --> 00:03:07.040]  跟從你的吩咐的時候
[00:03:07.040 --> 00:03:10.680]  他們的生命卻帶來不一樣的改變
[00:03:10.680 --> 00:03:13.680]  主人就願意這一份活潑的生命
[00:03:13.680 --> 00:03:16.400]  同樣都在我們眾人裡面
[00:03:16.400 --> 00:03:19.400]  能夠彰顯求你的話語
[00:03:19.400 --> 00:03:21.000]  再次向我們顯明
[00:03:21.000 --> 00:03:22.960]  多謝您垂聽我們的禱告
[00:03:22.960 --> 00:03:25.480]  奉耶穌基督得勝的名求
[00:03:25.480 --> 00:03:26.920]  阿們
[00:03:26.920 --> 00:03:28.680]  還記不記得上個星期
[00:03:28.680 --> 00:03:34.600]  色清傳道的講題是什麼?
[00:03:34.600 --> 00:03:38.760]  「不要同流合污」
[00:03:38.760 --> 00:03:42.160]  講到三章第一個部分裡面一些寫照
[00:03:42.160 --> 00:03:44.560]  色清傳道讓我們看到
[00:03:44.560 --> 00:03:49.880]  聖經裡面所說的二十一種惡的雜性
[00:03:49.880 --> 00:03:52.440]  我不知道你看的時候有什麼體會
