
[00:00:00.000 --> 00:00:03.980]  多謝施班為我們獻唱了一首
[00:00:03.980 --> 00:00:05.980]  我都不太認識的詩歌
[00:00:05.980 --> 00:00:10.080]  但我相信帶出一個心意
[00:00:10.080 --> 00:00:12.080]  就是我們獻情在神面前
[00:00:12.080 --> 00:00:14.080]  對神在主日
[00:00:14.080 --> 00:00:17.580]  特別在聖誕節來臨的時候
[00:00:17.580 --> 00:00:22.480]  向神顯示出我們的敬愛
[00:00:22.480 --> 00:00:25.780]  多謝神的帶領
[00:00:25.780 --> 00:00:31.280]  進入聖誕節的主日
[00:00:31.280 --> 00:00:33.780]  我們思想到希伯來書
[00:00:33.780 --> 00:00:36.280]  仍然給我們一些訊息
[00:00:36.280 --> 00:00:38.780]  你能看多元
[00:00:38.780 --> 00:00:42.280]  我們先一起來看希伯來書和合本
[00:00:42.280 --> 00:00:47.280]  十一章一至六節
[00:00:47.280 --> 00:00:50.280]  我們一起同聲讀出
[00:00:50.280 --> 00:00:53.780]  信就是所望之事的實體
[00:00:53.780 --> 00:00:56.280]  是未見之事的確據
[00:00:56.280 --> 00:01:00.280]  古人在這信上得了美好的證據
[00:01:00.280 --> 00:01:02.280]  我們因著信
[00:01:02.280 --> 00:01:06.280]  就知道諸世界是藉神話造成的
[00:01:06.280 --> 00:01:08.280]  這樣所看見的
[00:01:08.280 --> 00:01:11.780]  並不是從顯然之物數出來的
[00:01:11.780 --> 00:01:13.780]  阿伯因著信
[00:01:13.780 --> 00:01:15.280]  獻祭於神
[00:01:15.280 --> 00:01:17.780]  比該人所獻的更美
[00:01:17.780 --> 00:01:20.780]  因此便得了輕易的見證
[00:01:20.780 --> 00:01:24.280]  就是神指他禮物作的見證
[00:01:24.280 --> 00:01:26.280]  他雖然死了
[00:01:26.280 --> 00:01:27.780]  卻因著信
[00:01:27.780 --> 00:01:29.280]  也就是說
[00:01:29.280 --> 00:01:30.780]  以諾因著信
[00:01:30.780 --> 00:01:33.780]  被接去的不至於見死
[00:01:33.780 --> 00:01:35.780]  人也找不著他
[00:01:35.780 --> 00:01:38.780]  因為神已經把他接去了
[00:01:38.780 --> 00:01:41.780]  只是他被接去以先
[00:01:41.780 --> 00:01:44.780]  已經得了神喜悅他的明證
[00:01:44.780 --> 00:01:46.780]  人非有信
[00:01:46.780 --> 00:01:48.780]  就不能得神的喜悅
[00:01:48.780 --> 00:01:51.280]  因為到神面前來的人
[00:01:51.280 --> 00:01:53.280]  必須信有神
[00:01:53.280 --> 00:01:56.780]  且信他賞賜那尋求他的人
[00:01:56.780 --> 00:01:58.280]  讓我們一起的
[00:01:58.280 --> 00:02:01.280]  在同聲同心的一起禱告
[00:02:01.280 --> 00:02:03.280]  蒼天造地
[00:02:03.280 --> 00:02:06.280]  有賜我們生命氣息的神
[00:02:06.280 --> 00:02:10.280]  我們靠賴耶穌基督赦罪的恩典
[00:02:10.280 --> 00:02:14.280]  能夠今日成為你的兒女和後子
[00:02:14.280 --> 00:02:15.780]  今朝早上
[00:02:15.780 --> 00:02:18.780]  我們再一次來到你的面前
[00:02:18.780 --> 00:02:21.280]  謙虛我們的心
[00:02:21.280 --> 00:02:24.280]  求主幫助我們遠離人性
[00:02:24.280 --> 00:02:26.280]  安心逝庭
