
[00:00:00.000 --> 00:00:03.360]  靜姐妹 早安 平安
[00:00:03.360 --> 00:00:08.440]  過去幾個星期 我們從農曆新年開始
[00:00:08.440 --> 00:00:10.940]  我們就看八福 是不是啊?
[00:00:10.940 --> 00:00:15.900]  就是在《馬太福音》裏面 八福 耶穌所說的
[00:00:15.900 --> 00:00:21.020]  知道真正的福氣不是一份只是物質上的富足
[00:00:21.020 --> 00:00:26.980]  之後梁銓導友帶我們看了怎樣在軟弱裏靠主剛強
[00:00:26.980 --> 00:00:31.320]  仍然是一種在我們的價值觀裏面很顛覆的
[00:00:31.320 --> 00:00:34.500]  在軟弱裏面都可以再次剛強
[00:00:34.500 --> 00:00:40.500]  上星期 劉契聰宣教士又帶我們看了這個世界的需要
[00:00:40.500 --> 00:00:45.200]  並且開始教導我們 不單止是頭腦上知道一些東西
[00:00:45.200 --> 00:00:50.700]  原來要落手落腳 原來要落水的 要參與的
[00:00:50.700 --> 00:00:55.380]  到今天 我都想再進一步和大家去看看
[00:00:55.380 --> 00:01:00.180]  第一次去思想我們其實真實在每一天裏面
[00:01:00.180 --> 00:01:04.180]  是怎樣可以實際地參與我們身邊的人的需要
[00:01:04.180 --> 00:01:09.320]  去看到神所關心的 看到神要我們看到
[00:01:09.320 --> 00:01:11.520]  哪些有需要的人的 好嗎?
[00:01:11.520 --> 00:01:15.940]  所以今天想和大家來看《雅各書》
[00:01:15.940 --> 00:01:21.300]  《雅各書》是一本智慧文學 其實看起來很普通的
[00:01:21.300 --> 00:01:23.300]  如果照讀 你每一句都明白的 是不是?
[00:01:23.300 --> 00:01:26.500]  就像剛才主席讀的時候 你不會覺得很難明很難解
[00:01:26.500 --> 00:01:28.500]  你都不知道他講什麼 你不會這樣的
[00:01:28.500 --> 00:01:34.280]  如果我們要思想聖經裏面 你選一些你覺得最難明的經文
[00:01:34.280 --> 00:01:39.580]  可能你會很容易選《啟示錄》那些 很難明很深
[00:01:39.580 --> 00:01:42.580]  《雅各書》這些一看就明白
[00:01:42.580 --> 00:01:46.580]  但有時候我們會慢慢再仔細去看聖經的時候
[00:01:46.580 --> 00:01:49.580]  我們就會發現真正難明的經文
[00:01:49.580 --> 00:01:54.580]  有時候往往是看起來表面很容易的經文
[00:01:54.580 --> 00:01:58.580]  《雅各書》看起來是很容易明白的
[00:01:58.580 --> 00:02:00.580]  每一隻字讀下來你都明白
[00:02:00.580 --> 00:02:05.580]  但往往就是這些表面很容易明白的經文
[00:02:05.580 --> 00:02:09.580]  今天我們就值得問 好像我們都知道的
[00:02:09.580 --> 00:02:12.580]  我們都不是不懂 我們都不是不明白
[00:02:12.580 --> 00:02:16.580]  對我們來說還有什麼震撼性呢?
[00:02:16.580 --> 00:02:20.580]  今天對我們的信仰這些經文 你看得明白
