
[00:00:00.000 --> 00:00:01.140]  我們領受神的位置前
[00:00:01.140 --> 00:00:02.200]  我們先帝替我們祈禱
[00:00:02.200 --> 00:00:04.420]  天主請求祢親自幫助我們
[00:00:04.420 --> 00:00:06.320]  讓我們能有一個開放的心
[00:00:06.320 --> 00:00:08.560]  讓我們有從祢而來的思維
[00:00:08.560 --> 00:00:11.160]  以致我們懂得如何檢討今天我們所做的工作
[00:00:11.160 --> 00:00:13.040]  究竟是否合乎神的心意
[00:00:13.040 --> 00:00:14.480]  帶領我們以後的時間
[00:00:14.480 --> 00:00:15.760]  聽我們在祢面前的教課
[00:00:15.760 --> 00:00:16.920]  祢奉主德性的名
[00:00:16.920 --> 00:00:17.520]  Amen
[00:00:17.520 --> 00:00:19.640]  無論我們傳福音
[00:00:19.640 --> 00:00:21.720]  或者我們做猜拳的事工
[00:00:21.720 --> 00:00:23.480]  我們都是想人們信耶穌
[00:00:23.480 --> 00:00:26.600]  但是我們想人們信耶穌的目的是什麼呢?
[00:00:26.840 --> 00:00:31.240]  我絕對反對一些基督徒很簡單的跟別人說
[00:00:31.240 --> 00:00:33.320]  信耶穌,你可以上天堂
[00:00:33.320 --> 00:00:34.840]  不信耶穌,你下地獄
[00:00:34.840 --> 00:00:36.760]  聖經沒有這些話的
[00:00:36.760 --> 00:00:37.960]  雖然這是一個事實
[00:00:37.960 --> 00:00:40.520]  我們不要這麼簡單化這些信息
[00:00:40.520 --> 00:00:42.840]  那些特別不信耶穌的人是很反感的
[00:00:42.840 --> 00:00:44.440]  我不打算上天堂
[00:00:44.440 --> 00:00:46.160]  我這些全部都是豬朋狗友
[00:00:46.160 --> 00:00:47.360]  我上天堂是很孤單的
[00:00:47.360 --> 00:00:48.520]  我的全部人都在下面
[00:00:48.520 --> 00:00:50.520]  以後我下去找他們,是不是?
[00:00:50.520 --> 00:00:53.680]  今天聖經裡面不是這麼說的
[00:00:54.200 --> 00:00:56.920]  當耶穌剛剛開始出來
[00:00:56.920 --> 00:00:59.880]  去實踐神給祂的使命
[00:00:59.880 --> 00:01:01.880]  傳天國的福音的時候
[00:01:01.880 --> 00:01:05.000]  祂在拿撒勒這個地方裡面
[00:01:05.000 --> 00:01:06.560]  祂到了會堂裡面
[00:01:06.560 --> 00:01:09.520]  祂就拿著舊約的經卷
[00:01:09.520 --> 00:01:11.600]  就是當日祂們的經典
[00:01:11.600 --> 00:01:13.600]  去讀了一段經文
[00:01:13.600 --> 00:01:15.640]  然後就說到這個預言
[00:01:15.640 --> 00:01:17.760]  現在應驗在你們的眼前
[00:01:17.760 --> 00:01:19.240]  就在我們身上了
[00:01:19.240 --> 00:01:21.440]  究竟這一段經文是什麼呢?
[00:01:21.440 --> 00:01:25.840]  《穆加福音》第四章十八、十九兩節
[00:01:25.840 --> 00:01:29.240]  「主的靈在我身上,因為祂用膏告我
[00:01:29.240 --> 00:01:31.640]  叫我傳福音給貧窮的人
[00:01:31.640 --> 00:01:33.040]  差遣我報告
[00:01:33.040 --> 00:01:34.920]  被擄的得釋放
[00:01:34.920 --> 00:01:36.600]  乞眼的得看見
[00:01:36.600 --> 00:01:38.720]  叫那受壓制的得自由
[00:01:38.720 --> 00:01:41.400]  報告神越立人的欺凌」
[00:01:41.400 --> 00:01:43.440]  耶穌一開始
[00:01:43.440 --> 00:01:45.880]  來帶我們去宣講天國福音的時候
[00:01:45.880 --> 00:01:48.240]  祂就讀這一段聖經
[00:01:48.240 --> 00:01:51.160]  祂說這就是我以後要做的內容
[00:01:51.160 --> 00:01:52.400]  以及我的方向
[00:01:52.400 --> 00:01:54.840]  其實這段經文是引用自
[00:01:54.840 --> 00:01:57.240]  以賽亞書六十一章的第一節
[00:01:57.240 --> 00:02:00.680]  但是如果我們又對照以賽亞書六十一章第一節的時候
[00:02:00.680 --> 00:02:03.400]  你會發覺當中有些事情是有不同的
[00:02:03.400 --> 00:02:05.880]  我們再讀以賽亞書六十一章的第一節
[00:02:05.880 --> 00:02:06.880]  我們一起來讀出
[00:02:06.880 --> 00:02:10.200]  「主耶和華的靈在我身上
[00:02:10.200 --> 00:02:13.080]  因為耶和華用膏告我
[00:02:13.080 --> 00:02:16.280]  叫我傳好信息給謙卑的人
[00:02:16.280 --> 00:02:19.160]  差遣我醫好傷心的人
[00:02:19.160 --> 00:02:21.640]  被擄得釋放
[00:02:21.640 --> 00:02:23.680]  被囚的出監牢」
[00:02:23.680 --> 00:02:26.480]  如果你留意到兩者對照的時候
[00:02:26.480 --> 00:02:28.480]  當中耶穌所引用的時候
[00:02:28.480 --> 00:02:30.080]  祂少了兩句話
[00:02:30.080 --> 00:02:31.880]  就是醫好傷心的人
[00:02:31.880 --> 00:02:33.280]  被囚的出監牢
