
[00:00:00.000 --> 00:00:02.000]  早晨呀,各位弟兄姊妹
[00:00:02.000 --> 00:00:03.000]  早晨
[00:00:03.000 --> 00:00:05.000]  唔知大家知唔知啦
[00:00:05.000 --> 00:00:09.000]  我係一個科技
[00:00:09.000 --> 00:00:11.000]  電腦嘅天才嚟㗎
[00:00:11.000 --> 00:00:16.000]  今日呢,我係第一次自己做PowerPoint
[00:00:16.000 --> 00:00:18.000]  跟住呢,自己撳掣㗎喎
[00:00:18.000 --> 00:00:22.000]  咁呢,如果今日啲PowerPoint呀嗰啲呢
[00:00:22.000 --> 00:00:23.000]  有咩問題呢
[00:00:23.000 --> 00:00:25.000]  咁我記住呢,就千祈唔好怪
[00:00:25.000 --> 00:00:27.000]  台後面嘅弟兄姊妹喎
[00:00:27.000 --> 00:00:30.000]  即係記住怪就怪我呢個天才,ok
[00:00:30.000 --> 00:00:33.000]  咁呢,有一日呢
[00:00:33.000 --> 00:00:36.000]  我就成朝喺度睇聖經
[00:00:36.000 --> 00:00:38.000]  睇書,睇電腦
[00:00:38.000 --> 00:00:41.000]  睇到好頭痛呀
[00:00:41.000 --> 00:00:43.000]  咁我就同我老公講
[00:00:43.000 --> 00:00:47.000]  我話,老公,我諗我呢排用腦太多
[00:00:47.000 --> 00:00:50.000]  即係搞到我自己好頭痛
[00:00:50.000 --> 00:00:53.000]  咁我老公就話,係咁㗎,媽咪
[00:00:53.000 --> 00:00:55.000]  全度書都係咁講
[00:00:55.000 --> 00:00:58.000]  跟住話,咦,係,真係咁㗎
[00:00:58.000 --> 00:01:02.000]  咁我就貪得意呢就走去呢個ChatGPT度問
[00:01:02.000 --> 00:01:04.000]  咁點算呀,咁樣
[00:01:04.000 --> 00:01:06.000]  咁你估佢點回應我呀,嗱
[00:01:06.000 --> 00:01:14.000]  嗱,屎,嗱,係我錯呀我
[00:01:14.000 --> 00:01:17.000]  咁呢,咁佢就話
[00:01:17.000 --> 00:01:20.000]  你想唔想我幫你呢,搵一個
[00:01:20.000 --> 00:01:24.000]  簡單,又唔頭痛
[00:01:24.000 --> 00:01:26.000]  嘅全度書
[00:01:26.000 --> 00:01:29.000]  閱讀路線圖呀,咁
[00:01:29.000 --> 00:01:32.000]  咁我想,咦,咁有趣,有啲咁嘅嘢嘅
[00:01:32.000 --> 00:01:35.000]  咁我就梗係拿拿聲撳啦,想睇下ChatGPT會點答我
[00:01:35.000 --> 00:01:37.000]  點解撳出嚟唔夠三秒啫
[00:01:37.000 --> 00:01:40.000]  個答案我即刻出咗嚟,不過好鬼死長
[00:01:40.000 --> 00:01:43.000]  跟住我睇,諗一諗我已經覺得,嘩,又好頭痛
[00:01:43.000 --> 00:01:46.000]  所以我決定唔睇,算吧啦
[00:01:46.000 --> 00:01:49.000]  咁呢,想再講一講
[00:01:49.000 --> 00:01:53.000]  全度書呢,係聖經舊約裏面其中一本
[00:01:53.000 --> 00:01:55.000]  即係智慧文學呀
[00:01:55.000 --> 00:01:58.000]  係深入探討人生嘅意義
