
[00:00:00.000 --> 00:00:03.240]  外面是炎寒的天氣
[00:00:03.240 --> 00:00:09.200]  進來後卻是寬騰與一個疲勞
[00:00:09.200 --> 00:00:12.480]  教會不是避寒中心
[00:00:12.480 --> 00:00:17.520]  而是容許那些心靈漂泊
[00:00:17.520 --> 00:00:21.800]  孤單受傷的人
[00:00:21.800 --> 00:00:24.200]  在這裡得到歇息
[00:00:24.200 --> 00:00:26.240]  在這裡得到歸宿
[00:00:26.240 --> 00:00:29.760]  教會是一個送暖的中心
[00:00:30.960 --> 00:00:34.120]  但不是送無煎送熱飯
[00:00:34.120 --> 00:00:40.560]  而是輸出溫暖平安和盼望
[00:00:40.560 --> 00:00:43.720]  在任何的處境當中
[00:00:43.720 --> 00:00:46.720]  教會作為一個社會分子
[00:00:46.720 --> 00:00:48.640]  我們關懷社區
[00:00:48.640 --> 00:00:52.680]  關懷社會的一個總綱
[00:00:52.680 --> 00:00:58.200]  但世界實在是變得太快
[00:01:01.000 --> 00:01:05.880]  這兩句是我過一年經常在公開講座
[00:01:05.880 --> 00:01:09.600]  或者做一些培訓班裏面
[00:01:09.600 --> 00:01:11.680]  通常做開場白
[00:01:11.680 --> 00:01:16.560]  就是我們活在一個出意外是新常態
[00:01:16.560 --> 00:01:19.000]  每一個新事物的發展
[00:01:19.000 --> 00:01:21.080]  無法預測 無法估計
[00:01:21.080 --> 00:01:24.120]  復原力是新的技能
[00:01:24.920 --> 00:01:31.880]  我們會很快能夠復原
[00:01:31.880 --> 00:01:34.640]  不是一蹶不振一沉不起
[00:01:34.640 --> 00:01:36.600]  我們有很多很多的意外
[00:01:36.600 --> 00:01:39.280]  很多的衝擊會來到
[00:01:39.280 --> 00:01:42.920]  個人如是 教會如是
[00:01:42.920 --> 00:01:44.960]  整個香港都如是
[00:01:44.960 --> 00:01:48.320]  誰能夠很快站起來
[00:01:48.320 --> 00:01:50.480]  那就是一個新的技能
[00:01:50.480 --> 00:01:51.600]  需要學習
[00:01:52.520 --> 00:01:56.800]  我選用的經文是舊約的代理書
[00:01:56.800 --> 00:02:00.680]  先知書很難讀
[00:02:00.680 --> 00:02:05.480]  先知書大部分內容是講歷史
[00:02:05.480 --> 00:02:08.120]  小部分是講預言
