
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,聖誕快樂!
[00:00:02.000 --> 00:00:03.000]  (聖誕快樂!)
[00:00:03.000 --> 00:00:07.000]  今日的確是值得我們一起快樂慶祝的時刻
[00:00:07.000 --> 00:00:11.000]  是紀念我們的主耶穌降生的奇妙的日子
[00:00:11.000 --> 00:00:14.000]  亦是我們知道在歷史當中
[00:00:14.000 --> 00:00:17.000]  上帝傾覆了一切罪惡的權勢
[00:00:17.000 --> 00:00:20.000]  是將生命賜給人
[00:00:20.000 --> 00:00:22.000]  我們紀念這個時刻
[00:00:22.000 --> 00:00:26.000]  亦都想到這個時刻我們快樂
[00:00:26.000 --> 00:00:28.000]  所以大願在這段聖誕節的期間
[00:00:28.000 --> 00:00:32.000]  上帝將那種天上的快樂和平安
[00:00:32.000 --> 00:00:34.000]  放在我們的心中
[00:00:34.000 --> 00:00:37.000]  讓我們更深刻地感受到
[00:00:37.000 --> 00:00:40.000]  上帝成就的救恩何其偉大
[00:00:40.000 --> 00:00:42.000]  今天是一個聖誕節的主日
[00:00:42.000 --> 00:00:45.000]  我們大家一起想念主給我們的恩惠
[00:00:45.000 --> 00:00:47.000]  我想大家在這個時候
[00:00:47.000 --> 00:00:50.000]  再一次在心裏面向主感恩
[00:00:50.000 --> 00:00:51.000]  我們祈禱
[00:00:51.000 --> 00:00:55.000]  求主自己將那份快樂放在你的心中
[00:00:55.000 --> 00:00:58.000]  大家好不好自己先有祈禱
[00:00:58.000 --> 00:01:00.000]  我們在一起思想聖經的說話
[00:01:00.000 --> 00:01:08.000]  我們同心祈禱
[00:01:08.000 --> 00:01:12.000]  生命的主我們同心感謝你
[00:01:12.000 --> 00:01:16.000]  感謝你成就了奇妙的拯救
[00:01:16.000 --> 00:01:19.000]  讓光照進黑暗當中
[00:01:19.000 --> 00:01:23.000]  讓光也照進我們的生命裏面
[00:01:23.000 --> 00:01:25.000]  主在我們過去
[00:01:25.000 --> 00:01:27.000]  活在一種沒有盼望
[00:01:27.000 --> 00:01:30.000]  不能夠知道明天的日子
[00:01:30.000 --> 00:01:33.000]  但是主在你的救恩臨到我們
[00:01:33.000 --> 00:01:36.000]  讓我們對生命有盼望
[00:01:36.000 --> 00:01:38.000]  也讓我們每一天
[00:01:38.000 --> 00:01:41.000]  有你永恆的主的同在
[00:01:41.000 --> 00:01:44.000]  我們可以在一切的環境當中
[00:01:44.000 --> 00:01:45.000]  仍然可以快樂
[00:01:45.000 --> 00:01:48.000]  因為知道天地的主
[00:01:48.000 --> 00:01:50.000]  在我們生命當中作王
[00:01:50.000 --> 00:01:53.000]  主我們感謝你
[00:01:53.000 --> 00:01:54.000]  我們敬拜你
[00:01:54.000 --> 00:01:58.000]  因為你的確是那位施行拯救的上帝
[00:01:58.000 --> 00:02:00.000]  如今我們到你的面前來
[00:02:00.000 --> 00:02:02.000]  我們再次獻上心中的感謝
[00:02:02.000 --> 00:02:05.000]  也在主的面前同心的禱告
[00:02:05.000 --> 00:02:09.000]  主求你給我們更多的認識你
[00:02:09.000 --> 00:02:11.000]  更完全的進入你的裏面
[00:02:11.000 --> 00:02:16.000]  讓我們得著你要應許賜給我們豐盛的生命
[00:02:16.000 --> 00:02:18.000]  在我們人生的路上
[00:02:18.000 --> 00:02:20.000]  主讓我們常常經歷到
[00:02:20.000 --> 00:02:23.000]  你給我們心中的保守
[00:02:23.000 --> 00:02:25.000]  給我們的快樂
[00:02:25.000 --> 00:02:27.000]  給我們內心的平安
[00:02:27.000 --> 00:02:29.000]  主如今我們仰望你
[00:02:29.000 --> 00:02:32.000]  也當我們打開聖經讀你的說話的時候
[00:02:32.000 --> 00:02:35.000]  求主的聖靈讓你的真理
[00:02:35.000 --> 00:02:39.000]  再次來到去鼓勵、安慰、引導我們的心靈
[00:02:39.000 --> 00:02:42.000]  讓我們進入你自己的裏面
[00:02:42.000 --> 00:02:44.000]  我們感謝、祈禱
[00:02:44.000 --> 00:02:46.000]  奉耶穌名字祈求
[00:02:46.000 --> 00:02:53.000]  我們今天一起再讀主耶穌降生的時候聖經的信息
[00:02:53.000 --> 00:02:58.000]  在《馬特科音》第二章提及到主耶穌降生的時候的情況
[00:02:58.000 --> 00:03:01.000]  我想當我自己讀這段經文的時候
[00:03:01.000 --> 00:03:04.000]  很自然就想起另一段經文
[00:03:04.000 --> 00:03:08.000]  這段經文大家會記得就是當主耶穌在地上
[00:03:08.000 --> 00:03:11.000]  講述到天國的道理的時候
[00:03:11.000 --> 00:03:13.000]  祂就講一個比喻
[00:03:13.000 --> 00:03:16.000]  祂說天國好像什麼呢?
[00:03:16.000 --> 00:03:21.000]  好像一個人發現在一塊田地裏面有一個寶貝
[00:03:21.000 --> 00:03:23.000]  太過珍貴了
[00:03:23.000 --> 00:03:26.000]  因此他心裏面就決定了做一件事情
[00:03:26.000 --> 00:03:29.000]  他去變賣自己一切所有的
[00:03:29.000 --> 00:03:34.000]  聖經講到他歡歡喜喜的變賣一切所有的
[00:03:34.000 --> 00:03:36.000]  要去買到這塊田
[00:03:36.000 --> 00:03:40.000]  以至他可以得著其中的寶貝
