
[00:00:00.000 --> 00:00:05.600]  一個健康的人生我們需要從各方面很認真的去規劃
[00:00:05.600 --> 00:00:07.800]  很嚴格的去要求自己
[00:00:07.800 --> 00:00:10.400]  那甚至一環扣一環
[00:00:10.400 --> 00:00:13.600]  你吃什麼 你什麼時候吃
[00:00:13.600 --> 00:00:18.200]  你睡覺的時間 還有你睡眠的品質和運動
[00:00:18.200 --> 00:00:23.000]  對我們的身體都有很極大的影響
[00:00:23.000 --> 00:00:26.000]  現在市面上也有很多不少的書
[00:00:26.000 --> 00:00:31.000]  出來跟你討論這些怎麼樣有健康的身體
[00:00:31.000 --> 00:00:36.400]  那至於如何的活出一個美好的人生
[00:00:36.400 --> 00:00:39.000]  你除了要吃喝拉撒睡之外
[00:00:39.000 --> 00:00:43.400]  你還有什麼是需要去自己改變
[00:00:43.400 --> 00:00:46.000]  提升你自己的生活品質
[00:00:46.000 --> 00:00:47.400]  這是非常重要的
[00:00:47.400 --> 00:00:50.600]  還有你要有良好的習慣
[00:00:50.600 --> 00:00:53.400]  所以我今天就想跟弟兄姊妹
[00:00:53.400 --> 00:00:56.200]  從一個神的角度我們來看
[00:00:56.200 --> 00:01:01.800]  我們要怎麼樣才能夠活出一個健康美好的人生
[00:01:01.800 --> 00:01:04.000]  讓我們低頭禱告
[00:01:04.000 --> 00:01:06.000]  天父我們感謝讚美你
[00:01:06.000 --> 00:01:11.400]  我們謝謝你照天照地還照了我們
[00:01:11.400 --> 00:01:15.000]  還把我預備了這宇宙間的一切
[00:01:15.000 --> 00:01:16.800]  讓我們來享受
[00:01:16.800 --> 00:01:22.200]  就是我們非常的向你認罪悔改
[00:01:22.200 --> 00:01:25.000]  因為我們有罪
[00:01:25.000 --> 00:01:27.000]  所以我們與你隔絕
[00:01:27.000 --> 00:01:30.400]  我們隨著自己的心意
[00:01:30.400 --> 00:01:32.600]  吃自己要吃的
[00:01:32.600 --> 00:01:35.600]  睡幾點鐘要睡就幾點鐘睡
[00:01:35.600 --> 00:01:42.000]  我們完全違背了主你照我們的規律和法則
[00:01:42.000 --> 00:01:45.200]  所以說我們今天再一次在你聖殿中
