
[00:00:00.000 --> 00:00:04.000]  請大家翻看四世紀的第六章,
[00:00:04.000 --> 00:00:07.000]  一到二十七節。
[00:00:07.000 --> 00:00:16.000]  從這個經文的結構來說,
[00:00:16.000 --> 00:00:20.000]  大家最少可以發現在經文裏面有兩個很特別的地方。
[00:00:20.000 --> 00:00:25.000]  沒錯,四世紀是講到以色列的百姓的敗壞,
[00:00:25.000 --> 00:00:27.000]  也講到他們復仇的時候,
[00:00:27.000 --> 00:00:30.000]  上帝給他們有回準的機會,
[00:00:30.000 --> 00:00:34.000]  把仇敵交在四世的手中。
[00:00:34.000 --> 00:00:36.000]  所以在四世紀當中,
[00:00:36.000 --> 00:00:38.000]  從開始到末了,
[00:00:38.000 --> 00:00:41.000]  當人呼喚神的時候,
[00:00:41.000 --> 00:00:44.000]  神就差遣了人,
[00:00:44.000 --> 00:00:47.000]  四世來幫助他們。
[00:00:47.000 --> 00:00:51.000]  但是這一次在四世紀的第六章裏面講到,
[00:00:51.000 --> 00:00:56.000]  以色列人要行耶華眼中看爲惡的事,
[00:00:56.000 --> 00:01:00.000]  卻在第六章裏面記載了兩個很特別的地方。
[00:01:00.000 --> 00:01:04.000]  第一個地方就是很清楚地講到,
[00:01:04.000 --> 00:01:11.000]  以色列百姓蒙受仇敵攻擊的事件。
[00:01:11.000 --> 00:01:14.000]  你看以前沒有講,
[00:01:14.000 --> 00:01:16.000]  就講到大大的西亞他們就停了,
[00:01:16.000 --> 00:01:20.000]  因爲就講到這些以色列百姓回準就復仇神就停了,
[00:01:20.000 --> 00:01:23.000]  沒有很清楚地來記載,
[00:01:23.000 --> 00:01:29.000]  以色列的百姓在最終受仇敵攻擊的細節。
[00:01:29.000 --> 00:01:32.000]  這個是四世紀第六章很特別的地方。
[00:01:32.000 --> 00:01:33.000]  第二個地方,
[00:01:33.000 --> 00:01:38.000]  這是在過去第一章到第五章沒有記載的,
[00:01:38.000 --> 00:01:44.000]  這是特別地把事實如何被複興過來做神的工作,
[00:01:44.000 --> 00:01:48.000]  這個記載很清楚地表露出來。
[00:01:48.000 --> 00:01:50.000]  人有生命的本源,
[00:01:50.000 --> 00:01:52.000]  人有生命的價值,
[00:01:52.000 --> 00:01:54.000]  人有生命的選擇,
[00:01:54.000 --> 00:01:58.000]  但是最終能夠讓神使用的人是怎麼樣的人?
[00:01:58.000 --> 00:02:09.000]  這是經過一個好像血的肉的悲哀的困苦的憂愁,
[00:02:09.000 --> 00:02:15.000]  種種的因素加起來的一個屬靈生命的成熟。
[00:02:15.000 --> 00:02:21.000]  所以今天你會看到四世紀記載當中的紀念,
[00:02:21.000 --> 00:02:28.000]  是經過了神在背後中所給他的熬念。
[00:02:28.000 --> 00:02:32.000]  弟兄們起來,
[00:02:32.000 --> 00:02:34.000]  其實上次跟大家來分享的時候,
[00:02:34.000 --> 00:02:40.000]  我覺得有一些弟兄們覺得好像牧師講到他們講得很重,
[00:02:40.000 --> 00:02:43.000]  就好像弟兄們一無是處,
