
[00:00:00.000 --> 00:00:05.240]  所以今天我想和大家分享關於我們需要意象的題目
[00:00:05.240 --> 00:00:07.200]  透過一個人物我們來分享
[00:00:07.200 --> 00:00:09.400]  就是保羅
[00:00:09.400 --> 00:00:12.520]  你可能讀過他很多相關的經文
[00:00:12.520 --> 00:00:14.520]  你可能了解他的生平
[00:00:14.520 --> 00:00:16.340]  但是有一件事
[00:00:16.340 --> 00:00:18.080]  是保羅的遭遇
[00:00:18.080 --> 00:00:20.720]  是令他整個人生大扭轉的
[00:00:20.720 --> 00:00:22.020]  我們一起看看
[00:00:22.020 --> 00:00:24.040]  究竟這個經文在哪裡
[00:00:24.040 --> 00:00:26.160]  就是《史達林傳》26章
[00:00:26.160 --> 00:00:28.760]  經文是1至23節
[00:00:28.760 --> 00:00:30.760]  但是我們不讀這麼多節
[00:00:30.760 --> 00:00:32.520]  我們就由第12節開始
[00:00:32.520 --> 00:00:33.500]  讀到第23節
[00:00:33.500 --> 00:00:35.500]  由第12節開始
[00:00:35.500 --> 00:00:40.740]  這是保羅人生的一個很大的轉變的開始
[00:00:40.740 --> 00:00:43.960]  我們有經文的時候一起讀
[00:00:43.960 --> 00:00:45.360]  第12節開始
[00:00:45.360 --> 00:00:46.520]  預備 1 2 起
[00:00:46.520 --> 00:00:49.980]  那時我領了祭司長的權柄
[00:00:49.980 --> 00:00:52.780]  和命令往大馬釋去
[00:00:52.780 --> 00:00:56.480]  王啊 我在路上響悟的時候
[00:00:56.480 --> 00:00:58.480]  看見從天發光
[00:00:58.480 --> 00:01:00.240]  比日頭還亮
[00:01:00.240 --> 00:01:01.840]  四面照著我
[00:01:01.840 --> 00:01:03.840]  並與我同行的人
[00:01:03.840 --> 00:01:06.040]  我們都匍匐倒在地
[00:01:06.040 --> 00:01:08.040]  我就聽見有聲音
[00:01:08.040 --> 00:01:10.780]  用希伯來話向我說
[00:01:10.780 --> 00:01:12.280]  蘇羅 蘇羅
[00:01:12.280 --> 00:01:14.040]  為什麼逼迫我
[00:01:14.040 --> 00:01:16.760]  你用腳踢刺是難的
[00:01:16.760 --> 00:01:19.560]  我說 主啊 你是誰
[00:01:19.560 --> 00:01:23.200]  主說 我就是你所逼迫的耶穌
[00:01:23.200 --> 00:01:24.920]  你起來站著
[00:01:24.920 --> 00:01:26.920]  我特意向你顯現
[00:01:26.920 --> 00:01:29.880]  要派你作執事 作見證
[00:01:29.880 --> 00:01:31.880]  將你所看見的事
[00:01:31.880 --> 00:01:34.440]  和我將要指示你的事
[00:01:34.440 --> 00:01:35.700]  證明出來
[00:01:35.700 --> 00:01:40.000]  我也要救你脫離百姓和外邦人的手
[00:01:40.000 --> 00:01:42.660]  我差你到他們那裡去
[00:01:42.660 --> 00:01:45.240]  要叫他們的眼睛得開
[00:01:45.240 --> 00:01:47.680]  從黑暗中歸向光明
[00:01:47.680 --> 00:01:50.360]  從撒旦泉下歸向神
[00:01:50.360 --> 00:01:53.160]  有因信我 得蒙赦免
[00:01:53.160 --> 00:01:56.520]  和一切神聖的人同得基業
[00:01:56.520 --> 00:01:58.720]  阿基伯王說
[00:01:58.720 --> 00:02:02.880]  我故此沒有違背那從天上來的意象
[00:02:02.880 --> 00:02:04.880]  先在大馬色
[00:02:04.880 --> 00:02:08.040]  後在耶路撒冷和猶太傳遞
[00:02:08.040 --> 00:02:12.760]  以及外邦勸勉他們應當悔改歸向神
[00:02:12.760 --> 00:02:15.560]  行事與悔改的心相稱
[00:02:15.560 --> 00:02:19.000]  因此猶太人在殿裡拿著我
[00:02:19.000 --> 00:02:20.600]  想要殺我
[00:02:20.600 --> 00:02:22.920]  然而我夢神的幫助
[00:02:22.920 --> 00:02:25.480]  直到今天還站得住
[00:02:25.480 --> 00:02:30.120]  對著尊貴卑賤老友作見證所講的
[00:02:30.120 --> 00:02:33.760]  並不外乎眾仙之和摩西所說
[00:02:33.760 --> 00:02:35.760]  將來必成的事
[00:02:35.760 --> 00:02:38.600]  就是基督必須受害
[00:02:38.600 --> 00:02:41.080]  並且因從死裡復活
[00:02:41.080 --> 00:02:45.920]  要首先把光明的道傳給百姓和外邦人
[00:03:11.080 --> 00:03:16.200]  成長是在猶太教正統的訓練下成長的
[00:03:16.200 --> 00:03:21.720]  原本是被訓練成為正宗過正宗的法利賽人
[00:03:21.720 --> 00:03:24.120]  受了很多教導
[00:03:24.120 --> 00:03:30.040]  並且他以前非常憎恨信耶穌的人
[00:03:30.040 --> 00:03:38.280]  所以他專門追捕、緝拿和逼迫基督徒
[00:03:38.280 --> 00:03:40.120]  逼迫到一個地步
[00:03:40.120 --> 00:03:42.120]  把他們抓去見官
[00:03:42.120 --> 00:03:46.920]  甚至看到基督徒被害他會覺得開心
[00:03:46.920 --> 00:03:56.040]  甚至會叫基督徒在眾人面前否定自己的信仰
[00:03:56.040 --> 00:04:02.760]  其實想起都像現在中東伊斯蘭國的情況
[00:04:02.760 --> 00:04:08.040]  他就跟王和官說我以前是一個這樣的人
[00:04:08.040 --> 00:04:10.200]  然後到十二節開始
[00:04:10.200 --> 00:04:12.200]  他就說了他的遭遇
[00:04:12.200 --> 00:04:15.160]  為何會帶來人生的一個很大的轉變
[00:04:15.160 --> 00:04:17.160]  就是因為見到誰
[00:04:17.160 --> 00:04:19.160]  見到耶穌
[00:04:19.160 --> 00:04:22.440]  我讀這段聖經的時候
[00:04:22.440 --> 00:04:30.200]  我就想起一個挺有趣的笑話
[00:04:30.200 --> 00:04:31.560]  不知道大家有沒有聽過
[00:04:31.560 --> 00:04:33.960]  早兩年公開時
[00:04:33.960 --> 00:04:36.520]  有些學生寫作文的時候
[00:04:36.520 --> 00:04:38.520]  寫了一樣東西
[00:04:38.520 --> 00:04:44.520]  古語有云
[00:04:44.520 --> 00:04:48.520]  人生如果沒有夢想
[00:04:48.520 --> 00:04:51.880]  就跟一條鹹魚沒有分別
[00:04:51.880 --> 00:04:53.880]  他說這是古語
[00:04:53.880 --> 00:04:55.880]  後來查證之下
[00:04:55.880 --> 00:04:57.880]  發現原來不是古語
[00:04:57.880 --> 00:05:03.560]  是周星馳的片的對白
[00:05:03.560 --> 00:05:06.840]  為什麼會想到這件事
[00:05:06.840 --> 00:05:08.840]  因為我見到保羅的生命
[00:05:08.840 --> 00:05:12.920]  其實他由開始他沒有認識耶穌
[00:05:12.920 --> 00:05:14.920]  他心裏有一個想望
[00:05:14.920 --> 00:05:16.920]  他的想望就是
[00:05:16.920 --> 00:05:21.400]  要幫他自己從小到大所信的那件事
[00:05:21.400 --> 00:05:23.400]  去持守
[00:05:23.400 --> 00:05:25.400]  甚至他做一些很激烈的行動
[00:05:25.400 --> 00:05:27.400]  但是當他信了耶穌之後
[00:05:27.400 --> 00:05:29.400]  他經歷了主之後
