
[00:00:00.000 --> 00:00:01.760]  看姊妹,我們又到聖經了
[00:00:01.760 --> 00:00:03.360]  生命樹和大家看聖經
[00:00:03.360 --> 00:00:05.760]  人事和上帝大能的手
[00:00:05.760 --> 00:00:07.400]  上帝的手多厲害
[00:00:07.400 --> 00:00:10.400]  昨天是上帝的手
[00:00:10.400 --> 00:00:15.680]  今天歸榮耀給以色列的上帝
[00:00:15.680 --> 00:00:18.600]  什麼人歸榮耀,以色列?不是
[00:00:18.600 --> 00:00:21.600]  竟然奸上帝的手工作之後
[00:00:21.600 --> 00:00:26.920]  其實是非理事人歸榮耀給以色列的上帝
[00:00:26.920 --> 00:00:31.480]  真是感恩讚美,厲害
[00:00:31.480 --> 00:00:34.040]  上帝的手真是重要
[00:00:34.040 --> 00:00:37.040]  所以不要想那些人怎會信主
[00:00:37.040 --> 00:00:38.560]  那些人怎會這樣,怎會這樣
[00:00:38.560 --> 00:00:40.720]  不會的,如果上帝一做
[00:00:40.720 --> 00:00:44.200]  上帝的手一擦就改變了
[00:00:44.200 --> 00:00:46.720]  你看到他們都說
[00:00:46.720 --> 00:00:51.680]  他們那些人說能夠勝過埃及人的神
[00:00:51.680 --> 00:00:53.920]  抗日裡面那麼多民族的神
[00:00:53.920 --> 00:00:56.640]  迦南地國城的神
[00:00:56.640 --> 00:00:58.640]  他們的神好厲害
[00:00:58.640 --> 00:01:00.440]  不過沒辦法,照打吧
[00:01:00.440 --> 00:01:01.960]  於是以為自己得了
[00:01:01.960 --> 00:01:05.440]  怎知道根本應對不來
[00:01:05.440 --> 00:01:06.520]  你會看到
[00:01:06.520 --> 00:01:09.240]  終於非理事認輸
[00:01:09.240 --> 00:01:11.280]  就伏在神的手下
[00:01:11.280 --> 00:01:13.680]  歸榮耀給以色列的上帝
[00:01:13.680 --> 00:01:17.120]  三個上帝第六章
[00:01:17.120 --> 00:01:22.600]  耶和華的約貴在非理事人之地七個月
[00:01:22.600 --> 00:01:25.240]  第六章開始是這樣的第一節
[00:01:25.240 --> 00:01:30.040]  耶和華約貴在非理事人的地方七個月
[00:01:30.040 --> 00:01:32.120]  唉
[00:01:32.120 --> 00:01:36.840]  那這七個月你猜非理事人怎過呢
[00:01:36.840 --> 00:01:40.640]  哎呀,個個都長了瘡
[00:01:40.640 --> 00:01:45.800]  有了一塊塊的囊腫或者瘤或者是痔瘡
[00:01:45.800 --> 00:01:47.760]  總之一塊塊東西
[00:01:47.760 --> 00:01:50.480]  痛苦不堪,痛的
[00:01:50.480 --> 00:01:52.080]  痛苦不堪
[00:01:52.080 --> 00:01:55.120]  七個月,那你不要等七個月了
[00:01:55.120 --> 00:01:58.800]  麻煩你的領袖早些決定送他回以色列
[00:01:58.800 --> 00:02:00.840]  那不就好了
[00:02:00.840 --> 00:02:05.640]  哎呀,但是你知道為官之道為政之道
[00:02:05.640 --> 00:02:08.040]  那有時候不行的,好笑的
[00:02:08.040 --> 00:02:10.600]  就算全民贊成
[00:02:10.600 --> 00:02:12.200]  那都不行的,為什麼呢
[00:02:12.200 --> 00:02:15.720]  那我們打完他,然後認衰送回給他
[00:02:15.720 --> 00:02:18.560]  那不就是輸了
[00:02:18.560 --> 00:02:19.320]  是不是
[00:02:19.320 --> 00:02:23.600]  那不行的,可能很多種種是因為個人因素
[00:02:23.600 --> 00:02:25.000]  政治因素
[00:02:25.000 --> 00:02:27.200]  幸好他們沒有什麼選票問題
[00:02:27.200 --> 00:02:29.600]  或者暗款的問題
[00:02:29.600 --> 00:02:34.400]  在這七個月,我想他們長瘡長到個個都怕了
[00:02:34.400 --> 00:02:36.080]  好苦啊
[00:02:36.080 --> 00:02:41.760]  因為上一個第五章的尾就說他們已經很慘了
[00:02:41.760 --> 00:02:45.440]  那就叫了天
[00:02:45.440 --> 00:02:49.680]  非理事人就將祭司和占卜的都來了
[00:02:49.680 --> 00:02:53.040]  那就想說透過他們的口
[00:02:53.040 --> 00:02:56.680]  屬靈那些帶領者的口,你告訴我們怎麼做
[00:02:56.680 --> 00:02:59.920]  然後呢,那都是一個很政治的決定
[00:02:59.920 --> 00:03:03.400]  可能是屬靈的決定,可能是政治的決定
[00:03:03.400 --> 00:03:07.360]  屬靈的決定就是,你告訴我們我們應該怎麼處理這件事
[00:03:07.360 --> 00:03:11.240]  神的藥櫃啦,這件事很屬靈的
[00:03:11.240 --> 00:03:12.320]  又或者是
[00:03:12.320 --> 00:03:15.120]  我都想拿他走,不過我拿他走呢
[00:03:15.120 --> 00:03:18.440]  我就在我百姓面前失盡威了,那不行
[00:03:18.440 --> 00:03:21.320]  那不如由你們開口,你們開口就說
[00:03:21.320 --> 00:03:25.880]  哦,原來大菌指示你們這樣做
[00:03:25.880 --> 00:03:27.880]  那我當堂甩身了
[00:03:27.880 --> 00:03:30.400]  其實很多事是不知道的
[00:03:30.400 --> 00:03:32.880]  就叫了祭司和占卜的來講
[00:03:32.880 --> 00:03:38.000]  我們向耶和華的藥櫃應當怎樣行
[00:03:38.000 --> 00:03:42.680]  向耶和華的藥櫃應當怎樣行啊
[00:03:42.680 --> 00:03:44.360]  其實都在問
[00:03:44.360 --> 00:03:47.600]  怎樣向耶和華
[00:03:47.600 --> 00:03:49.800]  怎樣面對耶和華
[00:03:49.800 --> 00:03:51.800]  如果在我們基督徒來講
[00:03:51.800 --> 00:03:53.800]  那你怎樣做啊
[00:03:53.800 --> 00:04:00.200]  請指示我們用何法將藥櫃送回原處
[00:04:00.200 --> 00:04:02.200]  他們說,好啊,很有手尾
[00:04:02.200 --> 00:04:04.200]  在哪裡拿,送回去那裡
[00:04:04.200 --> 00:04:06.200]  這樣才送回給以色列人
[00:04:06.200 --> 00:04:08.200]  怎樣,其實呢
[00:04:08.200 --> 00:04:13.280]  他們,你見到那些領袖已經決定了拿回去的了
[00:04:13.280 --> 00:04:16.280]  是不是,不行了,七個月我們幾乎沒命了
[00:04:16.280 --> 00:04:18.280]  已經死了很多人,痛得不得了
[00:04:18.280 --> 00:04:21.760]  怎樣,可能講的時候還在痛
[00:04:21.760 --> 00:04:25.760]  怎樣送回去,其實已經決定了送回去的了
[00:04:25.760 --> 00:04:29.760]  不過是怎樣送回去
[00:04:29.760 --> 00:04:33.760]  就不要我們講了,你們搞慣這些屬靈的東西
[00:04:33.760 --> 00:04:36.760]  怎樣送回去會比較適合神
[00:04:36.760 --> 00:04:39.760]  其實這班菲利士祭司占卜
[00:04:39.760 --> 00:04:41.760]  怎知道耶和華怎樣看他們的藥櫃
[00:04:41.760 --> 00:04:44.760]  他們是沒有用到神的方法的
[00:04:44.760 --> 00:04:46.760]  不過神,算了
[00:04:46.760 --> 00:04:49.760]  他們就說,這樣吧
[00:04:49.760 --> 00:04:53.760]  如果要將以色列上帝的藥櫃送回去
[00:04:53.760 --> 00:04:56.760]  不可以空空地送回去
[00:04:56.760 --> 00:05:00.760]  就這樣草草率率地拿回去就算了
