
[00:00:00.000 --> 00:00:05.320]  我相信很多弟兄姐妹都應該聽過
[00:00:05.320 --> 00:00:13.360]  力克·胡捷(Nick)這個生命的見證
[00:00:13.360 --> 00:00:21.040]  這位弟兄他出生的時候是無手無腳
[00:00:21.040 --> 00:00:26.960]  生命在成長的歷程當然會遇見很多困難
[00:00:26.960 --> 00:00:31.080]  但當他找到生命的意義之後
[00:00:31.080 --> 00:00:40.040]  這位弟兄的身體殘障已經不能再難阻他
[00:00:40.040 --> 00:00:46.080]  好好享受每一天上帝給他的生活
[00:00:46.080 --> 00:00:50.240]  他會打高爾夫球(給你們看照片)
[00:00:50.240 --> 00:00:55.000]  踢球、游泳、滑浪
[00:00:55.000 --> 00:00:59.640]  還可以跳降傘
[00:00:59.640 --> 00:01:04.720]  五年半之前他結了婚
[00:01:04.720 --> 00:01:10.040]  跟著跟太太生了兩個兒子
[00:01:10.040 --> 00:01:14.960]  我最近上網看過最新的消息
[00:01:14.960 --> 00:01:18.720]  他太太再次懷孕
[00:01:18.720 --> 00:01:25.360]  還要雙胞胎離開
[00:01:25.360 --> 00:01:28.520]  所以在他的生命當中
[00:01:28.520 --> 00:01:34.640]  因著信仰上帝給他有力量向前行
[00:01:34.640 --> 00:01:43.160]  甚至上帝很用得著他在報道的服事上
[00:01:43.160 --> 00:01:50.440]  有一次他在一個電台的直播節目上接受訪問
[00:01:50.440 --> 00:01:55.760]  他跟現場的觀眾分享
[00:01:55.760 --> 00:01:57.760]  他就說
[00:01:57.760 --> 00:02:01.160]  就是這個付諸實行的信仰
[00:02:01.160 --> 00:02:03.560]  Faith in Action
[00:02:03.560 --> 00:02:10.760]  就是這樣來幫助他可以堅持不懈
[00:02:10.760 --> 00:02:15.880]  他說當你實踐你的信仰的時候
[00:02:15.880 --> 00:02:21.520]  這一股令人難以置信的力量
[00:02:21.520 --> 00:02:29.880]  就能夠使沒有任何東西可以難阻你
[00:02:29.880 --> 00:02:35.160]  到底保羅在羅馬書當中
[00:02:35.160 --> 00:02:40.160]  關於信仰的實踐有什麼教導呢?
[00:02:40.160 --> 00:02:46.160]  我們很快就已經來到羅馬書第十二章了
[00:02:46.160 --> 00:02:50.560]  今天我就選了第一至第八節
[00:02:50.560 --> 00:02:52.560]  跟大家來分享
[00:02:52.560 --> 00:02:54.560]  我們先來讀一次
[00:02:54.560 --> 00:02:56.560]  好,預備起
[00:02:56.560 --> 00:03:00.560]  所以弟兄們,我以神的慈悲勸你們
[00:03:00.560 --> 00:03:03.760]  將身體獻上當作活祭
[00:03:03.760 --> 00:03:06.760]  是聖潔的,是神所喜悅的
[00:03:06.760 --> 00:03:10.760]  你們如此侍奉乃是理所當然的
[00:03:10.760 --> 00:03:12.760]  不要效法這個世界
[00:03:12.760 --> 00:03:15.760]  只要心意更新而變化
[00:03:15.760 --> 00:03:18.760]  叫你們察驗何謂神的善良
[00:03:18.760 --> 00:03:21.760]  純全可喜悅的旨意
[00:03:21.760 --> 00:03:23.760]  我憑著所賜我的恩
[00:03:23.760 --> 00:03:25.760]  對你們各人說
[00:03:25.760 --> 00:03:28.760]  不要看自己過於所當看的
[00:03:28.760 --> 00:03:32.760]  要照著神所分給各人信心的大小
[00:03:32.760 --> 00:03:34.760]  看得合乎中度
[00:03:34.760 --> 00:03:38.760]  正如我們一個人紙上有好些肢體
[00:03:38.760 --> 00:03:41.760]  肢體也不都是一樣的用處
[00:03:41.760 --> 00:03:45.760]  我們這許多人在基督裡成為一身
[00:03:45.760 --> 00:03:49.760]  互相聯絡作肢體也是如此
[00:03:49.760 --> 00:03:53.760]  按我們所得的恩賜各有不同
[00:03:53.760 --> 00:03:58.760]  或說預言就當照著信心的程度說預言
[00:03:58.760 --> 00:04:01.760]  或作執事就當專一執事
[00:04:01.760 --> 00:04:05.760]  或作教導的就當專一教導
[00:04:05.760 --> 00:04:09.760]  或作勸化的就當專一勸化
[00:04:09.760 --> 00:04:11.760]  施捨的就當誠實
[00:04:11.760 --> 00:04:14.760]  自理的就當殷勤
[00:04:14.760 --> 00:04:17.760]  憐憫人的就當甘心
[00:04:17.760 --> 00:04:21.760]  剛才大家讀過的經文第一第二節
[00:04:21.760 --> 00:04:23.760]  那裡這樣說
[00:04:23.760 --> 00:04:25.760]  所以弟兄們我以神的慈悲
[00:04:25.760 --> 00:04:27.760]  勸你們將身體獻上當作活祭
[00:04:27.760 --> 00:04:29.760]  是聖潔的是神所喜悅的
[00:04:29.760 --> 00:04:32.760]  你們如此侍奉乃是理所當然的
[00:04:32.760 --> 00:04:34.760]  不要效法這個世界
[00:04:34.760 --> 00:04:36.760]  只要心意更新而變化
[00:04:36.760 --> 00:04:38.760]  叫你們測驗何謂神的擅長
[00:04:38.760 --> 00:04:42.760]  善良純全可喜悅的旨意
[00:04:42.760 --> 00:04:45.760]  保羅就用了所以弟兄們
[00:04:45.760 --> 00:04:49.760]  作為段落的開始
[00:04:49.760 --> 00:04:53.760]  有所以這個連接詞很明顯
[00:04:53.760 --> 00:04:55.760]  就和上文有關
[00:04:55.760 --> 00:05:00.760]  因為...所以...
[00:05:00.760 --> 00:05:04.760]  我們小時候學中文作文的時候
[00:05:04.760 --> 00:05:06.760]  其實都有學過
[00:05:06.760 --> 00:05:11.760]  究竟羅馬書在第一至十一章
[00:05:11.760 --> 00:05:14.760]  和十二至十六章
[00:05:14.760 --> 00:05:16.760]  兩者有什麼關係呢
[00:05:16.760 --> 00:05:20.760]  其實當保羅在頭十一章
[00:05:20.760 --> 00:05:27.760]  講完一大段關於神學教義的真理之後
[00:05:27.760 --> 00:05:33.760]  他在第十二章開始就涉獵到不同的範疇
[00:05:33.760 --> 00:05:37.760]  很多實際生活上的教訓
[00:05:37.760 --> 00:05:42.760]  包括有對基督徒和非基督徒
[00:05:42.760 --> 00:05:46.760]  在教會裡面教會外面
[00:05:46.760 --> 00:05:51.760]  甚至政府對於社會等等
[00:05:51.760 --> 00:05:54.760]  很多不同的處境
[00:05:54.760 --> 00:05:57.760]  究竟我們應該用一個什麼樣的態度
[00:05:57.760 --> 00:06:00.760]  來面對和生活呢
[00:06:00.760 --> 00:06:05.760]  這種的筆法其實正正就要告訴我們
[00:06:05.760 --> 00:06:09.760]  他想突出一個很重要的真理
[00:06:09.760 --> 00:06:14.760]  在十二章之後所講的所有的東西
[00:06:14.760 --> 00:06:18.760]  關於基督徒生活上不同範疇的東西
[00:06:18.760 --> 00:06:24.760]  都必須建基在頭十一章
[00:06:24.760 --> 00:06:30.760]  關乎上帝的真理這些教義上
[00:06:30.760 --> 00:06:32.760]  而在第一至第二節
[00:06:32.760 --> 00:06:36.760]  第一部就已經一指中的
[00:06:36.760 --> 00:06:42.760]  告訴我們我們作為基督徒生活的焦點在哪裡
[00:06:42.760 --> 00:06:48.760]  如果一個人要過一個蒙神喜悅的生活
[00:06:48.760 --> 00:06:54.760]  他就必須要有一個蒙神喜悅的生命
[00:06:54.760 --> 00:06:59.760]  這個正正就是一直講完又講
[00:06:59.760 --> 00:07:05.760]  講完又講內在生命的根基
[00:07:05.760 --> 00:07:07.760]  雖然講得很遲
[00:07:07.760 --> 00:07:11.760]  仍然要不厭其煩來彼此提醒
[00:07:11.760 --> 00:07:13.760]  在上帝的眼裏面
[00:07:13.760 --> 00:07:17.760]  生命是行先過生活的
[00:07:17.760 --> 00:07:21.760]  生命是行先過生活
[00:07:21.760 --> 00:07:27.760]  Being是比Doing重要很多
[00:07:27.760 --> 00:07:34.760]  神的慈悲其實就是在講上帝憐憫
[00:07:34.760 --> 00:07:38.760]  我們每一個人在罪惡當中的痛苦
[00:07:38.760 --> 00:07:42.760]  藉著耶穌基督向我們施予恩典
[00:07:42.760 --> 00:07:51.760]  只要我們經過了領略到耶穌基督所施的慈悲
[00:07:51.760 --> 00:07:55.760]  我們才願意肯聽
[00:07:55.760 --> 00:07:58.760]  才願意被規勸
[00:07:58.760 --> 00:08:00.760]  將身體獻上
[00:08:00.760 --> 00:08:04.760]  來做後面的事來侍奉
[00:08:04.760 --> 00:08:11.760]  勸這個字其實是一個加強了語氣的字
[00:08:11.760 --> 00:08:16.760]  帶有力的去勸導
[00:08:16.760 --> 00:08:20.760]  我們做一些我們原本應該做的事
[00:08:20.760 --> 00:08:25.760]  不過我們卻是沒有做到的事
[00:08:25.760 --> 00:08:27.760]  究竟要做些甚麼呢
[00:08:27.760 --> 00:08:38.760]  這裏告訴我們將身體包括我們生命的身體的每一個部份都獻給上帝
[00:08:38.760 --> 00:08:41.760]  所以英文聖經The Message
[00:08:41.760 --> 00:08:46.760]  就將這段經文做了一個隱身的翻譯
[00:08:46.760 --> 00:08:48.760]  它這樣說
[00:08:48.760 --> 00:08:51.760]  Take your everyday ordinary life
[00:08:51.760 --> 00:08:53.760]  your sleeping, eating, going to work
[00:08:53.760 --> 00:08:55.760]  and walking around your life
[00:08:55.760 --> 00:08:58.760]  and place it before God as an offering
[00:08:58.760 --> 00:09:00.760]  中文的意思其實就是說
[00:09:00.760 --> 00:09:02.760]  將你日常的生活
[00:09:02.760 --> 00:09:05.760]  很平常的生活不是甚麼特別的東西
[00:09:05.760 --> 00:09:07.760]  你睡覺,你吃飯,你上班
[00:09:07.760 --> 00:09:11.760]  你生活上周圍的事
[00:09:11.760 --> 00:09:14.760]  全部都放在上帝的面前
[00:09:14.760 --> 00:09:18.760]  將它們作為祭
[00:09:18.760 --> 00:09:20.760]  獻給上帝
[00:09:20.760 --> 00:09:26.760]  因著羅馬書第一至第十一章告訴我們
[00:09:26.760 --> 00:09:31.760]  主耶穌已經為我們成就了這份救贖
[00:09:31.760 --> 00:09:36.760]  確立了恩順正義的真理
[00:09:36.760 --> 00:09:40.760]  因為所以我們就要整個人
[00:09:40.760 --> 00:09:45.760]  包括我們每一個方面
[00:09:45.760 --> 00:09:50.760]  我們原本以為自己擁有的決定和主權
[00:09:50.760 --> 00:09:52.760]  全部完全放下
[00:09:52.760 --> 00:09:55.760]  當作祭物獻給上帝
[00:09:55.760 --> 00:09:59.760]  跟隨祂的主意來生活
[00:09:59.760 --> 00:10:01.760]  舊約當獻祭的時候
[00:10:01.760 --> 00:10:03.760]  相信大家都有點印象
[00:10:03.760 --> 00:10:07.760]  就會將那個祭身殺死
[00:10:07.760 --> 00:10:10.760]  然後獻給上帝
[00:10:10.760 --> 00:10:17.760]  表明這個祭身就要承擔起人的罪
[00:10:17.760 --> 00:10:21.760]  不過保羅這裡告訴我們
[00:10:21.760 --> 00:10:26.760]  不是,這裡所要求的是一個活祭
[00:10:26.760 --> 00:10:33.760]  所以第一,要提我們根本沒有任何一個人
[00:10:33.760 --> 00:10:38.760]  可以透過自己的死去承擔自己的罪
[00:10:38.760 --> 00:10:42.760]  也不要說身邊的人的罪
