
[00:00:00.000 --> 00:00:03.000]  在星期五的受苦節音樂墨想崇拜當中
[00:00:03.000 --> 00:00:05.000]  我們藉著詩歌
[00:00:05.000 --> 00:00:07.000]  藉著不同的經文
[00:00:07.000 --> 00:00:09.000]  重溫主耶穌基督
[00:00:09.000 --> 00:00:13.000]  祂怎樣為我們世人承受苦難
[00:00:13.000 --> 00:00:15.000]  成就救恩
[00:00:15.000 --> 00:00:18.000]  不單只是一個受苦的故事
[00:00:18.000 --> 00:00:22.000]  更加是得榮耀的故事
[00:00:22.000 --> 00:00:24.000]  在當天最後的綜禮詩歌
[00:00:24.000 --> 00:00:29.000]  就是「你曾否見我主從死復活呢」
[00:00:29.000 --> 00:00:32.000]  這個也是為了今天復活主日的崇拜
[00:00:32.000 --> 00:00:34.000]  來做準備的
[00:00:34.000 --> 00:00:36.000]  主耶穌基督從死裡復活
[00:00:36.000 --> 00:00:40.000]  證明了祂就是這位生命的主
[00:00:40.000 --> 00:00:43.000]  而親眼見過復活主的門徒
[00:00:43.000 --> 00:00:46.000]  由原本很惶恐
[00:00:46.000 --> 00:00:48.000]  很懼怕
[00:00:48.000 --> 00:00:50.000]  變成能夠深信不疑地
[00:00:50.000 --> 00:00:52.000]  在不同的地方
[00:00:52.000 --> 00:00:55.000]  向不同的人做主的見證
[00:00:55.000 --> 00:00:57.000]  在《仕途行轉》裡面
[00:00:57.000 --> 00:01:00.000]  我們看到不論是試圖彼得的講道
[00:01:00.000 --> 00:01:03.000]  或者後來試圖保羅所傳的道
[00:01:03.000 --> 00:01:06.000]  都是將聖經的信息和預言
[00:01:06.000 --> 00:01:10.000]  總結在主耶穌基督復活上面的
[00:01:10.000 --> 00:01:12.000]  而初期教會
[00:01:12.000 --> 00:01:16.000]  也都將安息日之後的七日
[00:01:16.000 --> 00:01:19.000]  頭一日就稱為主日
[00:01:19.000 --> 00:01:21.000]  這個就是因為主耶穌基督
[00:01:21.000 --> 00:01:22.000]  在這一日
[00:01:22.000 --> 00:01:26.000]  這個週日裡面復活的緣故
[00:01:26.000 --> 00:01:29.000]  所以這個後來也都影響到教會
[00:01:29.000 --> 00:01:32.000]  有這個習慣在主日崇拜
[00:01:32.000 --> 00:01:35.000]  目的就是在每個禮拜裡面慶祝
[00:01:35.000 --> 00:01:38.000]  已經勝過死亡復活的主
