
[00:00:00.000 --> 00:00:04.640]  古今中外有很多顯赫一時的名人
[00:00:04.640 --> 00:00:10.520]  其實他們的遺體都是陳列在紀念館裏面
[00:00:10.520 --> 00:00:13.480]  我記得很早期當我去北京的時候
[00:00:13.480 --> 00:00:20.920]  曾經都去過北京參觀過毛澤東的遺體
[00:00:20.920 --> 00:00:26.000]  就在毛主席的紀念堂裏面
[00:00:26.000 --> 00:00:28.800]  他們的屍體仍然在裏面
[00:00:28.800 --> 00:00:32.280]  給很多遊客來觀賞
[00:00:32.280 --> 00:00:36.360]  但是耶穌的墓已經空了
[00:00:36.360 --> 00:00:39.760]  已經沒有屍體了
[00:00:39.760 --> 00:00:44.000]  今天要和我們去看《約翰福音》二十章
[00:00:44.000 --> 00:00:46.080]  一個很關鍵的人物
[00:00:46.080 --> 00:00:51.280]  就是莫大拉的瑪利亞
[00:00:51.280 --> 00:00:54.240]  這段經文有十八節這麼長
[00:00:54.240 --> 00:01:01.280]  大家可以翻開聖經來看
[00:01:01.280 --> 00:01:04.880]  究竟是誰是莫大拉瑪利亞呢?
[00:01:04.880 --> 00:01:10.200]  莫大拉瑪利亞是來自莫大拉城鎮
[00:01:10.200 --> 00:01:15.280]  她曾經被七個鬼附身
[00:01:15.280 --> 00:01:19.720]  這是《路加福音》八章一至三節所說的
[00:01:19.720 --> 00:01:24.840]  好之後她和其他的婦女跟從耶穌周遊各城
[00:01:24.840 --> 00:01:28.840]  以財物來供應耶穌和門徒
[00:01:28.840 --> 00:01:37.080]  她親眼目擊耶穌的受難、受死、被埋葬
[00:01:37.080 --> 00:01:40.480]  是當時信仰群體熟悉的人物
[00:01:40.480 --> 00:01:46.000]  《約翰福音》沒有說到她很多真實的身份
[00:01:46.000 --> 00:01:53.520]  重要的是強調她是親眼目擊耶穌的死和復活
[00:01:53.520 --> 00:01:56.960]  是第一身經歷耶穌的顯現
[00:01:56.960 --> 00:02:01.160]  並成為第一位目擊復活主的見證人
[00:02:01.160 --> 00:02:04.120]  所以在二十章裏面
[00:02:04.120 --> 00:02:08.280]  我們看到她是一個關鍵的人物
[00:02:08.280 --> 00:02:11.200]  當我們翻開《約翰福音》二十章的時候
[00:02:11.200 --> 00:02:15.880]  我們可以揭去前面一些篇章
[00:02:15.880 --> 00:02:23.040]  我們看到第十六章說到這些門徒四散
[00:02:23.040 --> 00:02:29.440]  然後到十八章說到彼得三次不認主
[00:02:29.440 --> 00:02:33.640]  然後到第十九章二十三至二十四節
[00:02:33.640 --> 00:02:38.400]  說到瓜分耶穌衣服的四個病定
[00:02:38.400 --> 00:02:43.000]  然後到二十章說到這位莫大拉瑪利亞
[00:02:43.000 --> 00:02:47.000]  怎樣竊而不捨來跟從耶穌
[00:02:47.000 --> 00:02:50.240]  去到墳墓嗎?死跟
[00:02:50.240 --> 00:02:52.640]  一路跟
[00:02:52.640 --> 00:02:56.520]  所以在二十章的第一節這樣說
[00:02:56.520 --> 00:02:58.680]  七日的第一日清早
[00:02:58.680 --> 00:03:00.280]  天還黑的時候
[00:03:00.280 --> 00:03:02.720]  莫大拉瑪利亞來到墳墓那裏
[00:03:02.720 --> 00:03:07.000]  看見石頭從墳墓挪開了
[00:03:07.000 --> 00:03:09.440]  天還黑的時候
[00:03:09.440 --> 00:03:11.840]  作為真光的耶穌基督
[00:03:11.840 --> 00:03:13.560]  復活的清晨
[00:03:13.560 --> 00:03:16.080]  天色黑暗
[00:03:16.080 --> 00:03:20.560]  其實瑪利亞的心情都不是很光亮
[00:03:20.560 --> 00:03:24.680]  都是很沉很黑的
[00:03:24.680 --> 00:03:28.880]  是因為她喪失了她極敬愛的老師
[00:03:28.880 --> 00:03:30.920]  傷痛欲絕
[00:03:30.920 --> 00:03:33.640]  她已經等了三天了
[00:03:33.640 --> 00:03:37.200]  急不及待的要在清早的時候
[00:03:37.200 --> 00:03:39.640]  可能是三點至六點的時候
[00:03:39.640 --> 00:03:45.600]  天還黑的時候來到墳墓那裏
[00:03:45.600 --> 00:03:47.960]  天還黑
[00:03:47.960 --> 00:03:49.360]  這麼早
[00:03:49.360 --> 00:03:51.240]  還要去到墳墓
[00:03:51.240 --> 00:03:53.720]  問大家
[00:03:53.720 --> 00:03:55.440]  是一個甚麼圖畫
[00:03:55.440 --> 00:03:58.200]  是一個頗沉的圖畫
[00:03:58.200 --> 00:04:00.880]  頗陰暗的圖畫
[00:04:00.880 --> 00:04:05.600]  正正聖經作者就要去
[00:04:05.600 --> 00:04:07.360]  告訴讀者聽
