
[00:00:00.000 --> 00:00:03.440]  我們今年仍然不斷講羅馬書
[00:00:03.440 --> 00:00:05.440]  而今日就去到第三章
[00:00:05.440 --> 00:00:10.320]  由第21節到第31節的經文裏面
[00:00:10.320 --> 00:00:13.480]  我們很深信過去上帝給我們一班童工
[00:00:13.480 --> 00:00:15.800]  分享了由第一章第一節
[00:00:15.800 --> 00:00:18.880]  一直到第三章第二十節
[00:00:18.880 --> 00:00:23.480]  而今日是去到第三個大段落當中的第一部分
[00:00:23.480 --> 00:00:26.400]  第二部分就是我們的童工下星期
[00:00:26.400 --> 00:00:29.520]  會分享第四章一至二十五節
[00:00:29.520 --> 00:00:32.040]  對於我們講今日的題目
[00:00:32.040 --> 00:00:35.240]  是一個我們經常聽到的題目
[00:00:35.240 --> 00:00:37.040]  甚至我們信了耶穌之後
[00:00:37.040 --> 00:00:40.080]  牧師經常都會講的四個字
[00:00:40.080 --> 00:00:42.320]  就是「因信稱義」
[00:00:42.320 --> 00:00:44.320]  我們經常都聽到「因信稱義」
[00:00:44.320 --> 00:00:46.840]  我們經常都會覺得「因信稱義」
[00:00:46.840 --> 00:00:49.000]  是我們都明白
[00:00:49.000 --> 00:00:50.480]  只要我們信
[00:00:50.480 --> 00:00:53.520]  神就稱我們為義
[00:00:53.520 --> 00:00:55.520]  這個定義對不對呢?
[00:00:55.520 --> 00:00:57.280]  絕對是對的
[00:00:57.280 --> 00:00:59.840]  但另一方面因為這個定義
[00:00:59.840 --> 00:01:03.880]  有時都會帶給我們一些錯誤的想法
[00:01:03.880 --> 00:01:05.880]  偶爾會有這樣的想法
[00:01:05.880 --> 00:01:08.120]  就以為一信了耶穌
[00:01:08.120 --> 00:01:11.520]  我就已經在我的生命護照上
[00:01:11.520 --> 00:01:14.240]  已經拿了一張簽證可以去天堂
[00:01:14.240 --> 00:01:16.880]  以致到我一生都不需要再去
[00:01:16.880 --> 00:01:20.120]  去按上帝的心意去行事為人
[00:01:20.120 --> 00:01:23.840]  我可以隨便做我自己喜歡做的事
