
[00:00:00.000 --> 00:00:06.000]  今早是我們中國人的農曆年初二
[00:00:06.000 --> 00:00:09.000]  在這裡祝願每一位新年快樂,主恩常在
[00:00:09.000 --> 00:00:12.000]  今天是我們中國的農曆年初二
[00:00:12.000 --> 00:00:16.000]  祝各位主恩常在,新年快樂
[00:00:16.000 --> 00:00:19.000]  也都希望教會可以在新的一年領受新的恩典
[00:00:19.000 --> 00:00:21.000]  為主不斷的得人
[00:00:21.000 --> 00:00:26.000]  都希望教會在新的一年領受主的恩典
[00:00:26.000 --> 00:00:28.000]  為主不斷的得人
[00:00:28.000 --> 00:00:31.000]  說來有點慚愧
[00:00:31.000 --> 00:00:33.000]  說來有點慚愧
[00:00:33.000 --> 00:00:38.000]  我讀中小學的時候,那種壞是遠近馳名
[00:00:38.000 --> 00:00:43.000]  我讀中小學的時候,那種有點壞是遠近馳名
[00:00:43.000 --> 00:00:49.000]  長期高居學校,所謂不良學生最高那幾名
[00:00:49.000 --> 00:00:55.000]  長期高在學校不良學生頭那幾名
[00:00:55.000 --> 00:01:01.000]  反正逃學作弊打架鬧事欺凌收保護費十項全能
[00:01:01.000 --> 00:01:10.000]  反正逃學作弊打架鬧事欺凌收保護費十項全能
[00:01:10.000 --> 00:01:15.000]  我記得有一次激到有個老師衝去教員室
[00:01:15.000 --> 00:01:21.000]  拿一個木造的圓規和我對打
[00:01:21.000 --> 00:01:25.000]  我記得有一次激到有個老師衝去教員室
[00:01:25.000 --> 00:01:28.000]  拿一個木造的圓規和我對打
[00:01:28.000 --> 00:01:32.000]  如果當年何牧師教我的話,可能會拿個鎚子追著我打
[00:01:32.000 --> 00:01:37.000]  如果當年何牧師教我的話,可能會拿個鎚子追著我打
[00:01:37.000 --> 00:01:40.000]  校長室彷彿我半個辦公室
[00:01:40.000 --> 00:01:44.000]  校長室好像我半個辦公室
[00:01:44.000 --> 00:01:47.000]  每個星期都要巡視業務幾次
[00:01:47.000 --> 00:01:50.000]  每個星期都要巡視業務幾次
[00:01:50.000 --> 00:01:55.000]  有一次我很深印象一位聖公會年長的女校長
[00:01:55.000 --> 00:01:58.000]  有一次我很印象聖公會年長的女校長
[00:01:58.000 --> 00:02:02.000]  我又是再次被帶到校長室站在她面前
[00:02:02.000 --> 00:02:06.000]  我又是再次被帶到校長室站在她面前
[00:02:06.000 --> 00:02:11.000]  她一言不發看了我差不多半個鐘頭
[00:02:11.000 --> 00:02:16.000]  她一言不發看著我差不多半個鐘頭就盯著我
[00:02:16.000 --> 00:02:20.000]  她一言不發看著我差不多半個鐘頭就盯著我
[00:02:20.000 --> 00:02:24.000]  所以叫小孩子不需要罵的,看著她半個鐘頭就夠了
[00:02:24.000 --> 00:02:27.000]  然後她說了以下這番說話
[00:02:27.000 --> 00:02:30.000]  之後她說了以下這番說話
[00:02:30.000 --> 00:02:35.000]  她說上等之人不教如善
[00:02:35.000 --> 00:02:38.000]  她說上等之人不教如善
[00:02:38.000 --> 00:02:40.000]  中等之人一教如善
[00:02:40.000 --> 00:02:42.000]  中等之人一教如善
[00:02:42.000 --> 00:02:44.000]  下等之人教如不善
[00:02:44.000 --> 00:02:46.000]  下等之人教如不善
[00:02:46.000 --> 00:02:49.000]  何玉強你現在年紀還輕有機會改過
[00:02:49.000 --> 00:02:52.000]  何玉強你現在年紀還輕還有機會可以改
[00:02:52.000 --> 00:02:55.000]  如果你有得選擇你希望做哪一種人呢
[00:02:55.000 --> 00:02:58.000]  如果你有得選擇你希望做哪一種人呢
[00:02:58.000 --> 00:03:01.000]  我自己看看由髮型到面型
[00:03:01.000 --> 00:03:03.000]  我自己看由髮型到面型
[00:03:03.000 --> 00:03:05.000]  由面型到身型
[00:03:05.000 --> 00:03:06.000]  從面型到身型
[00:03:06.000 --> 00:03:09.000]  由內至外由上至下沒有一分像上等人
[00:03:09.000 --> 00:03:13.000]  從內至外從上到下沒一塊像上等人
[00:03:13.000 --> 00:03:21.000]  無論自己的所作所為無論家人老師都付了一份心去鼓勵
[00:03:21.000 --> 00:03:28.000]  無論自己所作所為或老師或家人都很耐心地去教導她
[00:03:28.000 --> 00:03:30.000]  罵也罵過教也教過
[00:03:30.000 --> 00:03:32.000]  罵也罵過教也教過
[00:03:32.000 --> 00:03:35.000]  每次都是你批評我接受態度依然照舊
[00:03:35.000 --> 00:03:38.000]  每次都是別人批評我態度依然照舊
[00:03:38.000 --> 00:03:41.000]  一種所謂悔而不改的性格
[00:03:41.000 --> 00:03:43.000]  一種所謂悔而不改的性格
[00:03:43.000 --> 00:03:45.000]  也爬不上中等人
[00:03:45.000 --> 00:03:47.000]  也爬不上中等人
[00:03:47.000 --> 00:03:50.000]  但心底裡有哪一個想做下等人呢
[00:03:50.000 --> 00:03:53.000]  但心底裡有哪一個想做下等人呢
[00:03:53.000 --> 00:03:56.000]  所以我當時不改我那種滑頭的性格
[00:03:56.000 --> 00:04:01.000]  所以我當時不改我那種滑頭的性格
