
[00:00:00.000 --> 00:00:05.660]  在今天聖誕節裏面,我們說的題目跟25號的題目一樣,是被偷走的聖誕
[00:00:05.660 --> 00:00:10.100]  有人就說,其實聖誕節的意義是什麼呢?
[00:00:10.100 --> 00:00:19.160]  如果從英文字母Christmas這個字,是由兩個字組成,包括了前面有Christ這個字,後面有剩下的就是MAS
[00:00:19.160 --> 00:00:25.880]  所以如果說,如果聖誕節,就是如果拿走了基督的話,就剩下什麼呢?就剩下了MAS
[00:00:25.880 --> 00:00:31.900]  MAS是代表什麼呢?如果中文很簡單,就是代表喫喝玩樂
[00:00:31.900 --> 00:00:39.060]  M就代表食物,A就代表喝酒,S就代表購物
[00:00:39.060 --> 00:00:49.460]  事實上在聖誕節的日子裏面,如果真的沒有了這個主角,這個耶穌基督的話,那麼我們所擁有的,就只有喫喝玩樂
[00:00:49.460 --> 00:00:58.060]  有人用了Christmas這個字,逐個字母去代表一些意義,去告訴我,我們被偷走的意義是什麼呢?
[00:00:58.060 --> 00:01:03.660]  例如很簡單,如果C是代表基督,而不是代表聖誕卡
[00:01:03.660 --> 00:01:10.500]  很多時候我們,其實我十年前開始發出我第一張E卡,就是聖誕節的E卡給我朋友
[00:01:10.500 --> 00:01:17.820]  我朋友一收到之後就打長途電話來罵我,他說,有沒有搞錯,這麼沒有人情味,寄E卡都夠膽死
[00:01:17.820 --> 00:01:27.780]  我說,啊,就是環保嘛,環保兩個字都很大,未來的日子是E卡的世界,沒有人再寄聖誕卡了,你真的勾了
[00:01:27.780 --> 00:01:34.660]  誰不知真是不幸言中,現在你想想你收到聖誕卡的機會有多低呢?
[00:01:34.660 --> 00:01:43.220]  多數都是,現在連電子聖誕卡都少售,有時候有人send給我,我都沒空開,要click條link
[00:01:43.220 --> 00:01:50.340]  你總之按多兩個按鈕,你覺得已經很煩了,現在大家都是whatsapp的,所以卡是收不到的,字才收到的
[00:01:50.340 --> 00:01:57.020]  我們,但是聖誕節真正的意義,不是將卡,卡里面要表達的是,耶穌基督爲我們降生
[00:01:57.020 --> 00:02:05.780]  而這個降生其實帶給我們第二個字母H這個字,並不是代表假期,其實今年是挺好用的,如果你想象一下昨天21號
[00:02:05.780 --> 00:02:14.580]  如果星期六你開始放假的話,你只要23,24號拿兩天假,那你就去到27號才能上班
[00:02:14.580 --> 00:02:21.100]  如果拿完27號的話,就是昨天去旅行去到下個星期日,有錢就很興奮了,是不是?
[00:02:21.100 --> 00:02:31.660]  但是聖誕節不是講假期,聖誕節講的是真正的盼望,耶穌基督給我們的盼望,跟你旁邊的人說一聲,神給你的盼望
[00:02:31.660 --> 00:02:42.460]  第三個字母I有人認爲,這個字是教教很獨特的字,Incarnation這個字,是講道成肉身,耶穌是人成爲了人這個過程
[00:02:42.460 --> 00:02:51.460]  神自己本身成爲人這個過程,在神學上就叫道成肉身,Incarnation這個字,並不是講懷孕
[00:02:51.460 --> 00:03:03.980]  最近我上網找一些資料的時候令我們震驚,例如我剛剛說,平安夜是失身夜,聖誕夜是很多人會被人誘姦,非禮,強姦等等
[00:03:03.980 --> 00:03:19.460]  一些性的罪行是可常常在25號晚上發生,但是近這三年家繼會的資料告訴我們知道,12月不是最恐怖的月份,每個月都這麼恐怖
[00:03:19.460 --> 00:03:26.300]  每個月的求救個案都是一樣,即是說12月已經不是恐怖了,每個月都這麼恐怖
[00:03:26.300 --> 00:03:43.580]  而另一個數字是令你和我更加震驚的,原來香港以人口比例計算,加上有四成的受訪者是告訴調查的人知道,接近四成
[00:03:43.580 --> 00:04:00.620]  北上墮胎而沒有在香港報數字的人是有四成,加上這個數字的話,整個亞洲區墮胎率是香港排行第一位,這是一個很震驚的數字
[00:04:00.620 --> 00:04:24.340]  在整個香港我們這麼大都會的日子裏面,生活裏面,你不敢想象在家庭裏面發生的事情,我們確實知道聖誕節真正的意義,最近令到一些父母很擔心的,有一單新聞說連兒子去參加純男的派對都失身
[00:04:24.340 --> 00:04:40.160]  喫了一粒糖,喝了一杯東西,就被另一個男士和他發生性關係,所以現在你回去不只是勸女兒,聖誕節小心點,你看到兒子也和她說,聖誕節要加倍小心,兒子
