
[00:00:00.000 --> 00:00:02.000]  浩仔,主席,平安!
[00:00:02.000 --> 00:00:06.000]  感謝上主的恩典,亦感謝校務室的邀請
[00:00:06.000 --> 00:00:11.000]  今天我再一次有機會來到當中,分享上帝的話語
[00:00:11.000 --> 00:00:15.000]  今天的講題是「心靈和誠實」
[00:00:15.000 --> 00:00:20.000]  我相信大家都知道,我們在敬拜的當中
[00:00:20.000 --> 00:00:23.000]  要用心靈誠實去敬拜主
[00:00:23.000 --> 00:00:29.000]  但是在經文的當中,出處是從何而來呢?
[00:00:29.000 --> 00:00:33.000]  之前之後,耶穌在說些什麼呢?
[00:00:33.000 --> 00:00:37.000]  今天很感恩看到經課的福音題
[00:00:37.000 --> 00:00:40.000]  告訴我們知道,我們的主耶穌說:
[00:00:40.000 --> 00:00:49.000]  「我是生命的糧,到我這裏來的,必定不餓,亦不會飢渴」
[00:00:49.000 --> 00:00:56.000]  正正今天我揀選的經文,約翰福音四章十九至二十六節
[00:00:56.000 --> 00:01:01.000]  正在說「井旁婦人」這個遇見耶穌的事蹟
[00:01:01.000 --> 00:01:04.000]  讓我們一起同心的禱告
[00:01:04.000 --> 00:01:09.000]  新的恩主,我們感謝你,是你的愛吸引我們
[00:01:09.000 --> 00:01:14.000]  你叫我們來到你面前,我們懷著一個渴望你的心
[00:01:14.000 --> 00:01:18.000]  願我們一起領受上主的道的時候
[00:01:18.000 --> 00:01:23.000]  我們能夠用心靈和誠實去敬拜你
[00:01:23.000 --> 00:01:27.000]  求主你賜下你的靈量,讓我們能夠吃飽
[00:01:27.000 --> 00:01:32.000]  讓我們能夠在主的面前聆聽你的話
[00:01:32.000 --> 00:01:36.000]  開啟我們的心,開啟我們心中的眼睛
[00:01:36.000 --> 00:01:39.000]  求你讓我們說的聽的都能夠同感一鈴
[00:01:39.000 --> 00:01:43.000]  吐告奉耶穌基督,得聖名字祈禱
[00:01:43.000 --> 00:01:47.000]  今天跟大家分享的這段經文就是
[00:01:47.000 --> 00:01:50.000]  「井旁婦人」遇見耶穌
[00:01:50.000 --> 00:01:54.000]  一個井旁的婦人在街上去打水
[00:01:54.000 --> 00:01:58.000]  二千多年前耶穌的時代
[00:01:58.000 --> 00:02:02.000]  在井旁遇到一個人,跟他聊天
[00:02:02.000 --> 00:02:06.000]  有人問他,你可以給我一杯水喝嗎?
[00:02:06.000 --> 00:02:10.000]  於是婦人就跟他對話
[00:02:10.000 --> 00:02:14.000]  彷彿是一個很平常的事情
[00:02:14.000 --> 00:02:18.000]  好像大家來到中大的校園
[00:02:18.000 --> 00:02:22.000]  有人會問你,重祭禮拜堂在哪裏?
[00:02:22.000 --> 00:02:26.000]  你會回答,在那裏,然後跟別人聊天
[00:02:26.000 --> 00:02:30.000]  說兩句,問候一下,很正常
[00:02:30.000 --> 00:02:34.000]  但是在這段時間裏面,在耶穌時代
[00:02:34.000 --> 00:02:38.000]  二千多年前,這段經文上上下下
[00:02:38.000 --> 00:02:42.000]  有些很不尋常的事情
[00:02:42.000 --> 00:02:46.000]  不如我們讀一讀,約翰福音第四章
[00:02:46.000 --> 00:02:50.000]  這段經文,大家一起讀
[00:02:50.000 --> 00:02:54.000]  「婦人說:先生,我看出你是善智
[00:02:54.000 --> 00:02:58.000]  我們的祖師在這山上禮拜
[00:02:58.000 --> 00:03:02.000]  你們祷說,應當禮拜的地方
[00:03:02.000 --> 00:03:06.000]  是在耶路撒冷。耶穌說:婦人,你當信我
[00:03:06.000 --> 00:03:10.000]  事後將到,你們拜婦也不在這山上
[00:03:10.000 --> 00:03:14.000]  也不在耶路撒冷
[00:03:14.000 --> 00:03:18.000]  你們所拜的,你們不知道
[00:03:18.000 --> 00:03:22.000]  我們所拜的,我們知道
[00:03:22.000 --> 00:03:26.000]  因為救恩是從猶太人出來的
[00:03:26.000 --> 00:03:30.000]  事後將到,如今就是了
[00:03:30.000 --> 00:03:34.000]  真正拜婦的,要用心靈和誠實拜他
[00:03:34.000 --> 00:03:38.000]  因為婦要這樣的人拜他
[00:03:38.000 --> 00:03:42.000]  神是個靈,所以拜他的
[00:03:42.000 --> 00:03:46.000]  他來了,必將一切事都告訴我們
[00:03:46.000 --> 00:03:50.000]  耶穌說,這和你說話的就是他」
[00:03:50.000 --> 00:03:54.000]  這段經文就是尾段
[00:03:54.000 --> 00:03:58.000]  就是耶穌和撒瑪利亞婦人
[00:03:58.000 --> 00:04:02.000]  相遇的尾段
[00:04:02.000 --> 00:04:06.000]  之前是說到婦人去到井旁打水
[00:04:06.000 --> 00:04:10.000]  就是遇見耶穌
[00:04:10.000 --> 00:04:14.000]  於是婦人便開始了跟他對話
[00:04:14.000 --> 00:04:18.000]  剛才我講的這段經文有幾個不尋常的事
[00:04:18.000 --> 00:04:22.000]  第一,當時耶穌時代的社會,男女授受不親
[00:04:22.000 --> 00:04:26.000]  男人和女人不會特別聊天
[00:04:26.000 --> 00:04:30.000]  所以基本上這件事
[00:04:30.000 --> 00:04:34.000]  對婦人來說是一件很奇怪的事
[00:04:34.000 --> 00:04:38.000]  「你為何和我聊天?」
[00:04:38.000 --> 00:04:42.000]  他們一看便知道,耶穌一看便知道他是猶太人
[00:04:42.000 --> 00:04:46.000]  他不知道我是撒瑪利亞人嗎?
[00:04:46.000 --> 00:04:50.000]  他不知道這個地方是撒瑪利亞的境地嗎?
[00:04:50.000 --> 00:04:54.000]  所以撒瑪利亞人和猶太人
[00:04:54.000 --> 00:04:58.000]  在世代都是有一種仇恨
[00:04:58.000 --> 00:05:02.000]  河水不犯井水,但不會有往來
[00:05:02.000 --> 00:05:06.000]  其實撒瑪利亞人和猶太人
[00:05:06.000 --> 00:05:10.000]  都有一個比較根深蒂固的仇恨
[00:05:10.000 --> 00:05:14.000]  話說其實他們本身都是同一個祖宗
[00:05:14.000 --> 00:05:18.000]  我們知道以色列整個國家
[00:05:18.000 --> 00:05:22.000]  第一個皇帝是掃羅
[00:05:22.000 --> 00:05:26.000]  剛才也讀過經課,就是大衛,然後到所羅門
[00:05:26.000 --> 00:05:30.000]  於是分開南北兩國
