
[00:00:00.000 --> 00:00:10.000]  讓我讀出羅馬書十一章三十三節和第十二章的一至二節,作為我們今日的經過。
[00:00:10.000 --> 00:00:15.000]  心在上帝的豐盛、智慧和知識。
[00:00:15.000 --> 00:00:22.000]  祂的判斷何其難測,祂的宗職何其難尋。
[00:00:22.000 --> 00:00:31.000]  誰知道主的心,誰作過祂的謀事,誰先給了祂使祂後來償還呢?
[00:00:31.000 --> 00:00:42.000]  因為萬有都是本於祂,倚靠祂,歸於祂,願榮耀給祂,直到永遠。
[00:00:42.000 --> 00:00:51.000]  所以弟兄們,我以上帝的慈悲勸你們,將身體獻上,當作活祭。
[00:00:51.000 --> 00:01:00.000]  是聖潔的,是上帝所喜悅的,你們如此侍奉乃是理所當然的。
[00:01:00.000 --> 00:01:14.000]  不要效法這個世界,只要心意更新而變化,叫你們察驗好為上帝的善良,可喜悅的旨意。
[00:01:14.000 --> 00:01:21.000]  今早上的題目,我想和大家分享的是後現代性與基督信仰。
[00:01:21.000 --> 00:01:28.000]  這個題目相當對我來說難以揣測,
[00:01:28.000 --> 00:01:38.000]  因為當講後現代性的時候,不能不提現代性,也不能不提前現代性。
[00:01:38.000 --> 00:01:48.000]  這些這麼玄妙的名詞,是可愛但又可惡,因為我們都不知道它是什麼。
[00:01:48.000 --> 00:01:58.000]  從內容來說,我大致先講了後現代性,主要集中在後現代性裡面。
[00:01:58.000 --> 00:02:04.000]  我們活在現在這個時代,其實就是一個後現代的時代。
[00:02:04.000 --> 00:02:15.000]  有人再加多一句,他說不是,我們現在要活在一個後現代的時代,就是兩個後。
[00:02:15.000 --> 00:02:24.000]  後現代的意義是什麼呢?其實不是21世紀開始,而是20世紀末期已經開始了。
[00:02:24.000 --> 00:02:34.000]  他著重的地方,就是特別強調,是一個對理性主義進行徹底的顛覆。
[00:02:34.000 --> 00:02:42.000]  就是說,否定現代性,在我們那個年代裡面所謂的二元的結構。
[00:02:42.000 --> 00:02:52.000]  以前我們讀書一定要講理性,讀書一定要講選理科,文科好像次等一樣。
[00:02:52.000 --> 00:03:04.000]  當時的現代性裡面,強調什麼要講理性,不合理由,不合邏輯,不合科學的東西,都不是真理。
[00:03:04.000 --> 00:03:21.000]  但是在後現代裡面的時候,他就會否定了這個現代的時代裡面,那種主觀客觀的真假、本質、現象、事實和價值等等。
[00:03:21.000 --> 00:03:28.000]  就是說,後現代性的看法,根本不存在有什麼叫做絕對的真理。
[00:03:28.000 --> 00:03:36.000]  這種現象看起來,令我們很詫異。
[00:03:36.000 --> 00:03:39.000]  究竟在這個後現代性裡面做什麼呢?
[00:03:39.000 --> 00:03:47.000]  他就是對現代強調科學、強調理性的思維,要拆毀它。
[00:03:47.000 --> 00:03:49.000]  我們不講這些了。
[00:03:49.000 --> 00:03:55.000]  所以在這個後現代性裡面,他講求一個什麼呢?
[00:03:55.000 --> 00:04:00.000]  講求一個快樂主義,講求一個消費主義。
[00:04:00.000 --> 00:04:12.000]  我們看到很多的消費品,都是不斷地來催谷我們,你要in,不要out。
[00:04:12.000 --> 00:04:30.000]  在整個的後現代性裡面,他在否定和解構的格調當中,有另外一個就是要重建後現代性的出路。
[00:04:30.000 --> 00:04:40.000]  換句話說,就是他試圖在批判和反思現代性的同時,要建立一種超越現代性的價值觀。
[00:04:40.000 --> 00:04:46.000]  但是在這裡我們看到,他們強調了尋求一個新的價值觀。
[00:04:46.000 --> 00:04:56.000]  舉例來說,綠色和平的運動,新紀元的運動,很多這些運動裡面,都是要去尋求一個新的局面,
[00:04:56.000 --> 00:05:02.000]  為著擺脫這個所謂邏輯理性的框框在裡面。
[00:05:02.000 --> 00:05:08.000]  因為他們知道理性不是絕對,理性也有一個限度。
[00:05:08.000 --> 00:05:16.000]  第三個現象,我們看到的就是一個虛假性的後現代性。
[00:05:16.000 --> 00:05:21.000]  虛假性就好像我們去看迪士尼公園一樣。
[00:05:21.000 --> 00:05:30.000]  在迪士尼公園裡面,我們看到很多充滿著快樂,其實它是真又假,假的又真,因為你是活在其中。
[00:05:30.000 --> 00:05:39.000]  迪士尼公園的主題是針對人怎樣在種種現實的規限裡面釋放自己。
[00:05:39.000 --> 00:05:48.000]  所以沒有人去到迪士尼會哭的,只會笑,只會歡樂,在這裡建構一個快樂的世界。
[00:05:48.000 --> 00:05:57.000]  很多節目當中的人物,其實都是虛構的,假的,但是人就當他好像真的一樣。
[00:05:57.000 --> 00:06:01.000]  這是一個後現代性的一個很簡單的現象。
[00:06:01.000 --> 00:06:12.000]  這個現象裡面產生了令我們在教會裡面不知道怎樣去適應,這是令我們最遺憾的地方。
[00:06:12.000 --> 00:06:23.000]  我們剛才所讀的那段經文,是引申到這個後現代、現代和前現代的問題。
[00:06:23.000 --> 00:06:29.000]  大家知道《羅馬書》是一本很著重恩順、清義的書。
[00:06:29.000 --> 00:06:38.000]  在第一章一直到第十一章二十二、三十二節之前,都是講恩順、清義的道理。
[00:06:38.000 --> 00:06:45.000]  然後在十二章第三節之後,又講到很多人倫關係的問題。
[00:06:45.000 --> 00:06:57.000]  保羅好知道他要按照當時的思想,希臘的思想,羅馬人的法律,來講這個恩順、清義的問題。
[00:06:57.000 --> 00:07:09.000]  這個理性和神學性的恩順、清義,他要陳述一個現象,就是這個新的理性的現象。
[00:07:09.000 --> 00:07:20.000]  但是在後來,十二章第三節開始,他也都陳述了一些人際的關係,新的關係。
[00:07:20.000 --> 00:07:29.000]  那個正正是一個後現代的一種建設性的架構在後面。
[00:07:29.000 --> 00:07:40.000]  所以在這兩段經文裏面,保羅插了這兩段很重要的一個詩的一般經文。
[00:07:40.000 --> 00:07:49.000]  所以他說,保羅講了恩順、清義之後,他深了解上帝的奧秘、智慧和知識。
[00:07:49.000 --> 00:08:00.000]  他在這裏用上帝的奧秘來總結了這個十一章以前的恩順、清義這個意義。
[00:08:00.000 --> 00:08:07.000]  我總言用理性講了這麼多東西,邏輯用這麼多東西,但是他說這個是一個奧秘來的。
[00:08:07.000 --> 00:08:15.000]  所以保羅將羅馬帝國當時太平盛世那個腐化的道德,他要重建起來。
[00:08:15.000 --> 00:08:20.000]  所以在十二章三節裏面,他就講了很多人際性的關係。
[00:08:20.000 --> 00:08:30.000]  當中保羅就說,所以弟兄們,我以上帝的慈悲勸你們,以上帝的慈悲來勸我們。
[00:08:30.000 --> 00:08:35.000]  在前面他是用一個奧秘來告訴我們。
[00:08:35.000 --> 00:08:42.000]  這個恩順、清義是一個奧秘,因為道成人生的耶穌基督本身就是一個奧秘。
[00:08:42.000 --> 00:08:47.000]  我們沒有辦法能夠完全知道所有、明白所有。
[00:08:47.000 --> 00:08:54.000]  父子在這裏說,這是上帝豐盛的智慧和知識。
[00:08:54.000 --> 00:09:02.000]  保羅在這裏提出,我們對恩順、清義這件事,不是單單從我們的理性去分析的。
[00:09:02.000 --> 00:09:09.000]  我們要用奧秘進入上帝的心境裏面。
[00:09:09.000 --> 00:09:17.000]  這段經文一方面,保羅講除了恩順、清義這個道理之後,
[00:09:17.000 --> 00:09:21.000]  他後來要講出很多人際的關係。
[00:09:21.000 --> 00:09:28.000]  他當時就想在一個道德比較墮落文明的時代裏面,
[00:09:28.000 --> 00:09:31.000]  重新建立一個架構。
[00:09:31.000 --> 00:09:39.000]  其實現代這個名詞就是當時第五世紀裏面,
[00:09:39.000 --> 00:09:48.000]  一間基督徒進入一個新的群體,將認為這個時代是現代。
[00:09:48.000 --> 00:09:59.000]  推翻了以前羅馬帝國政府當時的腐化,當時的各種種問題。
[00:09:59.000 --> 00:10:04.000]  這段經文對我們究竟有什麼影響?
[00:10:04.000 --> 00:10:06.000]  如果我們很仔細去看,
[00:10:06.000 --> 00:10:14.000]  英國的學者William Barclay就在這裏為我們解出一些疑難。
[00:10:14.000 --> 00:10:19.000]  保羅說,保羅從未寫過一段如此獨特性的經文。
[00:10:19.000 --> 00:10:21.000]  在這裏我們看到,
[00:10:21.000 --> 00:10:27.000]  由追求真理的頭腦轉為一個敬拜讚美的心靈。
[00:10:27.000 --> 00:10:31.000]  最後一切都被過去進入一個奧秘的當中。
[00:10:31.000 --> 00:10:32.000]  他的意思就是說,
[00:10:32.000 --> 00:10:36.000]  在人不能純靠理性去理解上帝的時候,
[00:10:36.000 --> 00:10:40.000]  只要心裏面仍然有愛著上帝,
[00:10:40.000 --> 00:10:46.000]  這個人就能夠說萬有都本於他,依靠他,歸於他,
[00:10:46.000 --> 00:10:49.000]  那就沒有什麼可以再說了。
[00:10:49.000 --> 00:10:51.000]  所以他的提醒就是,
[00:10:51.000 --> 00:10:58.000]  當保羅宣講這個恩順、正義、用理性、邏輯、神學、智學各方面來分析的時候,
[00:10:58.000 --> 00:11:01.000]  其實到最後都是一個奧秘。
[00:11:01.000 --> 00:11:06.000]  今日我們的信仰都要進入這個奧秘的裏面。
[00:11:06.000 --> 00:11:13.000]  很多時候我們不曉得在崇拜裏面對這個奧秘的感受。
[00:11:13.000 --> 00:11:17.000]  我們認為崇拜要很有條理,
[00:11:17.000 --> 00:11:23.000]  崇拜要有理性,講道一定要很深奧等等。
[00:11:23.000 --> 00:11:27.000]  但是我們忘記了理性的極限,
[00:11:27.000 --> 00:11:32.000]  因為理性不能夠超越愛。
[00:11:32.000 --> 00:11:38.000]  人對上帝的信心不一定是會愛上帝,
[00:11:38.000 --> 00:11:42.000]  我信上帝不等於我愛上帝。
[00:11:42.000 --> 00:11:45.000]  我有一個大膽的假設,
[00:11:45.000 --> 00:11:50.000]  假如有一天我們念、再念《仕途信經》的時候,
[00:11:50.000 --> 00:11:52.000]  我們不是這樣念,
[00:11:52.000 --> 00:11:55.000]  將信字改為「愛」字,
[00:11:55.000 --> 00:11:57.000]  我愛上帝,
[00:11:57.000 --> 00:12:00.000]  全能夠創造天地的主。
[00:12:00.000 --> 00:12:03.000]  我愛我主耶穌基督,
[00:12:03.000 --> 00:12:05.000]  我愛聖靈,
