
[00:00:00.000 --> 00:00:02.080]  大家好 我是林牧師
[00:00:02.080 --> 00:00:06.820]  上個禮拜我們開始了一個新的錄音系列
[00:00:06.820 --> 00:00:10.420]  就叫做《長困家中土稿自強》
[00:00:10.420 --> 00:00:14.760]  如果你記得就是因為現在的瘟疫的問題
[00:00:14.760 --> 00:00:17.560]  很多時候我們都是長困家中
[00:00:17.560 --> 00:00:22.480]  我講的當然有像我自己這樣在家裡home office
[00:00:22.480 --> 00:00:26.560]  但是我想最受影響的就是學生
[00:00:26.560 --> 00:00:29.760]  他們沒辦法上課 長困家中
[00:00:29.760 --> 00:00:34.320]  無論是家長對於學生都是很頭疼的一件事
[00:00:34.320 --> 00:00:35.960]  我覺得這次的疫症
[00:00:35.960 --> 00:00:39.980]  雖然我想身體狀況就未必是影響我們那麼多
[00:00:39.980 --> 00:00:41.480]  是出門有些麻煩
[00:00:41.480 --> 00:00:44.760]  不過你說是不是我們自己認識的人裡面
[00:00:44.760 --> 00:00:46.720]  有很多人病了呢?那又不是
[00:00:46.720 --> 00:00:48.920]  但是對於我們屬靈上面
[00:00:48.920 --> 00:00:51.760]  個個都是受很大的影響
[00:00:51.760 --> 00:00:55.720]  我們沒辦法很正常的普通的去聚會
[00:00:55.720 --> 00:00:59.400]  那怎麼樣呢?我們必須要增強自己的屬靈免疫力
[00:00:59.400 --> 00:01:01.620]  於是我上個禮拜開始
[00:01:01.620 --> 00:01:04.920]  其實是為了我自己 鼓勵我自己
[00:01:04.920 --> 00:01:07.580]  逼我自己多一些去思考
[00:01:07.580 --> 00:01:12.800]  怎麼樣在這個時候去屬靈上面去專注去圖告
[00:01:12.800 --> 00:01:16.440]  如果你記得我就預了想做大概八集的
[00:01:16.440 --> 00:01:19.400]  上個禮拜我們做了第一、第二集
[00:01:19.400 --> 00:01:22.880]  第一集就是疫症蔓延 圖告天護
[00:01:22.880 --> 00:01:25.880]  是一個反思怎麼用這個主禱文
[00:01:25.880 --> 00:01:28.560]  在這個疫症蔓延的時候去圖告
[00:01:28.560 --> 00:01:31.960]  接著第二集也是上個禮拜已經發了出去
[00:01:31.960 --> 00:01:34.280]  就是死陰幽谷 尋見耶穌
[00:01:34.280 --> 00:01:39.600]  就是用登山補腹的八福去思想怎麼樣去祈禱
[00:01:39.600 --> 00:01:43.600]  這個禮拜開始我就會特別為教會裡面
[00:01:43.600 --> 00:01:46.320]  自己不同的群體去祈禱
[00:01:46.320 --> 00:01:51.280]  接著用聖經去思考怎麼樣去為這幫人祈禱
[00:01:51.280 --> 00:01:55.200]  第一幫人很想祈禱的
[00:01:55.200 --> 00:01:58.240]  就是信仰二代新生學子
[00:01:58.240 --> 00:02:02.040]  如果大家知道 今天就出了一個消息
[00:02:02.040 --> 00:02:05.760]  就是說那些學生、中學生、小學生
[00:02:05.760 --> 00:02:10.760]  都是要等到復活節之後才可以上學
[00:02:10.760 --> 00:02:12.200]  其實都不知道能不能上學
[00:02:12.200 --> 00:02:14.320]  就是說最早都要去到那個時候
[00:02:14.320 --> 00:02:16.720]  你想一下 對於學生來說
[00:02:16.720 --> 00:02:21.040]  你長困家中其實是一個很危險很危險的事情
[00:02:21.040 --> 00:02:23.000]  我想大家都有經驗
[00:02:23.000 --> 00:02:25.080]  成長的過程裡面放暑假
[00:02:25.080 --> 00:02:26.880]  放暑假是很令人害怕的一件事
[00:02:26.880 --> 00:02:31.920]  因為完全是沒有了作息的那種節奏
[00:02:31.920 --> 00:02:36.640]  就是沒有了一個 你要有節奏的做人
[00:02:36.640 --> 00:02:39.040]  為什麼有時候上學好的地方
[00:02:39.040 --> 00:02:41.840]  就是他逼你要幾點鐘起床
[00:02:41.840 --> 00:02:44.280]  你幾點鐘要睡覺
[00:02:44.280 --> 00:02:47.480]  你在每個時候你要做一些事情
[00:02:47.480 --> 00:02:49.560]  有功課做、有考試
[00:02:49.560 --> 00:02:52.440]  當然這些系統不是最好的
[00:02:52.440 --> 00:02:55.880]  但是同時它是幫你一個作息的
[00:02:55.880 --> 00:03:00.160]  現在我們沒有了這樣的節奏的話
[00:03:00.160 --> 00:03:02.000]  其實是很糟糕的
[00:03:02.000 --> 00:03:04.120]  所以對大家是一個很大的熟齡挑戰
[00:03:04.120 --> 00:03:05.800]  所以我鼓勵大家這個時候
[00:03:05.800 --> 00:03:07.800]  真的要好好的為自己祈禱
[00:03:07.800 --> 00:03:09.800]  包括我自己 尤其是我自己
[00:03:09.800 --> 00:03:13.360]  我覺得是失去了很多的節奏
[00:03:13.360 --> 00:03:17.520]  今天我特別是想為信義代禱告
[00:03:17.520 --> 00:03:20.520]  信仰義代新生的學子
[00:03:20.520 --> 00:03:22.200]  如果你看我英文的題目叫
[00:03:22.200 --> 00:03:24.320]  X-Men The Next Generation
[00:03:24.320 --> 00:03:26.560]  很有趣的 因為我經常都會說
[00:03:26.560 --> 00:03:28.880]  其實信耶穌 做基督徒
[00:03:28.880 --> 00:03:31.960]  其實就好像一個X-Men 一個變種人
[00:03:31.960 --> 00:03:34.000]  和這個世界真的有些東西不一樣的
[00:03:34.000 --> 00:03:35.720]  就是我們的樣子很相似
[00:03:35.720 --> 00:03:38.240]  但是其實我們有些不同 很不一樣的東西
[00:03:38.240 --> 00:03:41.760]  信仰義代就是The Next Generation
[00:03:41.760 --> 00:03:45.360]  第二個下 就是我們的後代
[00:03:45.360 --> 00:03:48.920]  但是這個後代也都是繼續是X-Men來的
[00:03:48.920 --> 00:03:50.080]  這個是很重要的
[00:03:50.080 --> 00:03:52.120]  所以這個新生學子
[00:03:52.120 --> 00:03:55.760]  除了我們會想為他們
[00:03:55.760 --> 00:03:57.560]  大家熟悉我都知道的
[00:03:57.560 --> 00:03:59.280]  我都是比較緊張孩子讀書
[00:03:59.280 --> 00:04:01.880]  不是我的子女的問題
