
[00:00:00.000 --> 00:00:01.600]  各位特興姊妹平安
[00:00:01.600 --> 00:00:06.500]  今天跟大家分享的訊息是跟節期有關的
[00:00:06.500 --> 00:00:10.300]  我不知道大家怎樣去看節期
[00:00:10.300 --> 00:00:12.400]  我們中國人有農曆
[00:00:12.400 --> 00:00:15.100]  農曆通常我們都有幾個節期
[00:00:15.100 --> 00:00:17.300]  我們有農曆的新年
[00:00:17.300 --> 00:00:18.700]  我們有冬至
[00:00:18.700 --> 00:00:22.500]  我們接下來有重陽是吧
[00:00:22.500 --> 00:00:24.000]  清明
[00:00:24.000 --> 00:00:25.700]  我也差點記錯
[00:00:25.700 --> 00:00:27.400]  有重陽是登高的
[00:00:27.400 --> 00:00:29.400]  清明主要是掃墓的
[00:00:29.500 --> 00:00:32.600]  所以我們農曆都有很多的年
[00:00:32.600 --> 00:00:38.600]  我們昨天也有機會有一個愉悅節的講座
[00:00:38.600 --> 00:00:41.300]  就是講到聖經的節期
[00:00:41.300 --> 00:00:43.700]  猶太人三大節期
[00:00:43.700 --> 00:00:44.600]  愉悅節
[00:00:44.600 --> 00:00:46.200]  五秦節
[00:00:46.200 --> 00:00:47.100]  駐棚節
[00:00:47.100 --> 00:00:49.300]  這些都是聖經的節期
[00:00:49.300 --> 00:00:53.500]  今天我們講的節期是教會年的節期
[00:00:53.500 --> 00:00:55.200]  為什麼這麼多節期呢
[00:00:55.200 --> 00:00:58.700]  因為教會年跟我們基督徒特別有關
[00:00:58.700 --> 00:01:03.000]  就是因為它是以基督為中心的一個節期
[00:01:03.000 --> 00:01:05.500]  代表著我們一班屬他的兒女
[00:01:05.500 --> 00:01:08.700]  是與主同行的一段旅程
[00:01:08.700 --> 00:01:10.200]  今天我們來到
[00:01:10.200 --> 00:01:15.200]  這個是復活節之前的一個禮拜
[00:01:15.200 --> 00:01:18.300]  教會傳統稱之為聖週
[00:01:18.300 --> 00:01:20.300]  就是講到耶穌基督
[00:01:20.300 --> 00:01:23.000]  最後在祂受難之前
[00:01:23.000 --> 00:01:26.500]  最後一個星期的一個節日
[00:01:26.500 --> 00:01:29.200]  就是一個的事件
[00:01:29.200 --> 00:01:33.400]  耶穌基督祂騎驢進入耶路撒冷
[00:01:33.400 --> 00:01:37.500]  其實都是四卷福音書的共同主題
[00:01:37.500 --> 00:01:40.400]  所以在這張圖的左手邊
[00:01:40.400 --> 00:01:41.700]  雖然小一點
[00:01:41.700 --> 00:01:45.300]  就講到無論是馬太福音二十一章
[00:01:45.300 --> 00:01:46.700]  馬赫福音十一章
[00:01:46.700 --> 00:01:48.800]  路加福音第十九章
[00:01:48.800 --> 00:01:50.900]  和約翰福音第十二章
