
[00:00:00.000 --> 00:00:04.000]  相信大家都知道我們這個月教睦同工
[00:00:04.000 --> 00:00:09.000]  每一個部的牧師都會去其他的部一起去講
[00:00:09.000 --> 00:00:15.000]  關於做一個中心的管家在金錢方面
[00:00:15.000 --> 00:00:19.000]  大家知道這個月我們每一個不同語言的堂的牧師
[00:00:19.000 --> 00:00:22.000]  會去不同的堂去講道
[00:00:22.000 --> 00:00:27.000]  講關於做一個中心的僕人在金錢方面的有關的主題
[00:00:27.000 --> 00:00:31.000]  那我就選了十一奉獻這個題目
[00:00:31.000 --> 00:00:34.000]  那我就選了十一奉獻這個題目
[00:00:34.000 --> 00:00:43.000]  那這個也是教睦同工一致認定十一奉獻是聖經的教導
[00:00:43.000 --> 00:00:48.000]  也是教睦同工們一致認定十一奉獻是聖經裡的教導
[00:00:48.000 --> 00:00:52.000]  這個也是原先我們大家想講的題目
[00:00:52.000 --> 00:00:57.000]  這個也是我們之前已經定好想講的題目
[00:00:57.000 --> 00:01:00.000]  我們先用一個禱告來開始
[00:01:00.000 --> 00:01:03.000]  我們先以一個禱告開始
[00:01:03.000 --> 00:01:06.000]  慈悲的人愛天父
[00:01:06.000 --> 00:01:09.000]  多謝你讓我們今天可以敬拜侍奉你
[00:01:09.000 --> 00:01:12.000]  感謝你今天讓我們可以敬拜侍奉你
[00:01:12.000 --> 00:01:15.000]  求聖靈充滿我們的心
[00:01:15.000 --> 00:01:17.000]  求聖靈來充滿我們的心
[00:01:17.000 --> 00:01:20.000]  也打開我們的心
[00:01:20.000 --> 00:01:23.000]  讓我們有一個謙卑的心來聆聽神的話語
[00:01:23.000 --> 00:01:27.000]  讓我們有一個謙卑的心來聆聽神的話語
[00:01:27.000 --> 00:01:29.000]  我們這樣祈禱奉耶穌基督聖名
[00:01:29.000 --> 00:01:33.000]  我們這樣的禱告是奉靠主耶穌基督得聖的名求
[00:01:33.000 --> 00:01:38.000]  說到十一奉獻的時候
[00:01:38.000 --> 00:01:40.000]  相信會引起很多的爭論
[00:01:40.000 --> 00:01:44.000]  相信說到十一奉獻的時候會引起很多的爭論
[00:01:44.000 --> 00:01:45.000]  有些人會贊成
[00:01:45.000 --> 00:01:46.000]  有些人會反對
[00:01:46.000 --> 00:01:47.000]  有些人會贊成
[00:01:47.000 --> 00:01:48.000]  有些人會反對
[00:01:48.000 --> 00:01:50.000]  有些人會不置可否
[00:01:50.000 --> 00:01:53.000]  有些人會完全不否定
[00:01:53.000 --> 00:01:54.000]  不置可否
[00:01:54.000 --> 00:01:55.000]  各有各的理由
[00:01:55.000 --> 00:01:57.000]  很難一一去辯論清楚
[00:01:57.000 --> 00:01:58.000]  各有各的理由
[00:01:58.000 --> 00:02:00.000]  很難去辯論清楚
[00:02:00.000 --> 00:02:03.000]  由於今天時間不是很多
[00:02:03.000 --> 00:02:06.000]  我想收窄範圍來講
[00:02:06.000 --> 00:02:08.000]  由於今天時間不是很多
[00:02:08.000 --> 00:02:11.000]  所以我準備縮小範圍來講一下
[00:02:11.000 --> 00:02:12.000]  我只是想講一下
[00:02:12.000 --> 00:02:15.000]  主耶穌祂怎樣看十一奉獻
[00:02:15.000 --> 00:02:19.000]  我只是想講一下主耶穌是怎樣來看十一奉獻的
[00:02:19.000 --> 00:02:24.000]  所以當我們明白耶穌怎樣看十一奉獻的時候
[00:02:24.000 --> 00:02:27.000]  我們自己就知道應不應該十一奉獻
[00:02:27.000 --> 00:02:30.000]  當我們知道主耶穌是怎樣看十一奉獻的時候
[00:02:30.000 --> 00:02:35.000]  我們自己就知道還要不要十一奉獻了
[00:02:35.000 --> 00:02:39.000]  我們先看經文路加福音20章22節
[00:02:39.000 --> 00:02:43.000]  我們先看路加福音20章22節
[00:02:43.000 --> 00:02:53.000]  經文說是問到我們納稅給凱撒或者該撒可不可以呢
[00:02:53.000 --> 00:02:57.000]  經文裡說到我們納稅給凱撒可不可以
[00:02:57.000 --> 00:03:00.000]  這句話的意思是問
[00:03:00.000 --> 00:03:04.000]  在當時來計作為猶太人
[00:03:04.000 --> 00:03:08.000]  應不應該納稅給凱撒或者羅馬政府呢
[00:03:08.000 --> 00:03:10.000]  這句話的意思是想要問
[00:03:10.000 --> 00:03:15.000]  作為當時的猶太人是否應該納稅給凱撒
[00:03:15.000 --> 00:03:17.000]  也就是當時的羅馬政府
[00:03:17.000 --> 00:03:20.000]  如果套用在今天這個社會裡面
[00:03:20.000 --> 00:03:26.000]  那就是說我們應不應該向州政府和聯邦政府納稅呢
[00:03:26.000 --> 00:03:29.000]  如果套用到現今社會當中來
[00:03:29.000 --> 00:03:33.000]  我們作為基督徒是不是應該給州政府或聯邦政府納稅
[00:03:33.000 --> 00:03:36.000]  答案是什麼
[00:03:36.000 --> 00:03:39.000]  很應該對不對
[00:03:39.000 --> 00:03:41.000]  你喜不喜歡你都會說很應該
[00:03:41.000 --> 00:03:46.000]  你喜不喜歡你都會說很應該
[00:03:46.000 --> 00:03:49.000]  但是為什麼耶穌不是這樣回答呢
[00:03:49.000 --> 00:03:53.000]  可是為什麼耶穌不是這樣子回答的呢
[00:03:53.000 --> 00:03:55.000]  因為
[00:03:55.000 --> 00:03:56.000]  看23節
[00:03:56.000 --> 00:03:58.000]  因為請看23節
[00:03:58.000 --> 00:04:01.000]  耶穌看出他們的詭詐
[00:04:01.000 --> 00:04:04.000]  因為耶穌看出他們的詭詐
[00:04:04.000 --> 00:04:07.000]  這裡說那些奸細
[00:04:07.000 --> 00:04:09.000]  這裡說那些奸細們
[00:04:09.000 --> 00:04:11.000]  你覺得很有趣
[00:04:11.000 --> 00:04:13.000]  用奸細那個字
[00:04:13.000 --> 00:04:15.000]  我覺得很可愛
[00:04:15.000 --> 00:04:17.000]  因為用了奸細這個詞
[00:04:17.000 --> 00:04:19.000]  那就是現代話說什麼
[00:04:19.000 --> 00:04:20.000]  臥底
[00:04:20.000 --> 00:04:24.000]  用現在的話來說就是臥底
[00:04:24.000 --> 00:04:28.000]  那些奸細提出一個這麼簡單的問題
[00:04:28.000 --> 00:04:30.000]  這麼容易回答的問題
[00:04:30.000 --> 00:04:32.000]  有何詭詐呢
[00:04:32.000 --> 00:04:35.000]  這些奸細提出一個這麼簡單的問題
[00:04:35.000 --> 00:04:37.000]  有什麼詭詐在裡面呢
[00:04:37.000 --> 00:04:40.000]  原來當時的猶太的百姓
