
[00:00:00.000 --> 00:00:05.300]  各位姐妹平安,先一齊低頭祈禱
[00:00:05.300 --> 00:00:13.300]  再次感謝您們的恩典,讓我們有機會聚集,敬拜您,聆聽您的說話
[00:00:13.300 --> 00:00:19.300]  我們求聖靈在這個時刻與我們同在,感動講的、聽的
[00:00:19.300 --> 00:00:26.800]  讓我們得到從聖經、從聖靈而來的啟示,讓我們實踐在我們的生命當中
[00:00:26.800 --> 00:00:30.800]  奉主耶穌基督的名祈禱,阿們
[00:00:30.800 --> 00:00:37.800]  前幾個星期,我們思想到有關生命的問題
[00:00:37.800 --> 00:00:42.800]  都是從約翰福音的經文去思考
[00:00:42.800 --> 00:00:49.800]  今天我們要從馬可福音去思考主耶穌給我們的挑戰
[00:00:49.800 --> 00:00:56.800]  就是我們願意用什麼來換取生命呢?
[00:00:56.800 --> 00:01:00.800]  交換,對我們來說是不陌生的
[00:01:00.800 --> 00:01:05.800]  我記得我小時候成長在一個貧窮的香港社會
[00:01:05.800 --> 00:01:09.800]  當時沒有什麼玩具,小孩子做什麼呢?
[00:01:09.800 --> 00:01:17.800]  我們去街邊撿人家扔掉的香煙包裝紙,摺起來玩
[00:01:17.800 --> 00:01:25.800]  有時我們都想要人家那些較為罕有的包裝紙
[00:01:25.800 --> 00:01:33.800]  如果我們撿不到,就要用自己所擁有的去跟人家換
[00:01:33.800 --> 00:01:37.800]  想不到現代的小孩都是一樣
[00:01:37.800 --> 00:01:42.800]  我們這邊的超市有時會出一套玩具之類的東西
[00:01:42.800 --> 00:01:45.800]  鼓勵小朋友要收集全套
[00:01:45.800 --> 00:01:50.800]  當小朋友自己未收集到的模型或圖像的時候
[00:01:50.800 --> 00:01:54.800]  就要用自己擁有的跟別人交換
[00:01:54.800 --> 00:02:00.800]  事實上現代社會的經濟運作就是靠交換
[00:02:00.800 --> 00:02:03.800]  從前就是以物換物
[00:02:03.800 --> 00:02:08.800]  後來有些聰明人就想到以物換物太麻煩之後
[00:02:08.800 --> 00:02:13.800]  他就發明了錢作為交換的媒介
[00:02:13.800 --> 00:02:16.800]  當我們想要某一樣東西的時候
[00:02:16.800 --> 00:02:18.800]  我們可以用錢去換
[00:02:18.800 --> 00:02:24.800]  沒錢的時候我們要賣一些我們擁有的東西去換錢回來
[00:02:24.800 --> 00:02:29.800]  包括我們的時間和技能都是可以出賣的
[00:02:29.800 --> 00:02:32.800]  但現在科技越來越進步
[00:02:32.800 --> 00:02:37.800]  慢慢地錢就變成了一個數字
[00:02:37.800 --> 00:02:41.800]  現在在中國國內那些代表錢的數字
[00:02:41.800 --> 00:02:43.800]  就放在手機裏面
[00:02:43.800 --> 00:02:47.800]  一數二維碼就可以將那些數字加來減去
[00:02:47.800 --> 00:02:49.800]  交易就完成
[00:02:49.800 --> 00:02:51.800]  根本不用真的接觸到錢
[00:02:51.800 --> 00:02:54.800]  變成了一個數字遊戲
[00:02:54.800 --> 00:02:57.800]  澳洲雖然落後一些
[00:02:57.800 --> 00:03:03.800]  但我發覺現在我都經常用手機裏面的信用卡找數
[00:03:03.800 --> 00:03:09.800]  很少要用錢包用錢來買東西
[00:03:09.800 --> 00:03:15.800]  在今日的經文馬可福音8章36至37節
[00:03:15.800 --> 00:03:18.800]  是主耶穌挑戰門徒
[00:03:18.800 --> 00:03:22.800]  去思想有關買回生命的問題
[00:03:22.800 --> 00:03:26.800]  祂說人就是賺得全世界
[00:03:26.800 --> 00:03:31.800]  賠償自己的生命有什麼益處呢?
[00:03:31.800 --> 00:03:35.800]  人還能拿什麼去換生命呢?
[00:03:35.800 --> 00:03:44.800]  讓我們一起思想一下主耶穌為什麼要這樣挑戰門徒的思想
[00:03:44.800 --> 00:03:50.800]  馬可福音是四本福音書裏面最短的一本
[00:03:50.800 --> 00:03:54.800]  在8章27節之前的經文
[00:03:54.800 --> 00:03:58.800]  是講述主耶穌的神蹟教導
[00:03:58.800 --> 00:04:01.800]  表明主耶穌的身份不是犯人
[00:04:01.800 --> 00:04:08.800]  而是猶太人盼望要來拯救他們的彌賽亞或者基督
[00:04:08.800 --> 00:04:11.800]  而那部份亦記載了
[00:04:11.800 --> 00:04:16.800]  耶穌呼召了一班願意跟隨祂的門徒
[00:04:16.800 --> 00:04:19.800]  在時間方面來說
[00:04:19.800 --> 00:04:23.800]  這部份已經概括了主耶穌出來傳道
[00:04:23.800 --> 00:04:26.800]  大約兩年半的時間
[00:04:26.800 --> 00:04:29.800]  來到8章27節
[00:04:29.800 --> 00:04:34.800]  主耶穌已經準備要上耶路撒冷
[00:04:34.800 --> 00:04:38.800]  這次將會是祂最後一次去
[00:04:38.800 --> 00:04:42.800]  因為祂去了之後就會死在耶路撒冷
[00:04:42.800 --> 00:04:45.800]  故此27至30節
[00:04:45.800 --> 00:04:50.800]  就是主耶穌給使徒們的大考
[00:04:50.800 --> 00:04:58.800]  主耶穌先帶門徒到凱撒利亞菲律賓附近的村莊去
[00:04:58.800 --> 00:05:03.800]  那個地方大概在加利利爾北25里的地方
[00:05:03.800 --> 00:05:05.800]  我們看看地圖
[00:05:05.800 --> 00:05:09.800]  這個地方不是猶太人的地區
[00:05:09.800 --> 00:05:12.800]  而是外邦人的地方
[00:05:12.800 --> 00:05:20.800]  所以主耶穌可能是想暫時避開法利塞人的勢力範圍
[00:05:20.800 --> 00:05:24.800]  就帶門徒去凱撒利亞菲律賓
[00:05:24.800 --> 00:05:28.800]  在這裡沒有人來找耶穌醫病
[00:05:28.800 --> 00:05:33.800]  只是主耶穌要考問門徒的好環境
[00:05:33.800 --> 00:05:36.800]  主耶穌先問他們
[00:05:36.800 --> 00:05:39.800]  「一般人說我是神」
[00:05:39.800 --> 00:05:43.800]  這是關於主耶穌的身份問題
