
[00:00:00.000 --> 00:00:05.500]  今日我有個回應的講題 叫做「愛是永不止息」
[00:00:05.500 --> 00:00:08.500]  其實在聖經 它原本的意思是說
[00:00:08.500 --> 00:00:11.500]  愛是永遠不會跌的
[00:00:11.500 --> 00:00:14.500]  永遠不會欠缺的東西
[00:00:14.500 --> 00:00:16.500]  永遠不會失落
[00:00:16.500 --> 00:00:18.500]  也永遠不會停止
[00:00:18.500 --> 00:00:20.500]  永遠不會失敗的
[00:00:20.500 --> 00:00:25.500]  即是愛是按照早幾年電視台的一個講法
[00:00:25.500 --> 00:00:27.500]  愛是沒得輸的
[00:00:27.500 --> 00:00:30.500]  沒得輸的那個是不是叫金剛
[00:00:30.500 --> 00:00:32.500]  他的口音不知是怎樣
[00:00:32.500 --> 00:00:34.500]  叫是沒得輸的
[00:00:34.500 --> 00:00:36.500]  類似的 我假裝不到
[00:00:36.500 --> 00:00:40.500]  總之不知為何突然有人說沒得輸
[00:00:40.500 --> 00:00:42.500]  然後愛怎麼沒得輸呢
[00:00:42.500 --> 00:00:45.500]  剛才敏儀的見證 我很深刻
[00:00:45.500 --> 00:00:50.500]  原來你想是沒用的 你做不到的
[00:00:50.500 --> 00:00:54.500]  我也幫過兩個年輕人
[00:00:54.500 --> 00:00:57.500]  我也想不到 一個是舞台藝員
[00:00:57.500 --> 00:01:02.500]  他吸毒 又來我們青年人團契
[00:01:02.500 --> 00:01:05.500]  我讀過社工 又傳道人
[00:01:05.500 --> 00:01:10.500]  朋友介紹來叫我關心他
[00:01:10.500 --> 00:01:13.500]  另外還有一個很出奇的
[00:01:13.500 --> 00:01:17.500]  是一個科大的大學生
[00:01:17.500 --> 00:01:21.500]  我從小到大沒想過大學生這麼聰明
[00:01:21.500 --> 00:01:25.500]  吸毒 原來大學生也會吸毒
[00:01:25.500 --> 00:01:28.500]  然後我就想這是什麼世界
[00:01:28.500 --> 00:01:30.500]  我想都沒想過
[00:01:30.500 --> 00:01:34.500]  我以為只是成長遇到困難
[00:01:34.500 --> 00:01:36.500]  你知道我們很容易被人影響
[00:01:36.500 --> 00:01:39.500]  原來不是你有多厲害都可以
[00:01:39.500 --> 00:01:44.500]  一個人最難是你知道對的事你做不到
[00:01:44.500 --> 00:01:49.500]  那種拉扯很痛苦
[00:01:49.500 --> 00:01:53.500]  所以我今天講這段聖經
[00:01:53.500 --> 00:01:58.500]  有些什麼你想做你做不到
[00:01:58.500 --> 00:02:02.500]  一個人最厲害是怎樣呢
[00:02:02.500 --> 00:02:06.500]  我以前聽過一個實際的例子
[00:02:06.500 --> 00:02:13.500]  這個世界說厲害當然是打拳
[00:02:13.500 --> 00:02:19.500]  你知不知道有個拳王叫做麒麟
[00:02:19.500 --> 00:02:25.500]  你應該年紀也差不多吧
[00:02:25.500 --> 00:02:29.500]  不要告訴我你在YouTube看麒麟
[00:02:29.500 --> 00:02:32.500]  拳王麒麟就叫牙刷拳王
[00:02:32.500 --> 00:02:36.500]  他贏了很少輸的
[00:02:36.500 --> 00:02:39.500]  有些人訪問他為什麼這麼厲害
[00:02:39.500 --> 00:02:43.500]  因為他出生時他家裡挺好的
[00:02:43.500 --> 00:02:45.500]  他11歲那年生日
[00:02:45.500 --> 00:02:47.500]  他媽媽買了單車送給他
[00:02:47.500 --> 00:02:51.500]  他很威風就在新蒲崗踩單車
[00:02:51.500 --> 00:02:53.500]  去體育館停車玩
[00:02:53.500 --> 00:02:57.500]  玩完出來單車就沒有了
[00:02:57.500 --> 00:03:00.500]  在紐約街頭被人偷了
[00:03:00.500 --> 00:03:02.500]  在美國街頭
[00:03:02.500 --> 00:03:05.500]  他很生氣就找體育館的保安
[00:03:05.500 --> 00:03:10.500]  抓那個偷車賊就打他
[00:03:10.500 --> 00:03:12.500]  搶了我的單車
[00:03:12.500 --> 00:03:14.500]  後來他們跟著這個保安叔叔
[00:03:14.500 --> 00:03:18.500]  在體育館打拳
[00:03:18.500 --> 00:03:21.500]  他每次贏的秘訣就是
[00:03:21.500 --> 00:03:24.500]  三個字假想敵
[00:03:24.500 --> 00:03:28.500]  他想起對面站著的大隻佬
[00:03:28.500 --> 00:03:30.500]  就是他偷了我的單車
[00:03:30.500 --> 00:03:32.500]  他就用這招
[00:03:32.500 --> 00:03:35.500]  四個字打贏他
[00:03:35.500 --> 00:03:36.500]  他每次都是想像
[00:03:36.500 --> 00:03:39.500]  因為這樣會令他感到憤怒
[00:03:39.500 --> 00:03:42.500]  有什麼可以令你憤怒
[00:03:42.500 --> 00:03:44.500]  租金這麼貴
[00:03:44.500 --> 00:03:46.500]  憤怒
[00:03:46.500 --> 00:03:48.500]  他就是這樣打拳
[00:03:48.500 --> 00:03:50.500]  還有一個更厲害的
[00:03:50.500 --> 00:03:54.500]  近來的拳王泰臣
[00:03:54.500 --> 00:03:56.500]  泰臣很厲害
[00:03:56.500 --> 00:03:59.500]  他出道時很少打平手
[00:03:59.500 --> 00:04:02.500]  他的點數多數是打低對方
[00:04:02.500 --> 00:04:05.500]  這個人出名不只是他厲害
[00:04:05.500 --> 00:04:07.500]  他老虎也打死幾隻
[00:04:07.500 --> 00:04:09.500]  還有人的樣子
[00:04:09.500 --> 00:04:10.500]  我以前看到他的時候
[00:04:10.500 --> 00:04:12.500]  見過他很凶狠的樣子
[00:04:12.500 --> 00:04:13.500]  不出聲的話
[00:04:13.500 --> 00:04:14.500]  很怕他
[00:04:14.500 --> 00:04:18.500]  他學拳在教導所
[00:04:18.500 --> 00:04:20.500]  因為他小時候學壞了
[00:04:20.500 --> 00:04:21.500]  在教導所
[00:04:21.500 --> 00:04:25.500]  他差不多每場都贏
[00:04:25.500 --> 00:04:27.500]  我記得我失明之後
[00:04:27.500 --> 00:04:28.500]  我再去讀書
[00:04:28.500 --> 00:04:33.500]  我聽BBC的體育新聞
[00:04:33.500 --> 00:04:36.500]  有一天他贏了
[00:04:36.500 --> 00:04:38.500]  他剛剛再出道
[00:04:38.500 --> 00:04:40.500]  只有26秒
[00:04:40.500 --> 00:04:42.500]  26秒就打低對手
[00:04:42.500 --> 00:04:43.500]  那些人還沒坐下
[00:04:43.500 --> 00:04:45.500]  完了
[00:04:45.500 --> 00:04:47.500]  很貴的
[00:04:47.500 --> 00:04:49.500]  他最出名的就是
[00:04:49.500 --> 00:04:51.500]  他打拳很厲害
[00:04:51.500 --> 00:04:54.500]  但他後來控制不了自己
[00:04:54.500 --> 00:04:55.500]  他犯了強姦罪
[00:04:55.500 --> 00:04:57.500]  坐了六年牢
[00:04:57.500 --> 00:05:00.500]  出來又因為人家在高速公路
[00:05:00.500 --> 00:05:02.500]  開車咳他舌
[00:05:02.500 --> 00:05:05.500]  大聲叫
[00:05:05.500 --> 00:05:06.500]  咳舌
[00:05:06.500 --> 00:05:08.500]  他打人一身
[00:05:08.500 --> 00:05:09.500]  截停人家的車
[00:05:09.500 --> 00:05:12.500]  後來他又和另外一個拳王
[00:05:12.500 --> 00:05:13.500]  叫何理飛特
[00:05:13.500 --> 00:05:16.500]  在拳台再打
[00:05:16.500 --> 00:05:17.500]  他都還沒打輸
[00:05:17.500 --> 00:05:19.500]  大家不相伯仲
[00:05:19.500 --> 00:05:20.500]  他打的時候
[00:05:20.500 --> 00:05:22.500]  真的咬人耳朵
[00:05:22.500 --> 00:05:23.500]  咬人耳朵會怎樣
[00:05:23.500 --> 00:05:25.500]  取消資格
[00:05:25.500 --> 00:05:27.500]  所以他出名的一個人
