
[00:00:00.000 --> 00:00:02.920]  那就下去了,我們讀聖經
[00:00:02.920 --> 00:00:05.660]  現在才讀聖經
[00:00:05.660 --> 00:00:08.620]  好,一起讀,這些聖經是截錄了的
[00:00:08.620 --> 00:00:09.620]  一起讀,請
[00:00:09.620 --> 00:00:28.360]  讀完這段截錄的聖經,你可能有些驚訝
[00:00:28.820 --> 00:00:31.640]  因為一開始我們讀的時候
[00:00:31.640 --> 00:00:34.680]  就講摩西和耶和華講說話
[00:00:34.680 --> 00:00:37.260]  是什麼?面對面
[00:00:37.260 --> 00:00:39.900]  好像朋友一樣
[00:00:39.900 --> 00:00:43.140]  但為什麼去到這個
[00:00:43.140 --> 00:00:45.820]  20節的時候
[00:00:45.820 --> 00:00:48.760]  他說你不能看我的臉
[00:00:48.760 --> 00:00:51.780]  因為沒有人看見了
[00:00:51.780 --> 00:00:54.800]  我還能活著
[00:00:54.800 --> 00:00:57.720]  我們就會很不明白
[00:00:57.720 --> 00:01:00.560]  到這23節
[00:01:00.560 --> 00:01:03.600]  是神為了摩西最後的禱告
[00:01:03.600 --> 00:01:05.600]  祂說了很多話
[00:01:05.600 --> 00:01:09.680]  祂做了很多預備
[00:01:09.680 --> 00:01:12.600]  不要關掉,來來來,祂自動關掉
[00:01:12.600 --> 00:01:15.620]  祂做了很多預備,祂就告訴摩西
[00:01:15.620 --> 00:01:18.620]  不行,沒有人可以見到而活著
[00:01:18.620 --> 00:01:21.660]  那怎麼辦呢?
[00:01:21.660 --> 00:01:24.640]  我這樣這樣,最後你就怎樣?
[00:01:24.640 --> 00:01:27.780]  在那個盆石的石窟裡面
[00:01:27.780 --> 00:01:30.880]  當我經過的時候,我還要用手遮住你
[00:01:30.880 --> 00:01:33.940]  我過了,我的榮耀過了
[00:01:33.940 --> 00:01:37.500]  我收回我的手,你就見到我的什麼?
[00:01:37.500 --> 00:01:39.960]  背部,是不是很複雜?
[00:01:39.960 --> 00:01:43.580]  非常複雜
[00:01:43.580 --> 00:01:46.700]  20-23,我們會看到
[00:01:46.700 --> 00:01:50.160]  好像祂說得非常非常複雜
[00:01:50.160 --> 00:01:53.040]  我們就不太明白為什麼
[00:01:53.040 --> 00:01:56.060]  我們回到11節那裡
[00:01:56.060 --> 00:01:59.620]  跟摩西面對面說話
[00:01:59.620 --> 00:02:01.880]  英文是face to face
[00:02:01.880 --> 00:02:04.940]  我英文不好
[00:02:04.940 --> 00:02:08.260]  特意去問那些英文很好的人
[00:02:08.260 --> 00:02:10.840]  他的母語是英文
[00:02:10.840 --> 00:02:13.860]  不過他現在又會說廣東話的人
[00:02:13.860 --> 00:02:16.920]  我就問他,根據你們的理解
[00:02:16.920 --> 00:02:20.040]  面對面這麼簡單嗎?
[00:02:20.040 --> 00:02:23.020]  是不是真的面對面?
[00:02:23.020 --> 00:02:25.840]  我問了一會兒,他說,oh no!
[00:02:25.840 --> 00:02:28.900]  不僅是這樣,我問他那是怎樣?
[00:02:28.900 --> 00:02:30.800]  他說,first
[00:02:30.800 --> 00:02:34.420]  就是eye contact
[00:02:34.420 --> 00:02:39.800]  即是face to face,the first step
[00:02:39.800 --> 00:02:43.000]  Eye contact,現在阿牌跟Vicky
[00:02:43.000 --> 00:02:44.000]  Eye contact
[00:02:44.000 --> 00:02:47.940]  對了,eye contact
[00:02:47.940 --> 00:02:50.860]  所以,兩夫妻說話的時候,要做什麼?
[00:02:52.160 --> 00:02:54.880]  Eye contact
[00:02:54.880 --> 00:02:57.900]  如果隔壁那個沒有,你現在小聲在他耳邊說
[00:02:57.900 --> 00:02:59.780]  我饒恕你,下次不要了
[00:02:59.780 --> 00:03:05.460]  我看到婉儀跟旭文彼此對講
[00:03:05.460 --> 00:03:09.920]  好的模範夫妻,即是他們兩個都沒有eye contact
[00:03:09.920 --> 00:03:13.940]  好,感謝,珍古力迪
[00:03:13.940 --> 00:03:16.920]  原來eye contact是這麼重要的
[00:03:16.920 --> 00:03:19.920]  Oh,這樣是嗎?
[00:03:19.920 --> 00:03:22.860]  Mouth to mouth,kiss
[00:03:22.860 --> 00:03:26.540]  kiss,oh no!不是kiss
[00:03:26.540 --> 00:03:28.840]  是you talk,me talk
[00:03:28.840 --> 00:03:34.400]  你說,我又什麼?我又說
[00:03:34.400 --> 00:03:37.480]  所以不僅是你說,我不說
[00:03:37.480 --> 00:03:40.800]  不僅是他說,你不說,不行的
[00:03:40.800 --> 00:03:43.780]  要交流,ok?
[00:03:43.780 --> 00:03:46.900]  哇,很好,那有沒有第三步?
[00:03:46.900 --> 00:03:50.020]  有,heart to heart
[00:03:50.020 --> 00:03:53.260]  很厲害,是嗎?
[00:03:53.260 --> 00:03:54.640]  親密嗎?
[00:03:54.640 --> 00:03:58.100]  heart to heart,即是將心腸肺腑
[00:03:58.100 --> 00:04:01.100]  都吐出來給別人看,是嗎?
[00:04:01.100 --> 00:04:04.320]  我就說,這麼複雜的,中文翻譯不好
