
[00:00:00.000 --> 00:00:07.500]  我們先看到這個《詩圖經傳》的作者跟《詩圖經傳》作書的時間
[00:00:07.500 --> 00:00:13.500]  這本書呢是路加寫的
[00:00:13.500 --> 00:00:17.000]  他在主後六十年到六十二年
[00:00:17.000 --> 00:00:22.000]  在耶穌昇天以後寫的
[00:00:22.000 --> 00:00:25.000]  他所記載的範圍呢
[00:00:25.000 --> 00:00:27.500]  就是從耶穌昇天
[00:00:27.500 --> 00:00:30.000]  大概是主後三十三年的時候
[00:00:30.000 --> 00:00:34.000]  一直到《詩圖經傳》結束
[00:00:34.000 --> 00:00:36.000]  是在保羅被羅馬
[00:00:36.000 --> 00:00:39.000]  在羅馬被關了兩年以後
[00:00:39.000 --> 00:00:41.000]  到這個時候結束
[00:00:41.000 --> 00:00:45.000]  那麼合起來差不多有三十多年的時間
[00:00:45.000 --> 00:00:47.000]  有三十年的時間
[00:00:47.000 --> 00:00:53.000]  這個作書的目的是什麼呢
[00:00:53.000 --> 00:00:59.000]  爲什麼路加要寫這本《詩圖經傳》呢
[00:00:59.000 --> 00:01:01.000]  第一個我們可以看到
[00:01:01.000 --> 00:01:05.000]  是接着這個初期教會的情形
[00:01:05.000 --> 00:01:07.500]  因爲《詩圖經傳》所記載的
[00:01:07.500 --> 00:01:11.000]  是教會開始的時候的情形
[00:01:11.000 --> 00:01:17.500]  那麼能夠看到這個教會怎麼開始的呢
[00:01:17.500 --> 00:01:20.000]  是神所開始的
[00:01:20.000 --> 00:01:22.500]  那麼你這樣的話看的話呢
[00:01:22.500 --> 00:01:25.000]  就能夠知道
[00:01:25.000 --> 00:01:29.500]  他們所信的根基是穩固的
[00:01:29.500 --> 00:01:33.500]  這樣對讀的人就有信心了
[00:01:33.500 --> 00:01:38.500]  就知道教會里面所記載的事情
[00:01:38.500 --> 00:01:40.500]  是神所做的
[00:01:40.500 --> 00:01:44.500]  就是他們所信的根基
[00:01:44.500 --> 00:01:46.000]  第二個呢
[00:01:46.000 --> 00:01:48.500]  這本書的解釋
[00:01:48.500 --> 00:01:52.000]  教會怎樣根據神的計劃
[00:01:52.000 --> 00:01:57.500]  將福音要從耶路撒冷傳到羅馬
