
[00:00:00.000 --> 00:00:01.560]  問一問大家
[00:00:01.560 --> 00:00:05.800]  你們有沒有試過得罪別人的經驗呢?
[00:00:05.800 --> 00:00:10.800]  話說有一次我坐地鐵的時候
[00:00:10.800 --> 00:00:14.400]  我要在北角轉車
[00:00:14.400 --> 00:00:17.000]  當地鐵去到北角賣站的時候
[00:00:17.000 --> 00:00:21.200]  我跟所有要轉車的人出閘
[00:00:21.200 --> 00:00:22.400]  就是出來
[00:00:22.400 --> 00:00:25.800]  去到對面轉車
[00:00:25.800 --> 00:00:27.200]  可能我心急
[00:00:27.200 --> 00:00:29.000]  一邊走一邊走
[00:00:29.000 --> 00:00:33.400]  不小心踢到前面的叔叔的腳踭
[00:00:33.400 --> 00:00:35.600]  不過幸好鞋子沒有掉
[00:00:35.600 --> 00:00:37.000]  當我好不好意思
[00:00:37.000 --> 00:00:37.600]  不知道怎麼辦
[00:00:37.600 --> 00:00:39.600]  說不說話的時候
[00:00:39.600 --> 00:00:44.400]  叔叔斜斜地回頭瞪我
[00:00:44.400 --> 00:00:46.000]  接著他說了一句話
[00:00:46.000 --> 00:00:48.600]  「趕著去死嗎?」
[00:00:48.600 --> 00:00:50.600]  嘩
[00:00:50.600 --> 00:00:52.600]  我那一刻馬上
[00:00:52.600 --> 00:00:55.400]  不敢出聲地繼續走
[00:00:55.400 --> 00:00:58.000]  有時候我們生活的時候
[00:00:58.000 --> 00:00:59.800]  都會有機會得罪別人
[00:00:59.800 --> 00:01:02.000]  不知道你們有沒有試過
[00:01:02.000 --> 00:01:05.600]  看一些經典的恩怨情仇劇
[00:01:05.600 --> 00:01:06.600]  即是很慘的那些
[00:01:06.600 --> 00:01:07.400]  我不是說現在的那些
[00:01:07.400 --> 00:01:10.200]  即是以前黑白的那些
[00:01:10.200 --> 00:01:11.000]  不知道你記不記得
[00:01:11.000 --> 00:01:12.400]  那些悲劇的主角
[00:01:12.400 --> 00:01:14.800]  被奸人害得很慘的時候
[00:01:14.800 --> 00:01:17.200]  有一句對白很經典的
[00:01:17.200 --> 00:01:19.000]  就是什麼呢
