
[00:00:00.000 --> 00:00:03.020]  今天要跟大家分享的題目是在
[00:00:03.020 --> 00:00:06.060]  偽時代中執守真信仰
[00:00:06.060 --> 00:00:09.860]  那在分享這個題目之前
[00:00:09.860 --> 00:00:12.600]  我想先讀一下今天的經文
[00:00:12.600 --> 00:00:16.220]  在哥羅西書的二章六到八節
[00:00:16.220 --> 00:00:24.420]  好 看到經文我們一起來讀
[00:00:24.420 --> 00:00:27.440]  一二起 你們既然
[00:00:27.440 --> 00:00:30.420]  接受了主耶穌
[00:00:30.420 --> 00:00:33.460]  就當遵祂而行
[00:00:33.460 --> 00:00:36.480]  在祂裡面生根建造 信心堅固
[00:00:36.480 --> 00:00:39.300]  正如你們所領的教訓
[00:00:39.300 --> 00:00:42.520]  感謝的心也更增長了
[00:00:42.520 --> 00:00:45.520]  你們要謹慎 恐怕
[00:00:45.520 --> 00:00:48.600]  有人用他的理學和虛空的妄言
[00:00:48.600 --> 00:00:51.560]  不造者基督
[00:00:51.560 --> 00:00:54.400]  乃造者人間的遺傳
[00:00:54.400 --> 00:00:57.740]  在我們的小學 把你們擄去
[00:00:57.740 --> 00:01:01.600]  讀完經文我們先做一個簡短的禱告
[00:01:01.600 --> 00:01:02.960]  主耶穌謝謝你
[00:01:02.960 --> 00:01:05.500]  祢釋下祢的話語 求祢此刻
[00:01:05.500 --> 00:01:08.140]  能夠釋下祢的聖靈來引導我們
[00:01:08.140 --> 00:01:10.980]  進入祢的真理 不管是講的聽的
[00:01:10.980 --> 00:01:13.080]  都能夠同盟造就
[00:01:13.080 --> 00:01:15.720]  我們把以下的時間恭敬的交託
[00:01:15.720 --> 00:01:19.020]  禱告奉主耶穌基督的聖名 阿們
[00:01:19.020 --> 00:01:23.720]  我想最近大家對這個
[00:01:23.720 --> 00:01:26.280]  假疫苗的事件應該都有所聽聞
[00:01:26.280 --> 00:01:29.240]  大家有上網有看很多的新聞 知道
[00:01:29.240 --> 00:01:32.100]  疫苗有很多的問題
[00:01:32.100 --> 00:01:35.140]  而且不是第一次出現問題 有假的疫苗
[00:01:35.140 --> 00:01:37.860]  對很多的孩子產生很大的
[00:01:37.860 --> 00:01:41.440]  一些的影響 那很多的家長都非常的擔心
[00:01:41.440 --> 00:01:44.480]  也非常的憤怒 那其實除了
[00:01:44.480 --> 00:01:47.960]  這個疫苗的事情 後來在連續挖出來
