
[00:00:00.000 --> 00:00:05.960]  這個是一個非常之一個很大的福氣
[00:00:05.960 --> 00:00:08.440]  就是我們可以成為神的兒女
[00:00:08.440 --> 00:00:12.060]  可以重新得救成為一個新造的人
[00:00:12.060 --> 00:00:14.340]  所以這期我的講道
[00:00:14.340 --> 00:00:20.480]  會將講到耶穌七個「我」字在約翰福音那裡
[00:00:20.480 --> 00:00:22.440]  大家如果上次有聽我講道
[00:00:22.440 --> 00:00:26.480]  我已經講了一個耶穌說我是生命的糧
[00:00:26.480 --> 00:00:32.320]  今天我就會和大家講耶穌說我是世界的「光」
[00:00:32.320 --> 00:00:35.220]  大家知道這個疫症反反覆覆
[00:00:35.220 --> 00:00:38.200]  已經差不多有一年的時間
[00:00:38.200 --> 00:00:41.460]  似乎我們仍然在一個黑暗裡面
[00:00:41.460 --> 00:00:43.660]  還沒有看到這個曙光
[00:00:43.660 --> 00:00:46.800]  就好像我們有時在晚上睡不著的時候
[00:00:46.800 --> 00:00:50.640]  早幾晚我有些睡不著
[00:00:50.640 --> 00:00:54.240]  所以整晚在床上滾來滾去
[00:00:54.240 --> 00:00:56.900]  都睡不著
[00:00:56.900 --> 00:01:01.060]  大家相信有些人失眠都會試過這些感覺
[00:01:01.060 --> 00:01:03.380]  我們說腦袋過度運作
[00:01:03.380 --> 00:01:05.300]  就是說腦袋不停活躍
[00:01:05.300 --> 00:01:08.040]  當你睡不著的時候你開始胡思亂想
[00:01:08.040 --> 00:01:10.100]  你開始越來越想多事情
[00:01:10.100 --> 00:01:12.120]  你越想多事情的話
[00:01:12.120 --> 00:01:14.580]  你就會越清醒
[00:01:14.580 --> 00:01:17.080]  越清醒就越睡不著
[00:01:17.080 --> 00:01:21.980]  就好像那個過度運作的字怎麼來呢?
[00:01:21.980 --> 00:01:26.160]  就好像那個電腦有時運作得很慢
[00:01:26.160 --> 00:01:28.840]  就聽到那個硬碟在轉來轉去
[00:01:28.840 --> 00:01:32.420]  但是畫面又不轉 就是這樣
[00:01:32.420 --> 00:01:35.820]  就在這裡等著等著等著等著等著天亮
[00:01:35.820 --> 00:01:38.320]  就開始見到太陽了
[00:01:38.320 --> 00:01:40.560]  天亮了就不用睡了 是不是?
[00:01:40.560 --> 00:01:45.200]  就見到天亮了 有一點曙光了
[00:01:45.200 --> 00:01:46.440]  疫症也是一樣
[00:01:46.440 --> 00:01:48.900]  我們經歷過一年的黑暗日子
[00:01:48.900 --> 00:01:51.740]  似乎就可以看到一點曙光了
[00:01:51.740 --> 00:01:56.700]  最近有幾個疫苗就開始研發得不錯
[00:01:56.700 --> 00:02:01.880]  雖然暫時仍然是沒有被那些authority
[00:02:01.880 --> 00:02:03.500]  沒有正式去批准
[00:02:03.500 --> 00:02:06.260]  就是沒有正式去註冊、去承認
[00:02:06.260 --> 00:02:09.180]  是可以用在我們人民身上
[00:02:09.180 --> 00:02:11.440]  但是都是一個好的開始
[00:02:11.440 --> 00:02:13.080]  但是又聽到很多其它消息
[00:02:13.080 --> 00:02:14.580]  又說它太快了
[00:02:14.580 --> 00:02:17.000]  以前那些疫苗是要10年的時間
[00:02:17.000 --> 00:02:19.120]  現在你10個月就搞定了
[00:02:19.120 --> 00:02:21.000]  會不會不安全的?
[00:02:21.000 --> 00:02:23.160]  這個真的很難說
[00:02:23.160 --> 00:02:27.240]  但是我相信沒有人想再等多10年
[00:02:27.240 --> 00:02:30.880]  我們還在這個疫症當中 是不是?
[00:02:30.880 --> 00:02:35.020]  這個疫症當然是很重要的
[00:02:35.020 --> 00:02:37.400]  大家就不要掉以輕心
[00:02:37.400 --> 00:02:39.380]  我們見到真是反反覆覆的
[00:02:39.380 --> 00:02:41.700]  似乎又好像平靜了一段時間
[00:02:41.700 --> 00:02:43.860]  又是起來了 香港也是這樣
[00:02:43.860 --> 00:02:45.600]  我們英國也是這樣
[00:02:45.600 --> 00:02:48.300]  真是好像沒完沒了
[00:02:48.300 --> 00:02:52.040]  當它平靜一點 我們就放寬一些東西
[00:02:52.040 --> 00:02:53.740]  因為你不可以長期封鎖的
[00:02:53.740 --> 00:02:55.300]  你的經濟一定會垮
[00:02:55.300 --> 00:02:56.760]  但是當你放寬了多一些
[00:02:56.760 --> 00:03:00.120]  疫症又厲害了
[00:03:00.120 --> 00:03:01.960]  那你又要收緊了
[00:03:01.960 --> 00:03:05.520]  聽說下個星期 香港的學校又要停課
[00:03:05.520 --> 00:03:10.120]  真是不知道今年又要停又要開又要停
[00:03:10.120 --> 00:03:11.440]  都不知道多少次了
[00:03:11.440 --> 00:03:15.180]  對小朋友、對學生也是影響很大
[00:03:15.860 --> 00:03:19.580]  在《約翰福音》8章12節
[00:03:19.580 --> 00:03:21.880]  就是大家剛才讀的那篇聖經
[00:03:21.880 --> 00:03:24.500]  就是耶穌說什麼呢?
[00:03:24.500 --> 00:03:26.260]  耶穌對眾人說
[00:03:26.260 --> 00:03:28.300]  「我是世界的光
[00:03:28.300 --> 00:03:31.660]  跟從我的就不再在黑暗裡
[00:03:31.660 --> 00:03:33.720]  必要得著生命的光」
[00:03:33.720 --> 00:03:34.820]  大家很熟悉的
[00:03:34.820 --> 00:03:38.800]  這是耶穌基督說的「我是」的第二個「我是」
[00:03:38.800 --> 00:03:41.140]  就是我是世界的光
[00:03:41.140 --> 00:03:43.540]  跟從我不會在黑暗裡面
[00:03:43.540 --> 00:03:45.500]  而且得著生命的光
[00:03:45.500 --> 00:03:47.620]  耶穌說「the light of the world」
[00:03:47.620 --> 00:03:49.720]  就是世界的光
[00:03:49.720 --> 00:03:52.900]  得著生命的光就是「the light of life」
[00:03:52.900 --> 00:03:57.740]  那麼這個光究竟對我們來說有什麼關係呢?
[00:03:57.740 --> 00:03:59.400]  有多重要呢?
[00:03:59.400 --> 00:04:01.000]  沒有了這個光又會怎麼樣呢?
[00:04:01.000 --> 00:04:04.120]  這個就是我們今天主要的話題
[00:04:04.120 --> 00:04:07.000]  首先 光帶給我們什麼呢?
[00:04:07.000 --> 00:04:08.300]  可能你說光就是光
[00:04:08.300 --> 00:04:12.800]  但是原來心藏著很多的深層次的意義在裡面
[00:04:12.800 --> 00:04:15.840]  有些光帶給我們生命
[00:04:15.840 --> 00:04:19.000]  那光關我們生命什麼事呢?
[00:04:19.000 --> 00:04:20.700]  那麼大家知道
[00:04:20.700 --> 00:04:25.060]  植物是全靠這個光才可以製造食物的
[00:04:25.060 --> 00:04:27.840]  我經常覺得植物是比我們厲害的
[00:04:27.840 --> 00:04:31.720]  它靠這個光就可以自己製造食物
[00:04:31.720 --> 00:04:35.740]  它不需要像我們一樣要去超級市場購物買食物的
[00:04:35.740 --> 00:04:38.240]  省下很多錢的 是不是?
[00:04:38.240 --> 00:04:40.700]  所以不要小看植物
[00:04:40.700 --> 00:04:43.380]  它自己懂得製造一些食物出來
[00:04:43.380 --> 00:04:46.180]  那麼能源從哪裡來呢?
[00:04:46.180 --> 00:04:48.380]  就是從那個光那裡來
