
[00:00:00.000 --> 00:00:04.920]  今日的講題就是「審判的七任逼近的災害」
[00:00:04.920 --> 00:00:09.260]  我首先講一講我自己的一個故事
[00:00:09.260 --> 00:00:12.440]  有一年我去宣導總會的退休營
[00:00:12.440 --> 00:00:14.960]  當我開車回家的時候
[00:00:14.960 --> 00:00:19.460]  我聽到「啪啪」的聲音
[00:00:19.460 --> 00:00:22.340]  我不知道是從哪裡發出來
[00:00:22.340 --> 00:00:26.740]  是很持續和有規律的
[00:00:26.740 --> 00:00:29.740]  我走著走著 繼續聽到
[00:00:29.740 --> 00:00:31.740]  我的反應是「好像沒什麼事」
[00:00:31.740 --> 00:00:35.440]  「車開著都挺好 沒什麼事的」
[00:00:35.440 --> 00:00:38.040]  於是就不理會它了
[00:00:38.040 --> 00:00:41.840]  想著還有一個多小時才回家
[00:00:41.840 --> 00:00:44.740]  到時候回家就看看它
[00:00:44.740 --> 00:00:47.460]  怎知道還不到一個小時
[00:00:47.460 --> 00:00:53.000]  我就聞到車上有少許煙味
[00:00:53.000 --> 00:00:55.080]  又不是車頭冒煙
[00:00:55.080 --> 00:00:59.920]  當時我已經走上了起碼80公里的高速公路
[00:00:59.920 --> 00:01:02.220]  不是高速 是大的公路
[00:01:02.220 --> 00:01:05.380]  不能停下來 因為沒有小街讓我停
[00:01:05.380 --> 00:01:07.300]  唯有不要開得那麼快
[00:01:07.300 --> 00:01:09.420]  一直祈禱「神啊 祢讓我平安」
[00:01:09.420 --> 00:01:11.220]  不知道發生什麼事
[00:01:11.220 --> 00:01:14.740]  大家知不知道發生什麼事?
[00:01:14.740 --> 00:01:18.260]  離開公路我就駛向一個小的街道
[00:01:18.260 --> 00:01:21.140]  我下車看看什麼事
[00:01:21.140 --> 00:01:26.580]  發覺車輪完全平了
[00:01:26.580 --> 00:01:28.260]  怪不得有點不舒服
[00:01:28.260 --> 00:01:31.060]  因為用輪胎在刮路
[00:01:31.060 --> 00:01:35.180]  一邊走 我都看見有些黑色飛鳥飛過來
[00:01:35.180 --> 00:01:37.180]  我不知道從哪裡飛過來
[00:01:37.180 --> 00:01:41.700]  我就只好去找NRMA 即是路邊服務
[00:01:41.700 --> 00:01:43.460]  我不懂得換輪胎
[00:01:43.460 --> 00:01:47.340]  後來收車的師傅跟我說
[00:01:47.340 --> 00:01:51.580]  「哇 你的輪胎爆成這樣 連鋼鐵都外露」
[00:01:51.580 --> 00:01:56.420]  「它的駕駛就很不穩定 而且很危險」
[00:01:56.420 --> 00:02:00.220]  我還開到80、90公里的高速公路
[00:02:00.220 --> 00:02:04.620]  所以問題不是車輪突然爆胎
[00:02:04.620 --> 00:02:08.940]  問題是我忽略了很早出現的記號
[00:02:08.940 --> 00:02:13.500]  就是車輪胎在路上被釘插進去
[00:02:13.500 --> 00:02:16.340]  然後就發出「砰砰」的聲音
[00:02:16.340 --> 00:02:18.900]  一直開車都有「砰砰」「砰砰」的聲音
[00:02:18.900 --> 00:02:21.140]  很小的聲音 但我聽到
[00:02:21.140 --> 00:02:22.780]  我當時不知道發生什麼事
[00:02:22.780 --> 00:02:26.500]  我又沒有預早停下來看什麼事
[00:02:26.500 --> 00:02:31.980]  所以將自己放在一個危險的環境裡面
[00:02:31.980 --> 00:02:35.500]  感謝神的保守 沒有什麼交通意外
[00:02:35.500 --> 00:02:38.020]  所以以後大家留意一下
[00:02:38.020 --> 00:02:43.380]  同樣的 我們今天活在一個危機四伏的時代
[00:02:43.380 --> 00:02:47.660]  當我們打開新聞 聽一些新聞
[00:02:47.660 --> 00:02:52.060]  你發覺不論是國際性的地緣政治
[00:02:52.060 --> 00:02:56.860]  或者是地區上一些的戰爭、煙火
[00:02:56.860 --> 00:03:00.140]  或者全球性的 現在都有通貨膨脹
[00:03:00.140 --> 00:03:03.780]  我們都很難以預測 也都有病毒
[00:03:03.780 --> 00:03:07.100]  或者是氣候變化帶來一些災難
[00:03:07.100 --> 00:03:13.660]  就是地震、海嘯、熱浪、熱死人都不少
[00:03:13.660 --> 00:03:16.220]  歐洲也都熱死人的
[00:03:16.220 --> 00:03:19.820]  所以其實這些東西我們都很難去預測
[00:03:19.820 --> 00:03:24.900]  你看見世界的人的道德觀念都要越來越下降
[00:03:24.900 --> 00:03:27.220]  人與人之間也都很緊張
[00:03:27.220 --> 00:03:34.180]  就算工作上、家庭裡面都有一些不平安
[00:03:34.180 --> 00:03:37.740]  所以我們經常都好像有些危機感
[00:03:37.740 --> 00:03:40.340]  或者有些人都會問 神在哪裡啊?
[00:03:40.340 --> 00:03:41.340]  祂為什麼不管?
[00:03:41.340 --> 00:03:46.500]  這麼多災難 神為什麼會讓這些災難去發生?
[00:03:46.500 --> 00:03:51.900]  其實啟示錄告訴我們一個我們很意想不到的答案
[00:03:51.900 --> 00:03:54.740]  就是神不單止在管
[00:03:54.740 --> 00:03:57.580]  神是向人已經發出了警號
[00:03:57.580 --> 00:04:01.100]  所以今天我們講到 剛才讀的經文
[00:04:01.100 --> 00:04:07.940]  講到揭開的印 其實是告訴我們一些災難正在逼近我們
[00:04:07.940 --> 00:04:10.460]  其實這些就是神要發出的警號
[00:04:10.460 --> 00:04:16.220]  讓我們看見世界是會有這樣的走向
[00:04:16.220 --> 00:04:18.860]  我們要怎樣去回應神呢?
[00:04:18.860 --> 00:04:23.340]  我們一起先來祈禱 好嗎?
[00:04:23.340 --> 00:04:26.020]  神愛天父 我們看見世界上的混亂
[00:04:26.020 --> 00:04:29.020]  我們看見祢來的日子很近
[00:04:29.020 --> 00:04:32.020]  祢要審判這個大地
[00:04:32.020 --> 00:04:34.980]  當我們看見這些混亂 不知道怎麼辦的時候
[00:04:34.980 --> 00:04:37.220]  如何求祢去教導我們
