
[00:00:00.000 --> 00:00:03.520]  今天我們要開始一個新的系列
[00:00:03.520 --> 00:00:06.640]  這個新的系列就是「歌林多書」
[00:00:06.640 --> 00:00:09.360]  我在每一個新的系列
[00:00:09.360 --> 00:00:13.680]  我都會首先介紹一個訊息
[00:00:13.680 --> 00:00:18.320]  我會叫這個介紹為「為何要讀這部書」
[00:00:18.320 --> 00:00:22.800]  所以今天的題目就是「為何要讀歌林多書」
[00:00:22.800 --> 00:00:24.880]  在這裡介紹的訊息
[00:00:24.880 --> 00:00:29.760]  我通常會給大家很多背景、很多資料
[00:00:29.760 --> 00:00:32.640]  讓大家能夠更加明白這部書
[00:00:32.640 --> 00:00:35.680]  所以當大家讀歌林多書的時候
[00:00:35.680 --> 00:00:39.360]  希望大家能夠更加明白這部書
[00:00:39.360 --> 00:00:41.360]  更加了解
[00:00:41.360 --> 00:00:45.280]  首先我們看看作者是誰
[00:00:45.280 --> 00:00:47.520]  在教會的歷史裡面
[00:00:47.520 --> 00:00:50.480]  沒有太多人挑戰這部書
[00:00:50.480 --> 00:00:54.000]  就是出自保羅的手筆
[00:00:54.000 --> 00:00:57.280]  其實是由兩個角度我們可以看到
[00:00:57.280 --> 00:00:59.600]  作者的確是保羅
[00:00:59.600 --> 00:01:02.640]  第一就是從這部書自己的內政
[00:01:02.640 --> 00:01:04.240]  我們能夠看到
[00:01:04.240 --> 00:01:07.520]  在歌林多前書的一章一至二節
[00:01:07.520 --> 00:01:11.120]  就是剛才周長老跟我們讀的經文
[00:01:11.120 --> 00:01:13.040]  說「奉神旨意
[00:01:13.040 --> 00:01:16.880]  蒙召作耶穌基督使徒的保羅
[00:01:16.880 --> 00:01:19.120]  同兄弟所提尼
[00:01:19.120 --> 00:01:23.280]  寫信給在歌林多神的教會」
[00:01:23.280 --> 00:01:25.440]  所以經文講得很清楚
[00:01:25.440 --> 00:01:27.600]  作者就是保羅
[00:01:27.600 --> 00:01:31.600]  其實保羅在新約十三篇書信裡面
[00:01:31.600 --> 00:01:35.360]  一開始都有提到自己就是作者
