
[00:00:00.000 --> 00:00:05.520]  海明威著名小說《Kalimantan Snow》
[00:00:05.520 --> 00:00:07.740]  《克烈馬扎羅的雪》
[00:00:07.740 --> 00:00:10.280]  或者翻譯為《雪山盟》
[00:00:10.280 --> 00:00:16.080]  一開始就記載了坦桑尼亞非洲的第一高峰
[00:00:16.080 --> 00:00:18.240]  克烈馬扎羅山
[00:00:18.240 --> 00:00:23.040]  非洲語的意思是「神的殿堂」
[00:00:23.040 --> 00:00:29.900]  山頂附近有一隻凍僵了的雪豹屍體
[00:00:29.900 --> 00:00:34.160]  整個故事就出現了一個懸念
[00:00:34.160 --> 00:00:38.960]  究竟雪豹來到這麼高寒的地方
[00:00:38.960 --> 00:00:42.080]  來尋找什麼呢?
[00:00:42.080 --> 00:00:46.920]  究竟雪豹來到這麼高寒的地方
[00:00:46.920 --> 00:00:50.700]  來尋找什麼呢?
[00:00:50.700 --> 00:00:55.080]  1999年在世界最高的山峰
[00:00:55.080 --> 00:00:58.520]  亞非爾時峰的山腳
[00:00:58.520 --> 00:01:02.420]  發現了一具人的屍體
[00:01:02.420 --> 00:01:08.420]  證實是英國登山運動員劍橋大學的畢業生
[00:01:08.420 --> 00:01:10.900]  George Maloney
[00:01:10.900 --> 00:01:13.720]  馬洛里的屍體
[00:01:13.720 --> 00:01:17.500]  他在1922年參加登山隊
[00:01:17.500 --> 00:01:20.100]  是破了最高的紀錄
[00:01:20.100 --> 00:01:22.520]  兩年之後1924年
[00:01:22.520 --> 00:01:25.520]  他已經37歲
[00:01:25.520 --> 00:01:27.720]  他跟自己說
[00:01:27.720 --> 00:01:30.600]  「如果要登上最高的山峰
[00:01:30.600 --> 00:01:33.780]  此其時而下」
[00:01:33.780 --> 00:01:37.680]  所以他連同一位登山運動員
[00:01:37.680 --> 00:01:41.580]  安德魯歐文Andrew Irvine
[00:01:41.580 --> 00:01:44.720]  登上絕頂
[00:01:44.720 --> 00:01:46.160]  希望
[00:01:46.160 --> 00:01:49.480]  但途中遇難而死亡
[00:01:49.480 --> 00:01:54.080]  但屍體在75年後才找到他的遺體
[00:01:54.080 --> 00:01:57.040]  生前記者問馬洛里
[00:01:57.040 --> 00:02:04.100]  為何要冒險泛濫登上險峰呢?
[00:02:04.100 --> 00:02:07.020]  會死的
[00:02:07.020 --> 00:02:09.440]  對登山運動員來說
[00:02:09.440 --> 00:02:14.760]  世界上最高峰永遠是一個吸引力
[00:02:14.760 --> 00:02:17.420]  是一個體育精神的召喚
[00:02:17.420 --> 00:02:22.840]  田徑運動員追求最高、最遠、最快
[00:02:22.840 --> 00:02:26.800]  是跟對手公平競賽
[00:02:26.800 --> 00:02:32.480]  但登山運動是跟自己的極限來競賽
[00:02:32.480 --> 00:02:36.440]  亦都需要群體的協助、後勤支援
[00:02:36.440 --> 00:02:38.440]  如果沒有其他人的幫助
[00:02:38.440 --> 00:02:40.360]  登上絕頂之後
[00:02:40.360 --> 00:02:45.240]  亦都難保平安歸來
[00:02:45.240 --> 00:02:48.600]  海明威克里馬札羅的說
[00:02:48.600 --> 00:02:53.280]  給讀者一個宗教的想像空間
[00:02:53.280 --> 00:02:58.960]  說怕可能會相信上主的殿堂就在峰頂
[00:02:58.960 --> 00:03:03.640]  在那裏他會見到創造他的上帝
[00:03:03.640 --> 00:03:06.240]  是不是真的呢?
[00:03:06.240 --> 00:03:12.480]  馬洛里看到畢生奮鬥的目標是幸福的
[00:03:12.480 --> 00:03:18.400]  人能夠很早就找到自己奮鬥的目標是幸福的
[00:03:18.400 --> 00:03:21.880]  浮士登一生是尋找要攀登的高峰
[00:03:21.880 --> 00:03:24.240]  甚至與魔鬼交易
[00:03:24.240 --> 00:03:26.320]  出賣自己的靈魂
[00:03:26.320 --> 00:03:29.200]  換取魔鬼的加持
[00:03:29.200 --> 00:03:32.160]  但他一生仍在尋找當中
[00:03:32.160 --> 00:03:34.520]  他從哲學轉向讀法律
[00:03:34.520 --> 00:03:39.360]  再轉向法律、醫學和神學
[00:03:39.360 --> 00:03:43.480]  最後轉向神秘的玄學
[00:03:43.480 --> 00:03:46.880]  不少人以為找到了
[00:03:46.880 --> 00:03:50.040]  只發覺原來是鏡花水月
[00:03:50.040 --> 00:03:52.960]  他根本不在那裏
[00:03:52.960 --> 00:03:57.040]  很多年前我在美國認識了一位越南的朋友
[00:03:57.040 --> 00:03:59.800]  他曾經告訴我
[00:03:59.800 --> 00:04:03.640]  他說他認識了一位從北越來的士兵
[00:04:03.640 --> 00:04:06.440]  攻陷南越西貢市的時候
[00:04:06.440 --> 00:04:09.560]  帶著一公斤的白糖
[00:04:09.560 --> 00:04:11.680]  希望能夠救濟
[00:04:11.680 --> 00:04:13.080]  在西貢市裏面
[00:04:13.080 --> 00:04:14.680]  現在是解放區了
[00:04:14.680 --> 00:04:18.040]  他的朋友
[00:04:18.040 --> 00:04:23.560]  但他發現根本西貢市不需要白糖
[00:04:23.560 --> 00:04:28.800]  他感覺被政府欺騙了
[00:04:28.800 --> 00:04:33.760]  作家白華的名著《苦戀》有一句名言
[00:04:33.760 --> 00:04:36.280]  就是「你愛這個國家」
[00:04:36.280 --> 00:04:39.000]  但這個國家是否愛你呢?
[00:04:39.000 --> 00:04:41.480]  1789年
[00:04:41.480 --> 00:04:44.440]  發覺大革命倡導的自由
[00:04:44.440 --> 00:04:48.320]  「平等博愛」只是一個口號
[00:04:48.320 --> 00:04:49.960]  政權被推翻之後
[00:04:49.960 --> 00:04:51.200]  1793年
[00:04:51.200 --> 00:04:52.760]  四年之後
[00:04:52.760 --> 00:04:57.240]  發生很大的混亂和恐怖的統治
[00:04:57.240 --> 00:04:58.360]  不但奴役十六
[00:04:58.360 --> 00:05:01.920]  還有很多貴族和政敵
[00:05:01.920 --> 00:05:06.440]  未經公平審訊就送上斷頭台
[00:05:06.440 --> 00:05:08.400]  一位貴族夫人被誣告
[00:05:08.400 --> 00:05:11.560]  行刑的時候面對自由女神說
[00:05:11.560 --> 00:05:13.800]  「自由!自由!」
[00:05:13.800 --> 00:05:18.480]  「多少的罪惡是奉你的名而行」
[00:05:18.480 --> 00:05:20.480]  但耶穌登上高山
[00:05:20.480 --> 00:05:24.360]  確是因為高煞這個山就在那裏
[00:05:24.360 --> 00:05:27.760]  這個山的名字叫加略山
[00:05:27.760 --> 00:05:30.640]  又名葛國他
[00:05:30.640 --> 00:05:35.040]  是耶路撒冷城外的小山崗
[00:05:35.040 --> 00:05:38.720]  他勒令門徒登上這個高山
[00:05:38.720 --> 00:05:44.040]  目的是叫門徒注目那矮矮的小丘
[00:05:44.040 --> 00:05:47.240]  他將被掛在木頭上
[00:05:47.240 --> 00:05:50.880]  被舉起來吸引萬民
[00:05:50.880 --> 00:05:52.120]  歸向我
[00:05:52.120 --> 00:05:53.800]  歸向耶穌基督
[00:05:53.800 --> 00:05:56.120]  我們看看今天經過我所說的
[00:05:56.120 --> 00:05:58.800]  剛才已經聽到讀出了
[00:05:58.800 --> 00:05:59.480]  過了六天
[00:05:59.480 --> 00:06:02.720]  耶穌帶著彼得雅干約翰暗暗的上來高山
[00:06:02.720 --> 00:06:06.880]  就在他面前變了形象
[00:06:06.880 --> 00:06:09.120]  衣服放光,極其潔白
[00:06:09.120 --> 00:06:11.000]  地上漂白的布
[00:06:11.000 --> 00:06:14.480]  沒有一個能夠漂得那麼白
[00:06:14.480 --> 00:06:16.160]  有朵雲彩來遮蓋他們
[00:06:16.160 --> 00:06:17.960]  又有聲音從雲彩裏出來說
