
[00:00:00.000 --> 00:00:02.000]  我們陌生的中國星
[00:00:02.000 --> 00:00:05.000]  一般來講,我們講到中國星
[00:00:05.000 --> 00:00:09.000]  我們會想到雪濃於水
[00:00:09.000 --> 00:00:12.000]  但是現在我們要思想一下
[00:00:12.000 --> 00:00:17.000]  有一個英國帝國主義的炮彈
[00:00:17.000 --> 00:00:20.000]  來到中國的英國人
[00:00:20.000 --> 00:00:26.000]  我們要看看到底他有怎樣的中國星
[00:00:26.000 --> 00:00:30.000]  這一位叫做戴德森的英國人
[00:00:30.000 --> 00:00:33.000]  他出生在1832年
[00:00:33.000 --> 00:00:37.000]  他的父母都是非常虔誠的基督徒
[00:00:37.000 --> 00:00:40.000]  戴德森小的時候體弱多病
[00:00:40.000 --> 00:00:44.000]  十五歲的時候他曾經告訴他的父母親
[00:00:44.000 --> 00:00:48.000]  他不能夠再接受他父母親的信仰
[00:00:48.000 --> 00:00:53.000]  他完全離棄父母親所相信的基督教
[00:00:53.000 --> 00:00:58.000]  但是後來他清楚得救
[00:00:58.000 --> 00:01:03.000]  而且他很清楚認為上帝呼召他
[00:01:03.000 --> 00:01:06.000]  要到中國去做宣教的工作
[00:01:06.000 --> 00:01:14.000]  因此他過著一個非常簡單樸實的信心生活
[00:01:14.000 --> 00:01:16.000]  他知道要到中國
[00:01:16.000 --> 00:01:19.000]  他一定不能夠靠任何的人
[00:01:19.000 --> 00:01:26.000]  一定要完全信靠他所接受的神
[00:01:26.000 --> 00:01:32.000]  那時候他跟一位很美麗的魏瑪麗已經訂婚了
[00:01:32.000 --> 00:01:36.000]  他的未婚妻又漂亮又很會彈琴
[00:01:36.000 --> 00:01:39.000]  他曾經對自己的妹妹說
[00:01:39.000 --> 00:01:44.000]  如果沒有她我不能夠活下去
[00:01:44.000 --> 00:01:50.000]  但是他的女家就是未婚妻的爸爸
[00:01:50.000 --> 00:01:53.000]  一次都不願意讓他們成婚
[00:01:53.000 --> 00:01:59.000]  因為他知道戴德森有一個心要到中國去
[00:01:59.000 --> 00:02:04.000]  後來當他決定要起身到中國的時候
[00:02:04.000 --> 00:02:10.000]  他最後就來到未婚妻的爸爸的面前
[00:02:10.000 --> 00:02:16.000]  哀求他讓他跟他的女兒成婚
[00:02:16.000 --> 00:02:20.000]  但是想不到未婚妻的爸爸
[00:02:20.000 --> 00:02:24.000]  要他在三天內做很簡單的選擇
[00:02:24.000 --> 00:02:26.000]  如果他要到中國
[00:02:26.000 --> 00:02:29.000]  他就絕對不能夠娶他的女兒
[00:02:29.000 --> 00:02:31.000]  如果他要娶他的女兒
[00:02:31.000 --> 00:02:36.000]  他一定要答應不會把她帶到中國去
[00:02:36.000 --> 00:02:41.000]  戴德森開始的時候都不知道怎樣禱告
[00:02:41.000 --> 00:02:43.000]  因為他兩者都要
[00:02:43.000 --> 00:02:48.000]  後來他看到菲律賓書三章八節
[00:02:48.000 --> 00:02:52.000]  我願意將萬事當作有選擇
[00:02:52.000 --> 00:02:57.000]  因我已認識我主基督為至寶
[00:02:57.000 --> 00:03:01.000]  我為他已經丟棄萬事看作混土
[00:03:01.000 --> 00:03:03.000]  我要得著基督
[00:03:03.000 --> 00:03:09.000]  他就知道上帝要他在兩者當中做一個選擇
[00:03:09.000 --> 00:03:12.000]  結果他選擇了
[00:03:12.000 --> 00:03:14.000]  在過去選擇了中國
[00:03:14.000 --> 00:03:22.000]  而放棄已經跟他交往三年又三個月的未婚妻
[00:03:22.000 --> 00:03:24.000]  他要離去的時候
[00:03:24.000 --> 00:03:26.000]  在他的分離的禱告裡面說
[00:03:26.000 --> 00:03:29.000]  任何困難都不會左右我
[00:03:29.000 --> 00:03:33.000]  我也不會珍惜自己的生命
[00:03:33.000 --> 00:03:39.000]  以致我能夠快樂地完成耶穌基督託付我的使命
[00:03:39.000 --> 00:03:43.000]  要先講他恩典的婚姻
[00:03:43.000 --> 00:03:46.000]  那個時候他的母親很傷心
[00:03:46.000 --> 00:03:48.000]  因為在那個年代
[00:03:48.000 --> 00:03:51.000]  要遠離英國到中國去
[00:03:51.000 --> 00:03:55.000]  很多離開英國到中國的
[00:03:55.000 --> 00:03:58.000]  一去就永遠不再回來
[00:03:58.000 --> 00:04:00.000]  他的母親就很傷心
[00:04:00.000 --> 00:04:03.000]  但是那個時候他就安慰他的母親
[00:04:03.000 --> 00:04:07.000]  親愛的母親不要去苦
[00:04:07.000 --> 00:04:12.000]  我只離去神片的時刻
[00:04:12.000 --> 00:04:16.000]  並且我們再將見面
[00:04:16.000 --> 00:04:19.000]  那個見面不一定是在地上的見面
[00:04:19.000 --> 00:04:22.000]  那個見面可能是要在天上的見面
[00:04:22.000 --> 00:04:27.000]  然後他說請試想我離去你榮耀的目的
[00:04:27.000 --> 00:04:30.000]  不是為了財富或者是名望
[00:04:30.000 --> 00:04:36.000]  我只想把耶穌的婚姻帶給可憐的中國人
[00:04:36.000 --> 00:04:40.000]  四年之後在1858年
[00:04:40.000 --> 00:04:46.000]  他在中國娶一個宣教士的一個姑娘
[00:04:46.000 --> 00:04:52.000]  他父母都為了宣教的緣故在馬六家去世
[00:04:52.000 --> 00:04:58.000]  他跟他的哥哥願意為了要繼承父母的遺志
[00:04:58.000 --> 00:05:02.000]  在現身到中國
[00:05:02.000 --> 00:05:08.000]  為他父母所愛的中國來做宣教的工作
[00:05:08.000 --> 00:05:13.000]  後來他們最大的女兒
[00:05:13.000 --> 00:05:18.000]  在八歲的時候在上海染上腦膜炎
[00:05:18.000 --> 00:05:21.000]  在那個時候他在上帝的面前說
[00:05:21.000 --> 00:05:24.000]  為了宣教的緣故
[00:05:24.000 --> 00:05:32.000]  我願意再一次將自己最親愛的妻子和兒女奉獻在祭壇上
[00:05:32.000 --> 00:05:43.000]  在那個時候他竟然從中國寧波寫信到英國他的妹妹那裡
[00:05:43.000 --> 00:05:51.000]  就告訴他的妹妹 假如我有千磅的英國錢
[00:05:51.000 --> 00:05:55.000]  中國可以全數支持
[00:05:55.000 --> 00:05:58.000]  假如我有一千條的生命
[00:05:58.000 --> 00:06:03.000]  我也不會留下一條不給中國
[00:06:03.000 --> 00:06:09.000]  想不到他在38歲的時候女兒死了
[00:06:09.000 --> 00:06:12.000]  兩個兒子也死
[00:06:12.000 --> 00:06:16.000]  那個時候他的妻子病危
[00:06:16.000 --> 00:06:18.000]  他自己是一個醫生
[00:06:18.000 --> 00:06:22.000]  他看到他的太太病危的時候
[00:06:22.000 --> 00:06:25.000]  他就對他的太太說
[00:06:25.000 --> 00:06:31.000]  我看出你 親愛的 你已經不能夠執掌了
[00:06:31.000 --> 00:06:36.000]  你很快就要回到耶穌那裡去
[00:06:36.000 --> 00:06:42.000]  那個時候他的太太告訴戴德森
[00:06:42.000 --> 00:06:45.000]  你怎麼會這麼想
[00:06:45.000 --> 00:06:48.000]  他說我一點都不會難過
[00:06:48.000 --> 00:06:53.000]  因為我知道上帝必定與你同在
[00:06:53.000 --> 00:06:58.000]  只不過在這個時候留下你自己一個人
[00:06:58.000 --> 00:07:00.000]  我覺得有一點難過
[00:07:00.000 --> 00:07:09.000]  但是我更喜樂的就是能夠在天上見到我自己的主耶穌
[00:07:09.000 --> 00:07:14.000]  那個時候讓他太太氣死之後
[00:07:14.000 --> 00:07:17.000]  戴德森就跪在床前說
[00:07:17.000 --> 00:07:22.000]  親愛的神 謝謝你將瑪利亞賜給我
[00:07:22.000 --> 00:07:30.000]  謝謝你讓我們在過去12年半有一起快樂的時光
[00:07:30.000 --> 00:07:34.000]  謝謝你把她接到你自己的身邊
[00:07:34.000 --> 00:07:39.000]  我願意再一次將自己獻上為你工作
[00:07:39.000 --> 00:07:44.000]  後來他自己染上了滅跡
[00:07:44.000 --> 00:07:50.000]  那個時候他以為他可能也要被接回天下
[00:07:50.000 --> 00:07:56.000]  就在那個時候他寫信給他在英國的兒女
[00:07:56.000 --> 00:07:59.000]  何惜在不久的將來
[00:07:59.000 --> 00:08:05.000]  你們所親愛的爸爸也會被神所接去
[00:08:05.000 --> 00:08:10.000]  但神永遠是你們的天父
[00:08:10.000 --> 00:08:15.000]  戴德森他的兒子死了
[00:08:15.000 --> 00:08:17.000]  兩個女兒死了
[00:08:17.000 --> 00:08:19.000]  他的太太也死了
[00:08:19.000 --> 00:08:23.000]  那個時候英國的教會是告訴他
