
[00:00:00.000 --> 00:00:03.400]  很開心跟大家再次延讀神話語
[00:00:03.400 --> 00:00:08.040]  我們連續三次去看尼希米的祈禱
[00:00:08.040 --> 00:00:14.040]  第一次已經看到尼希米雖然在波斯出世
[00:00:14.040 --> 00:00:16.680]  身居高位
[00:00:16.680 --> 00:00:17.880]  做皇的酒正
[00:00:17.880 --> 00:00:19.280]  高薪厚祿
[00:00:19.280 --> 00:00:22.360]  但是他仍然很愛自己的國家
[00:00:22.360 --> 00:00:26.240]  當他聽到自己的故鄉
[00:00:26.240 --> 00:00:30.240]  他們城門被燒毀城牆破爛的時候
[00:00:30.240 --> 00:00:33.400]  人民受著不同的人的欺壓
[00:00:33.400 --> 00:00:34.920]  他內心很痛苦
[00:00:34.920 --> 00:00:36.280]  他坐下哭泣
[00:00:36.280 --> 00:00:37.760]  然後禁食
[00:00:37.760 --> 00:00:39.320]  他向神禮討告
[00:00:39.320 --> 00:00:43.920]  看到第一個祈禱就是一篇很偉大的禱文
[00:00:43.920 --> 00:00:45.760]  他向神禮呼求
[00:00:45.760 --> 00:00:48.320]  先確認神的權能
[00:00:48.320 --> 00:00:50.200]  榮耀和身份
[00:00:50.200 --> 00:00:52.600]  然後為著子民
[00:00:52.600 --> 00:00:54.880]  甚至連自己的父家
[00:00:54.880 --> 00:00:56.600]  在神面前有認罪
[00:00:56.600 --> 00:00:58.320]  然後拿著神的應許
[00:00:58.320 --> 00:00:59.760]  就說你要祝福我們
[00:00:59.760 --> 00:01:01.520]  但是我們記得
[00:01:01.520 --> 00:01:03.560]  尼希米的禱告其實很簡單
[00:01:03.560 --> 00:01:04.320]  為自己
[00:01:04.320 --> 00:01:05.320]  只是一句而已
[00:01:05.320 --> 00:01:08.000]  使你的僕人現今亨通
[00:01:08.000 --> 00:01:09.360]  在皇面前蒙恩
[00:01:09.360 --> 00:01:09.880]  是不是?
[00:01:09.880 --> 00:01:12.760]  這就是三軍未動祈禱先行
[00:01:12.760 --> 00:01:14.400]  雖然很簡單的祈禱
[00:01:14.400 --> 00:01:16.240]  但是心裡面已經籌算了
[00:01:16.240 --> 00:01:17.560]  應該要怎麼做
[00:01:17.560 --> 00:01:18.760]  到有一天
[00:01:18.760 --> 00:01:21.000]  皇帝見他侍酒的時候
[00:01:21.000 --> 00:01:22.040]  很不開心就問他
