
[00:00:00.000 --> 00:00:02.660]  鼎姊妹 新年蒙福
[00:00:02.660 --> 00:00:07.900]  大家還是很精神
[00:00:07.900 --> 00:00:11.480]  2022年
[00:00:11.480 --> 00:00:14.200]  希望今年真的二二過
[00:00:14.200 --> 00:00:17.640]  不容易 已經大足兩年了
[00:00:17.640 --> 00:00:23.000]  但我們仍然無改對上主的敬拜
[00:00:23.000 --> 00:00:25.160]  正如第二首詩歌《他作王》
[00:00:25.160 --> 00:00:27.380]  很久沒唱過這首詩歌
[00:00:27.960 --> 00:00:29.920]  祂是我們真正的王
[00:00:29.920 --> 00:00:32.320]  地上的王會過去
[00:00:32.320 --> 00:00:35.860]  但我們的主耶穌基督是永遠作王
[00:00:35.860 --> 00:00:38.440]  啟述說祂是萬王之王
[00:00:38.440 --> 00:00:40.600]  萬主之主
[00:00:40.600 --> 00:00:43.760]  鼎姊妹 我們今天所敬拜的
[00:00:43.760 --> 00:00:46.440]  所侍奉的 所跟從的
[00:00:46.440 --> 00:00:48.780]  原來是這麼偉大的 你知不知道?
[00:00:48.780 --> 00:00:51.360]  如果你未知 今天就要知了
[00:00:51.360 --> 00:00:55.880]  何必偏偏選中我
[00:00:56.600 --> 00:01:00.080]  是否有些很負面 很被迫 很不情願
[00:01:00.080 --> 00:01:03.620]  說這句話的人 通常都不太舒服
[00:01:03.620 --> 00:01:09.720]  小鳥 天空這麼大 地上這麼大
[00:01:09.720 --> 00:01:10.920]  為什麼你
[00:01:10.920 --> 00:01:13.340]  解決都選中我呢?
[00:01:13.340 --> 00:01:17.680]  我人生裡試過兩次了 中頭獎
[00:01:17.680 --> 00:01:22.440]  新冠肺炎
[00:01:23.120 --> 00:01:27.000]  香港每天都只是一百幾十宗
[00:01:27.000 --> 00:01:29.260]  為什麼我都會中招呢?
[00:01:29.260 --> 00:01:33.900]  公司經濟不好 我知道
[00:01:33.900 --> 00:01:37.160]  我們部門真的都頗倫俊
[00:01:37.160 --> 00:01:39.920]  所以公司說要找我們部門開刀
[00:01:39.920 --> 00:01:43.860]  要有人交人 要解僱一個人
[00:01:43.860 --> 00:01:45.900]  我們部門一百幾十人
[00:01:45.900 --> 00:01:48.620]  為什麼偏偏選中我去被解僱呢?
[00:01:48.620 --> 00:01:50.840]  我不是最懶惰的那個
[00:01:50.840 --> 00:01:54.660]  我不是最做不到事的那個 為什麼偏偏要選我呢?
[00:01:54.660 --> 00:01:59.760]  為什麼我要遇到癌症?
[00:01:59.760 --> 00:02:04.840]  為什麼這麼多意外會發生
[00:02:04.840 --> 00:02:08.200]  臨到我最親愛的家人身上呢?
[00:02:08.200 --> 00:02:11.180]  是
[00:02:11.180 --> 00:02:14.360]  何必偏偏選中我 是很無奈
[00:02:14.360 --> 00:02:16.420]  是一種很不舒服的感受
[00:02:16.420 --> 00:02:19.580]  但換一個角度
[00:02:20.920 --> 00:02:22.940]  如果自己的照片
[00:02:22.940 --> 00:02:24.760]  竟然
[00:02:24.760 --> 00:02:28.540]  被時代雜誌周刊選中
[00:02:28.540 --> 00:02:32.040]  成為封面的一個
[00:02:32.040 --> 00:02:33.420]  你會怎麼想呢?
[00:02:33.420 --> 00:02:36.700]  你不會說 何必偏偏選中我呢?
[00:02:36.700 --> 00:02:37.700]  不會吧?
[00:02:37.700 --> 00:02:40.840]  同樣的 今天我想問大家
[00:02:40.840 --> 00:02:42.840]  你作為一個基督徒
[00:02:42.840 --> 00:02:48.040]  甚至今天你會接受這個就職禮的頂姐妹
[00:02:48.040 --> 00:02:50.460]  你會不會說
[00:02:50.860 --> 00:02:53.460]  何必偏偏選中我呢?
[00:02:53.460 --> 00:02:55.160]  教會這麼多人
[00:02:55.160 --> 00:02:58.320]  為什麼要選我去侍奉呢?
[00:02:58.320 --> 00:03:03.960]  保羅說 因為他從創世以前
[00:03:03.960 --> 00:03:07.280]  在基督的裏面揀選了我們
[00:03:07.280 --> 00:03:10.560]  使我們在他面前能夠成為聖潔
[00:03:10.560 --> 00:03:13.480]  沒有瑕疵 沒有愛心
[00:03:13.480 --> 00:03:15.320]  原來上帝揀選我們
[00:03:15.320 --> 00:03:18.280]  是要我們成為獨立的一群
[00:03:18.280 --> 00:03:20.020]  是很不同的
[00:03:20.020 --> 00:03:22.220]  是聖潔的 歸於神的
[00:03:22.220 --> 00:03:26.360]  從保羅的講解裏面告訴你
[00:03:26.360 --> 00:03:28.540]  我們之所以能夠信耶穌
[00:03:28.540 --> 00:03:30.540]  不是不幸的事
[00:03:30.540 --> 00:03:32.240]  從世人的角度來講
[00:03:32.240 --> 00:03:34.380]  可以稱他為萬幸
[00:03:34.380 --> 00:03:36.080]  我真是很幸運
[00:03:36.080 --> 00:03:38.960]  其實我們基督徒真的不覺得是幸運
[00:03:38.960 --> 00:03:43.520]  我們要為我們能夠被上帝揀選成為信徒
[00:03:43.520 --> 00:03:44.720]  能夠侍奉他
[00:03:44.720 --> 00:03:46.540]  應該覺得是感恩的事
[00:03:46.540 --> 00:03:47.920]  我們要感謝神
[00:03:49.260 --> 00:03:50.800]  我曾經問自己
[00:03:50.800 --> 00:03:52.880]  如果不是星空事件的時候
[00:03:52.880 --> 00:03:56.140]  我茫茫茫茫被政府派去一所基督教學校讀書
[00:03:56.140 --> 00:03:58.600]  我都不知道自己有沒有機會信耶穌
[00:03:58.600 --> 00:04:02.040]  那時候連耶穌是什麼我都不知道
[00:04:02.040 --> 00:04:04.700]  我從來沒有讀過聖經 沒見過聖經
[00:04:04.700 --> 00:04:06.540]  那所學校也不是很出名
[00:04:06.540 --> 00:04:10.420]  但是是一所很重視基督教育
[00:04:10.420 --> 00:04:12.180]  很重視傳婚的中學
[00:04:12.180 --> 00:04:14.180]  我就是因為這樣去信耶穌
[00:04:14.180 --> 00:04:18.380]  我為神的恩典感謝
[00:04:19.620 --> 00:04:21.700]  同樣在耶穌在世的時候
[00:04:21.700 --> 00:04:24.260]  祂選了十二個門徒
[00:04:24.260 --> 00:04:27.500]  讓他們跟著耶穌生活
[00:04:27.500 --> 00:04:29.340]  教導他們做人
[00:04:29.340 --> 00:04:32.140]  耶穌選了哪十二個呢?
[00:04:32.140 --> 00:04:35.040]  我們一起讀一讀今天所選的經文
[00:04:35.040 --> 00:04:37.920]  馬太福音十章一至四節
[00:04:37.920 --> 00:04:39.600]  我們一起重讀 預備起
[00:04:39.600 --> 00:04:42.340]  十二個門徒來
[00:04:42.340 --> 00:04:44.300]  給他們權柄
[00:04:44.300 --> 00:04:47.980]  能驅趕污靈和醫治各人的疾病
[00:04:48.220 --> 00:04:50.580]  這十二使徒的名字如下
[00:04:50.580 --> 00:04:53.940]  頭個叫西門 又稱彼得
[00:04:53.940 --> 00:04:56.180]  還有他弟弟安德烈
[00:04:56.180 --> 00:04:58.380]  西畢泰的兒子雅各
[00:04:58.380 --> 00:05:00.380]  和雅各的弟弟約翰
[00:05:00.380 --> 00:05:02.660]  費利和巴多羅馬
[00:05:02.660 --> 00:05:04.900]  多瑪和瑞利馬泰
[00:05:04.900 --> 00:05:08.260]  阿勒斐的兒子雅各和塔泰
[00:05:08.260 --> 00:05:10.180]  激進黨的西門
[00:05:10.180 --> 00:05:13.380]  還有出賣耶穌的加律人猶大
[00:05:13.380 --> 00:05:17.220]  在這段記載裡面 你看到那十二個門徒的名字
[00:05:18.020 --> 00:05:21.140]  那裡所謂的塔泰 其實另一個名字叫猶大
[00:05:21.140 --> 00:05:23.300]  彼得的另一個名字叫西門
[00:05:23.300 --> 00:05:28.100]  玩者名單裡面有兩個西門 兩個猶大 兩個雅各
[00:05:28.100 --> 00:05:31.140]  希望大家有時間可以記一記
[00:05:31.140 --> 00:05:34.380]  另一段經文 我想讀給大家聽
[00:05:34.380 --> 00:05:37.780]  耶穌上了三把自己所要的人召來
[00:05:37.780 --> 00:05:39.940]  他們就來到他那裡
[00:05:39.940 --> 00:05:41.940]  於是他設立十二個門徒
[00:05:41.940 --> 00:05:44.340]  又稱他們為使徒
[00:05:44.340 --> 00:05:46.780]  要他們嘗和自己同在
[00:05:46.780 --> 00:05:49.140]  又要拆他們去傳道
[00:05:49.140 --> 00:05:51.620]  並給他們權柄講鬼
[00:05:51.620 --> 00:05:55.100]  在兩段經文裡面 不單止我們知道這十二個門徒的名字
[00:05:55.100 --> 00:05:58.820]  有一部分他也會解釋 比如說馬泰是瑞利
[00:05:58.820 --> 00:06:01.220]  西門是什麼 是激進黨的
[00:06:01.220 --> 00:06:03.060]  我們以前叫做粉瑞黨
[00:06:03.060 --> 00:06:05.460]  武俠本叫做粉瑞黨 現在叫激進黨
[00:06:05.460 --> 00:06:06.660]  容易明白了
[00:06:06.660 --> 00:06:08.660]  在這兩段經文裡面
[00:06:08.660 --> 00:06:11.620]  你可以看到這十二個門徒
[00:06:11.620 --> 00:06:14.020]  其實他們是什麼背景
[00:06:14.580 --> 00:06:17.860]  而兩段經文很特別提到
[00:06:17.860 --> 00:06:21.780]  這十個門徒又稱為十二個使徒
[00:06:21.780 --> 00:06:24.700]  其實使徒和門徒一點也不相同
[00:06:24.700 --> 00:06:26.020]  門徒即是學生
[00:06:26.020 --> 00:06:28.380]  跟著耶穌的一群學生
[00:06:28.380 --> 00:06:32.140]  而使徒是帶著使命被差遣的意思
[00:06:32.140 --> 00:06:34.900]  換言之 耶穌選了十二個使徒
[00:06:34.900 --> 00:06:37.580]  讓他們有使命 有責任
[00:06:37.580 --> 00:06:39.980]  和他們一起生活 建立他們
[00:06:39.980 --> 00:06:42.980]  門徒讓我想起
[00:06:44.980 --> 00:06:47.380]  想起《馬太福音》二十八章所說
[00:06:47.380 --> 00:06:50.820]  所以你們要去使萬民作我的門徒
[00:06:50.820 --> 00:06:53.860]  奉父子聖靈的名 給他們施洗
[00:06:53.860 --> 00:06:57.380]  凡我所吩咐你們的 都教訓他們遵守
[00:06:57.380 --> 00:07:01.300]  頂子妹 原來耶穌給我們的大使命
[00:07:01.300 --> 00:07:02.980]  不是單單傳福音
[00:07:02.980 --> 00:07:06.260]  而是使人作祂的門徒
[00:07:06.260 --> 00:07:08.660]  這才是最重要的
[00:07:08.660 --> 00:07:11.420]  而我們自己也是門徒
[00:07:11.420 --> 00:07:13.860]  使萬民作主的門徒
[00:07:13.860 --> 00:07:16.820]  就是使萬民成為學習主的人
[00:07:16.820 --> 00:07:19.060]  什麼叫學習主的人?
[00:07:19.060 --> 00:07:23.140]  不只是坐在課室裡聽耶穌講道理
[00:07:23.140 --> 00:07:26.260]  根據第二十節所說
[00:07:26.260 --> 00:07:30.340]  凡所吩咐的 都教訓人遵守
[00:07:30.340 --> 00:07:32.820]  原來真正主的門徒是什麼?
[00:07:32.820 --> 00:07:35.540]  是要知道耶穌講什麼
[00:07:35.540 --> 00:07:37.540]  是要效法耶穌
[00:07:37.540 --> 00:07:39.940]  並且遵守祂的道
[00:07:39.940 --> 00:07:43.540]  遵守不只是做 跟著做 跟著做
[00:07:44.020 --> 00:07:46.180]  真正的意思是包含什麼?
[00:07:46.180 --> 00:07:49.540]  是要守護真理
[00:07:49.540 --> 00:07:51.060]  守護神的道
[00:07:51.060 --> 00:07:53.060]  今天我們作為主的門徒
[00:07:53.060 --> 00:07:54.340]  我們要跟耶穌
[00:07:54.340 --> 00:07:56.900]  我們責任守護真理
[00:07:56.900 --> 00:08:01.940]  耶穌對猶太人說
[00:08:01.940 --> 00:08:05.060]  你們若繼續遵守我的道
[00:08:05.060 --> 00:08:07.780]  就真是我的門徒了
[00:08:07.780 --> 00:08:08.740]  頂子妹
[00:08:08.740 --> 00:08:11.140]  第一 我希望今天你明白
[00:08:11.140 --> 00:08:16.420]  你信耶穌不只是掛名叫基督
[00:08:16.420 --> 00:08:18.420]  甚至你信耶穌的唯一原因
[00:08:18.420 --> 00:08:21.140]  是因為你以為信耶穌之後
[00:08:21.140 --> 00:08:22.660]  死後就有著落了
[00:08:22.660 --> 00:08:25.780]  在生的時候就一帆風順
[00:08:25.780 --> 00:08:27.460]  有什麼就靠耶穌
[00:08:27.460 --> 00:08:28.580]  當然
[00:08:28.580 --> 00:08:30.180]  我們死後有著落
[00:08:30.180 --> 00:08:31.620]  這是耶穌的應許
