
[00:00:00.000 --> 00:00:04.220]  我們讀一段聖經 在啟示錄第二十二章第二節
[00:00:04.220 --> 00:00:08.740]  跟以西結書四十七章九節兩節的聖經
[00:00:08.740 --> 00:00:11.260]  這裡說在河這邊與那邊有生命樹
[00:00:11.260 --> 00:00:14.340]  結十二樣果子 每月都結果子
[00:00:14.340 --> 00:00:17.640]  樹上的葉子乃為一字萬名
[00:00:17.640 --> 00:00:21.980]  這河水所到之處 凡滋生的動物都必生活
[00:00:21.980 --> 00:00:25.340]  並且因這流來的水 必有極多的魚
[00:00:25.340 --> 00:00:27.260]  海水也變甜了
[00:00:27.260 --> 00:00:30.780]  這河水所到之處 百物都必生活
[00:00:30.780 --> 00:00:32.860]  我們就讀到這裡
[00:00:32.860 --> 00:00:37.460]  我想再一次謝謝高市長來到我們中間分享跟鼓勵我們
[00:00:37.460 --> 00:00:41.940]  我想回想二十幾年前當我們開始生命河的時候
[00:00:41.940 --> 00:00:50.500]  其實神對生命河的心意是遠遠超過我們當時所能想像
[00:00:50.500 --> 00:00:54.780]  當時我們所想的只是建立一個堂會
[00:00:54.780 --> 00:01:00.420]  但神帶領我們走的卻是一個跨文化的職堂的運動
[00:01:00.420 --> 00:01:04.180]  當時我們所想的只是希望教會的成長
[00:01:04.180 --> 00:01:09.260]  但神帶領我們進入的卻是一個有影響力的教會
[00:01:09.260 --> 00:01:13.300]  而當我們回頭來看神這些年在我們中間的作為的時候
[00:01:13.300 --> 00:01:19.100]  神真的是在帶領我們走上一條影響世代的道路
[00:01:19.100 --> 00:01:23.540]  但其實如果仔細看聖經裡面有關生命河的經文
[00:01:23.540 --> 00:01:28.340]  其實你就看見在聖經裡面所形容的生命河
[00:01:28.340 --> 00:01:32.740]  是一條又大又廣的江河
[00:01:32.740 --> 00:01:35.300]  所以起初的二十二章第二節裡面
[00:01:35.300 --> 00:01:40.100]  特別講到生命河旁邊有生命樹
[00:01:40.100 --> 00:01:43.380]  樹的葉子是為一智萬民
[00:01:43.380 --> 00:01:46.500]  很有意思 特別講到是一智萬民
[00:01:46.500 --> 00:01:49.620]  換句話說生命河所要帶來的一智
[00:01:49.620 --> 00:01:53.060]  不只是一個個人的一智 家庭的一智
[00:01:53.060 --> 00:01:58.860]  更是講到社區 講到族群 講到國家的一智
[00:01:58.860 --> 00:02:01.540]  在以西節書四十七章第九節的經文
[00:02:01.540 --> 00:02:03.340]  講到河水所到之處
[00:02:03.340 --> 00:02:07.660]  你看見好像一切都改變 萬象更新
[00:02:07.660 --> 00:02:12.260]  不但一切的動物活過來 魚群充滿了河水
[00:02:12.260 --> 00:02:15.620]  連死海的水都從苦變甜
[00:02:15.620 --> 00:02:18.300]  換句話說一切都要改變
[00:02:18.300 --> 00:02:22.660]  本來充滿死亡氣息的都要活過來
[00:02:22.660 --> 00:02:24.460]  所以當我們再一次看到聖經裡面
[00:02:24.460 --> 00:02:27.220]  所講到生命河的經文的時候
