
[00:00:00.000 --> 00:00:03.500]  十一月是一個感恩的季節
[00:00:03.500 --> 00:00:06.400]  感恩是我們人在生命當中
[00:00:06.400 --> 00:00:09.600]  一個非常重要的操練
[00:00:09.600 --> 00:00:13.800]  感恩能夠使我們人的心胸更寬廣
[00:00:13.800 --> 00:00:16.400]  特別是當你在忙碌的時候
[00:00:16.400 --> 00:00:21.300]  你的眼目常常只會看見眼前的事情
[00:00:21.300 --> 00:00:25.800]  你常看重眼前的豐富或者是缺乏
[00:00:25.800 --> 00:00:28.400]  卻忽略了其實人生
[00:00:28.400 --> 00:00:34.000]  是遠比這個時刻的順利與否更加寬廣
[00:00:34.000 --> 00:00:38.900]  其實我們人一生的道路都在神的手中
[00:00:38.900 --> 00:00:40.900]  跟你們說你的一生都在神的手中
[00:00:40.900 --> 00:00:43.700]  跟他說
[00:00:43.700 --> 00:00:47.700]  詩篇139篇第十六十七兩節的聖經
[00:00:47.700 --> 00:00:49.300]  這裡說我未成形的體質
[00:00:49.300 --> 00:00:51.300]  你的眼早已看見
[00:00:51.300 --> 00:00:54.600]  你所定的日子我尚未度一日
[00:00:54.600 --> 00:00:57.400]  你都寫在你的冊子上
[00:00:57.400 --> 00:00:58.700]  十七節神啊
[00:00:58.700 --> 00:01:02.000]  你的意念向我何等寶貴
[00:01:02.000 --> 00:01:04.900]  其數何等眾多
[00:01:04.900 --> 00:01:06.900]  感謝主我們看見神
[00:01:06.900 --> 00:01:09.000]  真的在我們一生當中
[00:01:09.000 --> 00:01:12.100]  祂的手從來沒有離開過
[00:01:12.100 --> 00:01:13.600]  這裡說
[00:01:13.600 --> 00:01:15.500]  主所定的日子
[00:01:15.500 --> 00:01:17.700]  我們尚未度一日
[00:01:17.700 --> 00:01:20.600]  主都寫在祂的冊子上
[00:01:20.600 --> 00:01:23.100]  而且祂的意念向我
[00:01:23.100 --> 00:01:25.400]  感謝主這裡沒有說我們很多人
[00:01:25.400 --> 00:01:26.700]  不是
[00:01:26.700 --> 00:01:28.800]  主的意念向我
[00:01:28.800 --> 00:01:30.700]  何等的寶貴
[00:01:30.700 --> 00:01:34.000]  其數何等的眾多
[00:01:34.000 --> 00:01:36.700]  第二件你可知道你的一生
[00:01:36.700 --> 00:01:39.800]  真的在神手中嗎
[00:01:39.800 --> 00:01:42.100]  你可知道神在你的生命當中
[00:01:42.100 --> 00:01:44.600]  是有個命定的嗎
[00:01:44.600 --> 00:01:46.000]  今天我們就要從生命紀律
[00:01:46.000 --> 00:01:48.400]  十一章十一十二節裡面
[00:01:48.400 --> 00:01:52.100]  我們看見神在我們生命中的命定
[00:01:52.100 --> 00:01:53.700]  有三方面
[00:01:53.700 --> 00:01:55.100]  第一個我們看見
[00:01:55.100 --> 00:01:58.900]  神的命定是代表神的眷顧
[00:01:58.900 --> 00:01:59.600]  跟你媽說
[00:01:59.600 --> 00:02:04.600]  神的命定代表神的眷顧
[00:02:04.600 --> 00:02:05.800]  第十二節這裡說
[00:02:05.800 --> 00:02:08.200]  從歲守到年終
[00:02:08.200 --> 00:02:10.000]  耶和華的眼目怎麼樣呢
[00:02:10.000 --> 00:02:14.200]  時常看顧那地
[00:02:14.200 --> 00:02:15.700]  從歲守到年終
[00:02:15.700 --> 00:02:19.100]  耶和華的眼目都時常看顧
[00:02:19.100 --> 00:02:21.400]  神的眼目代表什麼呢
[00:02:21.400 --> 00:02:22.400]  第一個
[00:02:22.400 --> 00:02:25.600]  神的眼目代表了神的預備
[00:02:25.600 --> 00:02:26.100]  跟你媽說
[00:02:26.100 --> 00:02:30.400]  神的眼目代表神的預備
[00:02:30.400 --> 00:02:31.800]  在舊約聖經裡面
[00:02:31.800 --> 00:02:34.500]  神很清楚的啟示我們神的名字
[00:02:34.500 --> 00:02:36.300]  是耶華以樂
[00:02:36.300 --> 00:02:37.200]  我相信我們都知道
[00:02:37.200 --> 00:02:39.400]  耶華以樂的意思是什麼
[00:02:39.400 --> 00:02:42.100]  那個意思在耶華的山上必有什麼
[00:02:42.100 --> 00:02:43.600]  預備
[00:02:43.600 --> 00:02:44.500]  但事實上你要知道
[00:02:44.500 --> 00:02:47.700]  耶華以樂這個以樂這兩個字
[00:02:47.700 --> 00:02:52.100]  在原文裡面是看見的意思
