
[00:00:00.000 --> 00:00:02.000]  菩薩兄姊妹,讓我們聆聽主導熱線
[00:00:02.000 --> 00:00:04.000]  讓我們一起同心體投土
[00:00:04.000 --> 00:00:06.000]  仰望為主我們一神
[00:00:06.000 --> 00:00:09.000]  慈悲的天父,多謝你
[00:00:09.000 --> 00:00:10.000]  讓我們能夠再次回來
[00:00:10.000 --> 00:00:13.000]  在你寶貴的說話的面前學習
[00:00:13.000 --> 00:00:15.000]  求你永遠同在
[00:00:15.000 --> 00:00:17.000]  幫助我們,無論是聽的說的
[00:00:17.000 --> 00:00:20.000]  都能夠同樣在這段時間裡
[00:00:20.000 --> 00:00:22.000]  領受主你的教訓
[00:00:22.000 --> 00:00:24.000]  讓我們能夠生命得到更新
[00:00:24.000 --> 00:00:26.000]  並且將我們的信心
[00:00:26.000 --> 00:00:30.000]  完完全全的在主的裡面能夠投靠
[00:00:30.000 --> 00:00:32.000]  求你永遠可以同在
[00:00:32.000 --> 00:00:33.000]  我們同心的禱告
[00:00:33.000 --> 00:00:36.000]  奉靠主耶穌基督得勝的名字而求
[00:00:36.000 --> 00:00:37.000]  阿們
[00:00:37.000 --> 00:00:40.000]  今天我的聲音好像很雌性
[00:00:40.000 --> 00:00:44.000]  因為我咳了一個星期
[00:00:44.000 --> 00:00:46.000]  希望大家忍耐一下
[00:00:46.000 --> 00:00:50.000]  希望聲音不會太過嚇人
[00:00:50.000 --> 00:00:52.000]  今天跟大家一起分享的經文
[00:00:52.000 --> 00:00:54.000]  是《馬太福音》第十章
[00:00:54.000 --> 00:00:56.000]  第二十三至二十五節
[00:00:56.000 --> 00:00:57.000]  我給了一個題目
[00:00:57.000 --> 00:00:59.000]  很有趣的一個題目
[00:00:59.000 --> 00:01:06.000]  就是《認定父神還未有圓的心願》
[00:01:06.000 --> 00:01:10.000]  我們剛剛踏入聖誕節的節期
[00:01:10.000 --> 00:01:13.000]  我想大家不知道有沒有想過
[00:01:13.000 --> 00:01:18.000]  在過去這二千多年前的時候
[00:01:18.000 --> 00:01:21.000]  耶穌降世來到這個世界
[00:01:21.000 --> 00:01:25.000]  其實是因為什麼原因呢
[00:01:25.000 --> 00:01:27.000]  是不是因為沒什麼事做
[00:01:27.000 --> 00:01:29.000]  想找些東西來搞
[00:01:29.000 --> 00:01:33.000]  還是嫌我們這個冬季太過悶
[00:01:33.000 --> 00:01:36.000]  弄了一個聖誕節的節期給我們呢
[00:01:36.000 --> 00:01:38.000]  這個題目我相信是
[00:01:38.000 --> 00:01:40.000]  很值得大家一起思想的
[00:01:40.000 --> 00:01:44.000]  特別在過去兩個禮拜前
[00:01:44.000 --> 00:01:50.000]  我跟家人一起去到美國旅行的時候
[00:01:50.000 --> 00:01:55.000]  發覺去到美國很多地方都播聖誕歌
[00:01:55.000 --> 00:01:56.000]  播聖誕歌
[00:01:56.000 --> 00:02:03.000]  不是播一些聖誕節日氣氛的歌那麼簡單
[00:02:03.000 --> 00:02:06.000]  而是歌詞裏面真的談論到
[00:02:06.000 --> 00:02:09.000]  耶穌基督降生等等這些問題
[00:02:09.000 --> 00:02:11.000]  特別我去到這個旅遊區的時候
[00:02:11.000 --> 00:02:16.000]  我會發覺到人頭多到很鼎盛
[00:02:16.000 --> 00:02:20.000]  歌曲一直播放著環繞著節日的氣氛
