
[00:00:00.000 --> 00:00:03.320]  《瑪麗福音》第20章
[00:00:03.320 --> 00:00:07.600]  一到十六節
[00:00:07.600 --> 00:00:08.220]  各位電影節目
[00:00:08.220 --> 00:00:11.200]  這段聖經你之前有沒有看過?
[00:00:11.200 --> 00:00:13.000]  有沒有留意這段聖經?
[00:00:13.000 --> 00:00:14.040]  當你看完這段聖經的時候
[00:00:14.040 --> 00:00:17.760]  第一個時間你有什麼感受?
[00:00:17.760 --> 00:00:19.200]  我記得我第一次看這段聖經的時候
[00:00:19.200 --> 00:00:20.320]  第一個感覺就是
[00:00:20.320 --> 00:00:22.200]  怎麼搞的?
[00:00:22.200 --> 00:00:23.720]  這是什麼比喻?
[00:00:23.720 --> 00:00:25.320]  這麼不公平
[00:00:25.320 --> 00:00:26.760]  這麼不平等
[00:00:26.760 --> 00:00:28.560]  這麼貌的
[00:00:28.560 --> 00:00:31.640]  有沒有人有這個感受?
[00:00:31.640 --> 00:00:33.680]  有的
[00:00:33.680 --> 00:00:34.640]  這麼貌
[00:00:34.640 --> 00:00:37.240]  耶穌這個比喻說什麼呢?
[00:00:37.240 --> 00:00:38.280]  當我再預備
[00:00:38.280 --> 00:00:40.080]  今天這個經過跟大家分享的時候
[00:00:40.080 --> 00:00:41.440]  我在網上看不同的資料
[00:00:41.440 --> 00:00:44.040]  我又想起我以前在網上看過一幅圖
[00:00:44.040 --> 00:00:45.960]  所以我給你看一幅圖
[00:00:45.960 --> 00:00:47.280]  這幅圖有沒有看過?
[00:00:47.280 --> 00:00:49.240]  網上有一段時間這幅圖都挺紅的
[00:00:49.240 --> 00:00:52.040]  其實我估計都是美式插圖
[00:00:52.040 --> 00:00:53.640]  背景是打棒球的
[00:00:53.640 --> 00:00:54.920]  沒有什麼人看棒球的
[00:00:54.920 --> 00:00:56.320]  這裡說到看棒球
[00:00:56.320 --> 00:00:58.480]  有三個小朋友
[00:00:58.480 --> 00:00:59.840]  有些高一點
[00:00:59.840 --> 00:01:01.040]  有些沒那麼高
[00:01:01.040 --> 00:01:02.440]  有些再沒那麼高
[00:01:02.440 --> 00:01:04.320]  他們三個就站在這裡看棒球
[00:01:04.320 --> 00:01:06.880]  因為前面有一個圍欄遮住
[00:01:06.880 --> 00:01:08.320]  什麼叫做平等呢?
[00:01:08.320 --> 00:01:10.200]  就是大家都一樣有這麼多資源
[00:01:10.200 --> 00:01:11.800]  每人有一個木箱
[00:01:11.800 --> 00:01:13.840]  站了木箱之後怎麼辦呢?
[00:01:13.840 --> 00:01:15.680]  你發覺有一個
[00:01:15.680 --> 00:01:17.760]  左邊那一位看得很清楚
[00:01:17.760 --> 00:01:19.280]  因為他很高
[00:01:19.280 --> 00:01:20.640]  中間那一位
[00:01:20.640 --> 00:01:23.480]  剛剛撞到也好
[00:01:23.480 --> 00:01:26.440]  下面那一位看到他的背影也覺得他沮喪
[00:01:26.440 --> 00:01:32.080]  因為站在一級的木箱都看不到
[00:01:32.080 --> 00:01:34.960]  有人就說這叫做平等
[00:01:34.960 --> 00:01:36.680]  平等分配
[00:01:36.680 --> 00:01:38.160]  第二張圖呢?
[00:01:38.160 --> 00:01:41.280]  有人說這不就叫做公平嗎?
[00:01:41.280 --> 00:01:44.040]  將這三個木箱重新重組
[00:01:44.040 --> 00:01:46.120]  第一個其實他自己夠高
[00:01:46.120 --> 00:01:47.200]  不要木箱也夠了
[00:01:47.200 --> 00:01:48.320]  所以就這樣看就行了
[00:01:48.320 --> 00:01:49.760]  第二個就給他一個木箱
[00:01:49.760 --> 00:01:51.440]  第三個就給他兩個木箱
[00:01:51.440 --> 00:01:53.600]  最後結果三個人一樣都那麼高
[00:01:53.600 --> 00:01:55.760]  就三個都看得到
[00:01:55.760 --> 00:01:58.440]  這就叫做公平了
[00:01:58.440 --> 00:02:00.600]  第三張圖呢?
[00:02:00.600 --> 00:02:01.440]  現實是怎樣的呢?
[00:02:01.440 --> 00:02:03.280]  有人說現實就是這樣的
[00:02:03.280 --> 00:02:05.320]  現實就是
[00:02:05.320 --> 00:02:07.080]  很高的那個高到出界了
[00:02:07.080 --> 00:02:08.320]  有很多個木箱都在說
[00:02:08.320 --> 00:02:09.760]  一二三四五六七
[00:02:09.760 --> 00:02:11.440]  資源都去了那個人身上
[00:02:11.440 --> 00:02:13.440]  有的就越多資源
[00:02:13.440 --> 00:02:15.040]  沒有的又怎樣呢?
[00:02:15.040 --> 00:02:15.920]  掘個洞
[00:02:15.920 --> 00:02:17.280]  掉下去
[00:02:17.280 --> 00:02:20.040]  看不到還要掉到最低
[00:02:20.040 --> 00:02:21.480]  三張圖
[00:02:21.480 --> 00:02:23.080]  原來還有第四張圖
[00:02:23.080 --> 00:02:26.400]  如果真正的開放真正的自由是怎樣呢?
[00:02:26.400 --> 00:02:28.240]  拿走欄就行了
