
[00:00:00.000 --> 00:00:02.120]  因為我們紮根在神的裏面
[00:00:02.120 --> 00:00:06.520]  我們更加需要去檢視我們的內心
[00:00:06.520 --> 00:00:12.520]  究竟我們心裏面最關注的、最關心的是甚麼呢?
[00:00:12.520 --> 00:00:14.920]  我猜測而已,我不知道是不是
[00:00:14.920 --> 00:00:21.120]  可能你們關心的就是何時可以全面恢復上學
[00:00:21.120 --> 00:00:22.520]  不知道你是不是呢?
[00:00:22.520 --> 00:00:25.120]  因為為甚麼經常上午班
[00:00:25.120 --> 00:00:27.720]  都沒有甚麼課外活動
[00:00:27.720 --> 00:00:31.520]  真的好像這個日子消失了
[00:00:31.520 --> 00:00:32.720]  你覺不覺得?
[00:00:32.720 --> 00:00:38.120]  只是上網課基本上我覺得是很欠缺很多東西的
[00:00:38.120 --> 00:00:41.920]  還有我們在學校裏面那種學校生活
[00:00:41.920 --> 00:00:43.920]  同學之間的相處
[00:00:43.920 --> 00:00:46.320]  我們一起玩運動
[00:00:46.320 --> 00:00:48.520]  我們一起去學樂器
[00:00:48.520 --> 00:00:51.520]  全部沒有了
[00:00:51.520 --> 00:00:54.520]  又沒有校際比賽
[00:00:54.520 --> 00:00:56.920]  你覺不覺得好像若有所失
[00:00:56.920 --> 00:01:01.120]  好像生命停頓了
[00:01:01.120 --> 00:01:05.120]  我覺得我們真的要珍惜我們能夠有機會
[00:01:05.120 --> 00:01:07.520]  因為這些不是必然的
[00:01:07.520 --> 00:01:14.720]  所以我們更加祈求主帶領我們找回我們的根源
[00:01:14.720 --> 00:01:19.120]  我們基督徒的根源就是在乎神
[00:01:19.120 --> 00:01:22.920]  所以神很重視我們的內心
[00:01:22.920 --> 00:01:25.320]  祂不是重視我們的行為表現
[00:01:25.320 --> 00:01:29.120]  祂是重視我們的內心
[00:01:29.120 --> 00:01:34.520]  我不知道你們學校有沒有PFAT
[00:01:34.520 --> 00:01:35.920]  有的舉手吧
[00:01:35.920 --> 00:01:37.720]  現在也好以前也好
[00:01:37.720 --> 00:01:39.520]  有沒有PFAT?
[00:01:39.520 --> 00:01:47.120]  其中我覺得最令我又愛又恨的就是HAPPY FACT
[00:01:47.120 --> 00:01:50.720]  我們往往都是很威風的在學校裏面
[00:01:50.720 --> 00:01:53.520]  而且他們通常是代表甚麼呢?
[00:01:53.520 --> 00:01:58.320]  他們代表學校的校規和那個律法
[00:01:58.320 --> 00:01:59.320]  或者是法律
[00:01:59.320 --> 00:02:01.120]  或者是權威
[00:02:01.120 --> 00:02:06.320]  或者是一些令人很艷羨的眼光
[00:02:06.320 --> 00:02:08.920]  當然如果你做得不好的話
[00:02:08.920 --> 00:02:11.320]  被他們看到你就很麻煩
[00:02:11.320 --> 00:02:14.520]  話說我記得有一次水運會
[00:02:14.520 --> 00:02:17.520]  我就帶了一部計數機
[00:02:17.520 --> 00:02:19.720]  CASIO計數機
[00:02:19.720 --> 00:02:25.320]  那個計數機裏面有個功能就是叫做數字遊戲
[00:02:25.320 --> 00:02:27.720]  我不知道你們還記不記得一個數字遊戲
[00:02:27.720 --> 00:02:31.520]  就是將打兩個數字加起來等於十的話
[00:02:31.520 --> 00:02:34.520]  那個數字就會消失的了
[00:02:34.520 --> 00:02:36.320]  大家記不記得有一個這樣的遊戲
[00:02:36.320 --> 00:02:39.920]  在我小時候中一的時候有這個遊戲
[00:02:39.920 --> 00:02:43.320]  我的正慶高采在水運會的時候
[00:02:43.320 --> 00:02:45.520]  誰知道PFAT就走過
[00:02:45.520 --> 00:02:48.920]  見到的時候就收了我的計數機了
[00:02:48.920 --> 00:02:50.320]  我記得很慘
[00:02:50.320 --> 00:02:53.320]  收了我的計數機還要去老師的房間
[00:02:53.320 --> 00:02:56.120]  訓導主任那裏才可以拿回來
[00:02:56.120 --> 00:02:58.720]  真是很丟臉
[00:02:58.720 --> 00:03:00.920]  所以我見到PFAT的時候
