
[00:00:00.000 --> 00:00:02.000]  挺世妹平安
[00:00:02.000 --> 00:00:04.000]  感激神恩典比
[00:00:04.000 --> 00:00:06.000]  我們又可以一起祭拜了
[00:00:06.000 --> 00:00:08.000]  剛才的詩歌都觸動我們的心靈
[00:00:08.000 --> 00:00:10.000]  每一次我都唱到
[00:00:10.000 --> 00:00:12.000]  耶穌 耶穌 耶穌
[00:00:12.000 --> 00:00:14.000]  奉獻一生
[00:00:14.000 --> 00:00:16.000]  最愛是你
[00:00:16.000 --> 00:00:18.000]  我想起很多年前
[00:00:18.000 --> 00:00:20.000]  上帝的愛臨到我
[00:00:20.000 --> 00:00:22.000]  呼召我
[00:00:22.000 --> 00:00:24.000]  叫我成為一個
[00:00:24.000 --> 00:00:26.000]  全世界侍奉祂的人
[00:00:26.000 --> 00:00:28.000]  眨眼就幾十年了
[00:00:28.000 --> 00:00:30.000]  如今
[00:00:30.000 --> 00:00:32.000]  只能夠說日子是神恩典的明證
[00:00:32.000 --> 00:00:34.000]  但願我們都能夠
[00:00:34.000 --> 00:00:36.000]  不斷在人生的路上
[00:00:36.000 --> 00:00:38.000]  選擇最正確的事
[00:00:38.000 --> 00:00:40.000]  今日我們繼續思想登山補訓
[00:00:40.000 --> 00:00:42.000]  去到第十二次了
[00:00:42.000 --> 00:00:44.000]  今日我的題目是
[00:00:44.000 --> 00:00:46.000]  不憂慮的自由
[00:00:46.000 --> 00:00:48.000]  我仍然都想和大家讀一讀
[00:00:48.000 --> 00:00:50.000]  這段這麼寶貴的聖經
[00:00:50.000 --> 00:00:52.000]  就是馬太福音
[00:00:52.000 --> 00:00:54.000]  第六章 第二十四到三十四節
[00:00:54.000 --> 00:00:56.000]  馬太福音
[00:00:56.000 --> 00:00:58.000]  六章二十四到三十四節
[00:00:58.000 --> 00:01:00.000]  我數三聲大家一起讀
[00:01:00.000 --> 00:01:02.000]  一二三
[00:01:02.000 --> 00:01:04.000]  一個人不能侍奉兩個主
[00:01:04.000 --> 00:01:06.000]  不是惡者個
