
[00:00:00.000 --> 00:00:01.760]  好的 姐妹好
[00:00:01.760 --> 00:00:06.200]  我想先和大家講一個寓言故事
[00:00:06.200 --> 00:00:08.080]  話說有一天
[00:00:08.080 --> 00:00:12.480]  魔鬼大王的手下小鬼
[00:00:12.480 --> 00:00:15.480]  很不明白地來到大王面前
[00:00:15.480 --> 00:00:17.080]  大王 大王
[00:00:17.080 --> 00:00:19.240]  為何那間教會那麼大
[00:00:19.240 --> 00:00:21.280]  有成千人
[00:00:21.280 --> 00:00:22.940]  但你不去搞擾他們
[00:00:22.940 --> 00:00:25.440]  反而花心思去搞那間
[00:00:25.440 --> 00:00:28.200]  只有幾十人的小教會
[00:00:28.200 --> 00:00:32.000]  你這樣做不是打錯算盤了嗎?
[00:00:32.000 --> 00:00:34.200]  大王就很得意地
[00:00:34.200 --> 00:00:37.000]  很得意地對小鬼說
[00:00:37.000 --> 00:00:40.400]  那間上千人的所謂教會
[00:00:40.400 --> 00:00:42.400]  每個人回來都只是說
[00:00:42.400 --> 00:00:45.400]  去哪裏喝 哪裏吃 哪裏玩
[00:00:45.400 --> 00:00:48.200]  對屬靈的事一點胃口都沒有
[00:00:48.200 --> 00:00:51.500]  大家之間相處都是很表面的
[00:00:51.500 --> 00:00:54.100]  只是說一些好聽的說話
[00:00:54.100 --> 00:00:55.900]  忠言逆耳
[00:00:55.900 --> 00:00:58.400]  那些牧師傳道更不濟
[00:00:58.400 --> 00:01:00.200]  不敢講真理
[00:01:00.200 --> 00:01:02.000]  只怕得罪人
[00:01:02.000 --> 00:01:03.900]  對付這些教會
[00:01:03.900 --> 00:01:06.400]  真是不費吹灰之力
[00:01:06.400 --> 00:01:08.900]  他們怎可以說是教會
[00:01:08.900 --> 00:01:12.200]  充其量就是一間俱樂部
[00:01:12.200 --> 00:01:14.500]  小鬼就很不服氣
[00:01:14.500 --> 00:01:17.800]  那間教會又如何?
[00:01:17.800 --> 00:01:21.900]  大王深深嘆了一口氣
[00:01:21.900 --> 00:01:25.300]  這間教會雖然小
[00:01:25.300 --> 00:01:27.900]  但他們上下一心
[00:01:27.900 --> 00:01:31.300]  而且有很強的使命感
[00:01:31.300 --> 00:01:33.700]  一天到晚都說要傳福音
[00:01:33.700 --> 00:01:36.700]  要把耶穌介紹給人們認識
[00:01:36.700 --> 00:01:39.000]  你說我怎可以不搞盡腦汁
[00:01:39.000 --> 00:01:40.600]  去對付他們呢?
[00:01:40.600 --> 00:01:43.000]  你還不快點來幫忙?
[00:01:43.000 --> 00:01:46.700]  小鬼說:大王遵命 遵命 遵命
[00:01:46.700 --> 00:01:50.700]  這真是一個虛構的故事
[00:01:50.700 --> 00:01:56.100]  不過我想它是真真實實反映了教會的情況
[00:01:56.100 --> 00:01:59.700]  或者我們屬靈的實況
[00:01:59.700 --> 00:02:04.300]  教會常常面對各種屬靈的攻擊
[00:02:04.300 --> 00:02:07.500]  今天我們看的這段經文
[00:02:07.500 --> 00:02:08.900]  大家有沒有發覺
[00:02:08.900 --> 00:02:11.900]  第四章讀了一至五節
[00:02:11.900 --> 00:02:14.100]  為何跳了二十四節呢?
[00:02:14.100 --> 00:02:17.500]  事源是四章的六至二十三節
[00:02:17.500 --> 00:02:21.100]  其實是一段倒敘式的描述
[00:02:21.100 --> 00:02:24.500]  是在之後的皇帝發生的
[00:02:24.500 --> 00:02:28.300]  關於重建城牆後期遇到的難阻
[00:02:28.300 --> 00:02:30.500]  所以是一些往後發生的事
[00:02:30.500 --> 00:02:32.900]  插入了現在這段經文
[00:02:32.900 --> 00:02:35.900]  所以你會發覺我們讀完頭五節
[00:02:35.900 --> 00:02:37.700]  一跳就跳到二十四節
[00:02:37.700 --> 00:02:41.300]  接著說重建聖殿的事
[00:02:41.300 --> 00:02:43.300]  今天這段經文說到
[00:02:43.300 --> 00:02:46.500]  正當那群被擄歸回的以色列人
[00:02:46.500 --> 00:02:50.300]  他們一心要重建耶和華的聖殿的時候
[00:02:50.300 --> 00:02:52.300]  那些敵人就出現了
[00:02:52.300 --> 00:02:56.500]  並且用各種手法阻撓他們
[00:02:56.500 --> 00:02:58.500]  他們用了甚麼手法呢?
