
[00:00:00.000 --> 00:00:04.000]  好了,感恩節過去了,接著是什麼?
[00:00:04.000 --> 00:00:08.000]  我們很自然都會想,接著聖誕節來了
[00:00:08.000 --> 00:00:13.000]  其實在感恩節期間,去到商場的時候
[00:00:13.000 --> 00:00:18.000]  有些商場已經開始播放,播出聖誕的音樂
[00:00:18.000 --> 00:00:23.000]  不過大家不知道有沒有開始去想一想
[00:00:23.000 --> 00:00:27.000]  今年的聖誕節怎麼過呢?
[00:00:27.000 --> 00:00:31.000]  意思就是說,我們預備怎麼去迎接
[00:00:31.000 --> 00:00:35.000]  去紀念救主的降生
[00:00:35.000 --> 00:00:38.000]  我希望透過今天的訊息,可以幫助大家
[00:00:38.000 --> 00:00:46.000]  預備好心,來去迎接這個普天同慶之人
[00:00:46.000 --> 00:00:50.000]  今天的講題叫做
[00:00:50.000 --> 00:00:53.000]  人因他的出生必喜樂
[00:00:53.000 --> 00:00:56.000]  這句話是出自《老家福音》一章十四節
[00:00:56.000 --> 00:01:01.000]  從字面上來看,我們來看看這句話
[00:01:01.000 --> 00:01:05.000]  《老家福音》一章十四節
[00:01:05.000 --> 00:01:12.000]  從字面上來看,他說有很多人因著約翰
[00:01:12.000 --> 00:01:15.000]  這個不是仕途約翰,是施洗約翰
[00:01:15.000 --> 00:01:19.000]  因著約翰的出生而喜樂
[00:01:19.000 --> 00:01:27.000]  但是深一層去想這個意思的時候
[00:01:27.000 --> 00:01:31.000]  其實這句話的意義是說
[00:01:31.000 --> 00:01:40.000]  因神的救恩臨到而歡喜快樂
[00:01:40.000 --> 00:01:46.000]  包惟鈞博士他在他的《釋經》書上指出說
[00:01:46.000 --> 00:01:51.000]  他是《老家福音》的專家
[00:01:51.000 --> 00:01:54.000]  他說《老家福音》的作者
[00:01:54.000 --> 00:01:59.000]  每逢用到喜樂,原文是Kara
[00:01:59.000 --> 00:02:01.000]  用到這個字的時候
[00:02:01.000 --> 00:02:07.000]  他都是形容和救恩有關的情景
[00:02:07.000 --> 00:02:11.000]  所以他說這句話其實是直指
[00:02:11.000 --> 00:02:18.000]  救恩將來臨而喜樂
[00:02:18.000 --> 00:02:24.000]  我們有沒有為救恩臨到我們身上
[00:02:24.000 --> 00:02:31.000]  或者我們已經得到救恩而歡喜快樂呢?
[00:02:31.000 --> 00:02:38.000]  今天我就和大家一起思想和回應這個題目
[00:02:38.000 --> 00:02:42.000]  為了得到救恩而歡喜快樂
[00:03:08.000 --> 00:03:13.000]  亞比亞班女有一個祭司名叫撒加里亞
[00:03:13.000 --> 00:03:19.000]  他妻子是亞倫的後人名叫伊麗莎白
[00:03:19.000 --> 00:03:23.000]  摩西的律法規定只有亞倫的後代
[00:03:23.000 --> 00:03:29.000]  亞倫的子孫才可以做祭司
[00:03:29.000 --> 00:03:34.000]  撒加里亞就是施洗約翰的父親
[00:03:34.000 --> 00:03:39.000]  撒加里亞是亞倫的後代
[00:03:39.000 --> 00:03:45.000]  更難得的是撒加里亞的妻子也是亞倫的後代
[00:03:45.000 --> 00:03:54.000]  就是說他們兩個人都有祭司的血緣
[00:03:54.000 --> 00:03:58.000]  雖然律法沒有規定
[00:03:58.000 --> 00:04:03.000]  祭司必定要娶亞倫後代的女子為妻
[00:04:03.000 --> 00:04:08.000]  但是在當時那些敬虔的祭司
[00:04:08.000 --> 00:04:18.000]  多數都會娶有祭司血緣的女子為妻
[00:04:18.000 --> 00:04:22.000]  就好像其實在美國
[00:04:22.000 --> 00:04:26.000]  上個世紀初期或者再上一個世紀
[00:04:26.000 --> 00:04:34.000]  很多牧師傳道人會娶另一個牧師傳道人的女兒為妻
[00:04:34.000 --> 00:04:38.000]  如果你看美國教會歷史你會看到
[00:04:38.000 --> 00:04:44.000]  很簡單大復興的約翰遜就是這樣
[00:04:44.000 --> 00:04:51.000]  他去一個很出名的牧師寄居在那裡
[00:04:51.000 --> 00:04:56.000]  躺在穀倉裡認識牧師的女兒
[00:04:56.000 --> 00:04:58.000]  後來就娶了牧師的女兒
[00:04:58.000 --> 00:05:05.000]  很多這些出名的傳道人都是這樣的結婚例子
[00:05:15.000 --> 00:05:22.000]  由大胃王那個時代開始祭司分為24班
[00:05:22.000 --> 00:05:26.000]  而亞比亞班是屬於第八班
[00:05:26.000 --> 00:05:31.000]  這是在歷代之廿四章有記載
[00:05:31.000 --> 00:05:34.000]  我們看第六節 盧家福音一章第六節
[00:05:34.000 --> 00:05:38.000]  他們二人在神面前都是二人
[00:05:38.000 --> 00:05:41.000]  進行主的一切誡命禮儀
[00:05:41.000 --> 00:05:43.000]  沒有可指責的
[00:05:43.000 --> 00:05:48.000]  他們是很敬虔的夫婦 很敬虔的祭司
[00:05:48.000 --> 00:05:51.000]  神一定很祝福他們
[00:05:51.000 --> 00:05:54.000]  我相信可以這樣說
[00:05:54.000 --> 00:05:57.000]  指示 還差一樣 第七節
[00:05:57.000 --> 00:06:01.000]  指示沒有孩子 因為伊麗莎白不生育
[00:06:01.000 --> 00:06:04.000]  兩個人又年紀老邁了
[00:06:04.000 --> 00:06:10.000]  聖經裡面很多時候很特別的用字
[00:06:10.000 --> 00:06:14.000]  其中一個就是指示
[00:06:14.000 --> 00:06:17.000]  指示這個字可圈可點
[00:06:17.000 --> 00:06:19.000]  意思就是說在這個情況下
[00:06:19.000 --> 00:06:22.000]  樣樣都很好了 樣樣都有了
[00:06:22.000 --> 00:06:25.000]  只是差了一樣
[00:06:25.000 --> 00:06:30.000]  他們沒有孩子
[00:06:30.000 --> 00:06:33.000]  在當時猶太人的傳統來說
