
[00:00:00.000 --> 00:00:03.520]  不得前書第一章十八節說大家很熟悉的一段經文
[00:00:03.520 --> 00:00:05.120]  因為十字架的道理
[00:00:05.120 --> 00:00:07.560]  在那些滅亡的人視為愚者
[00:00:07.560 --> 00:00:12.240]  但在我得救的人卻為上帝的大能
[00:00:12.240 --> 00:00:16.480]  《朝陽傳》第十八章第十節說
[00:00:16.480 --> 00:00:18.000]  上帝跟保羅說
[00:00:18.000 --> 00:00:21.280]  不要怕 只管講 不要閉口
[00:00:21.280 --> 00:00:24.560]  有我與你同在 必沒有人下手害你
[00:00:24.560 --> 00:00:29.280]  因為在這個城裏 我有許多的百姓
[00:00:29.280 --> 00:00:32.600]  我們今天的題目是叫建立教會救者地
[00:00:32.600 --> 00:00:34.960]  我們一起低頭做個禱告
[00:00:34.960 --> 00:00:36.080]  天父我們感謝祢
[00:00:36.080 --> 00:00:39.080]  只因為每逢主日祢招待我們來到祢面前
[00:00:39.080 --> 00:00:41.960]  不單有機會用詩歌去敬拜祢
[00:00:41.960 --> 00:00:44.320]  用奉獻去獻祭給祢
[00:00:44.320 --> 00:00:48.200]  並且我們能有機會去聆聽主祢自己的說話
[00:00:48.200 --> 00:00:50.040]  只求祢今天藉著這幫人的口
[00:00:50.040 --> 00:00:53.160]  拿走這幫人一切軟弱和難阻
[00:00:53.160 --> 00:00:56.160]  以致祢的話能夠直接進到我們的生命當中
[00:00:56.160 --> 00:00:59.000]  不單讓我們明白祢的話
[00:00:59.000 --> 00:01:01.200]  讓我們領受祢的話
[00:01:01.200 --> 00:01:03.800]  更加我們能夠享受祢的話之餘
[00:01:03.800 --> 00:01:07.520]  並且能夠去承受主祢的話語帶給我們的福氣
[00:01:07.520 --> 00:01:08.880]  帶給我們聽道的時間
[00:01:08.880 --> 00:01:12.480]  聽我們禱告 奉耶穌祢的聖名
[00:01:12.480 --> 00:01:13.760]  阿們
[00:01:13.760 --> 00:01:15.880]  哥倫多教會 我想大家都知道
