
[00:00:00.000 --> 00:00:05.260]  在這幾段經文中 我想解釋一下約翰的福音
[00:00:05.260 --> 00:00:08.760]  約翰是一個蒙愛的人
[00:00:08.760 --> 00:00:11.980]  他自小就有媽媽疼愛他
[00:00:11.980 --> 00:00:13.980]  他有很疼愛他的家人
[00:00:13.980 --> 00:00:16.540]  所以到最後耶穌在十字架上
[00:00:16.540 --> 00:00:20.040]  特別委託約翰照顧他的母親
[00:00:20.040 --> 00:00:21.480]  他這樣說
[00:00:21.480 --> 00:00:26.500]  所以當約翰寫了一些比較有爭議性
[00:00:26.500 --> 00:00:29.720]  衝擊性、壓力大的東西
[00:00:29.720 --> 00:00:31.720]  他有時寫得比較亂
[00:00:31.720 --> 00:00:36.560]  這就是為何我們做解經到第六章尾
[00:00:36.560 --> 00:00:39.240]  而到第九、第十章
[00:00:39.240 --> 00:00:43.800]  有時會發覺為何約翰繞來繞去說的東西
[00:00:43.800 --> 00:00:46.020]  他想起甚麼重點就說出來
[00:00:46.020 --> 00:00:49.640]  因為他的脾性不習慣寫那類的事
[00:00:49.640 --> 00:00:51.820]  每個作者都有他的脾性
[00:00:51.820 --> 00:00:56.200]  一個旅遊的人他很懂得欣賞、品味
[00:00:56.200 --> 00:00:59.800]  一個大自然神的創作他寫的風格不一樣
[00:00:59.800 --> 00:01:03.400]  他的文章就將他的性格表達出來
[00:01:03.400 --> 00:01:04.780]  音樂也是一樣
[00:01:04.780 --> 00:01:07.080]  我們彈琴有時聽到別人彈琴
[00:01:07.080 --> 00:01:09.080]  你最近沒有靈修嗎?
[00:01:09.080 --> 00:01:10.660]  可能是聽得出來的
[00:01:10.660 --> 00:01:14.160]  我不是說今天穿旗滿馬
[00:01:14.160 --> 00:01:17.100]  我是說一個人彈奏的
[00:01:17.100 --> 00:01:21.360]  就會將他心裏的歌曲、音樂顯露出來
[00:01:21.360 --> 00:01:25.280]  寫的文章、我們做的事都是
[00:01:25.280 --> 00:01:27.280]  在這段經文裏
[00:01:27.280 --> 00:01:29.600]  我想先問大家心裏的一些問題
[00:01:29.600 --> 00:01:32.420]  因為我們講到的不是在乎我們講了多少
[00:01:32.420 --> 00:01:35.680]  是聽到的他的心懷
[00:01:35.680 --> 00:01:38.660]  和聖經裏結合了多少重要
[00:01:38.660 --> 00:01:40.840]  我還想先問第二個問題
[00:01:40.840 --> 00:01:42.040]  這裏我寫了兩個問題
[00:01:42.040 --> 00:01:43.480]  但是第二個問題
[00:01:43.480 --> 00:01:48.200]  你在生活當中最近面對有甚麼壓力沒有呢?
[00:01:48.200 --> 00:01:49.360]  有時當然有
[00:01:49.360 --> 00:01:52.840]  大大小小都會有
[00:01:52.840 --> 00:01:55.160]  回到聖經裏面
[00:01:55.160 --> 00:01:57.160]  聖經安慰你
[00:01:57.160 --> 00:01:59.160]  每一次我們在神的面前
[00:01:59.160 --> 00:02:01.640]  一路集體看聖經也好
[00:02:01.640 --> 00:02:03.480]  自己個人靈修也好
[00:02:03.480 --> 00:02:06.240]  聖經裏面的亮光
[00:02:06.240 --> 00:02:09.160]  要照進你的心裏面
[00:02:09.160 --> 00:02:11.820]  這段經文約翰福音第七章
[00:02:11.820 --> 00:02:13.820]  由一到二十四節
[00:02:13.820 --> 00:02:18.280]  就是我們今集所說的經分門分
[00:02:18.280 --> 00:02:20.280]  可能頂姐妹在靈修那裏
[00:02:20.280 --> 00:02:22.760]  拿了靈修資料都已經讀過很多
[00:02:22.760 --> 00:02:24.520]  都很熟悉有些背景
[00:02:24.520 --> 00:02:28.680]  我把它總結出來
[00:02:28.680 --> 00:02:31.880]  就是耶穌基督面對有種
[00:02:31.880 --> 00:02:36.160]  說不出來的壓力其中兩樣
[00:02:36.160 --> 00:02:38.800]  這些壓力都不輕易
[00:02:38.800 --> 00:02:42.120]  家人要求祂有名有望
[00:02:42.120 --> 00:02:44.560]  有頭有面
[00:02:44.560 --> 00:02:46.040]  為甚麼你這麼久都不出名
[00:02:46.040 --> 00:02:47.600]  你會做神蹟
[00:02:47.600 --> 00:02:49.760]  為甚麼你不會出名
[00:02:49.760 --> 00:02:50.720]  抵押我們
[00:02:50.720 --> 00:02:52.400]  可能是這樣的原因
[00:02:52.400 --> 00:02:54.520]  或者可能諷刺祂
[00:02:54.520 --> 00:02:57.280]  又或者總有家人要認為
[00:02:57.280 --> 00:03:00.000]  祂處事想得好一點
[00:03:00.000 --> 00:03:02.440]  你出名不應該在加利利
[00:03:02.440 --> 00:03:04.640]  你上去耶路撒冷那裏
[00:03:04.640 --> 00:03:08.240]  那裏特別是現在駐彭捷來臨
[00:03:08.240 --> 00:03:11.080]  你六個月之前在預月節
[00:03:11.080 --> 00:03:13.040]  你可以在那個期裏面
[00:03:13.040 --> 00:03:14.560]  五餅二月
[00:03:14.560 --> 00:03:18.360]  但你又跟著說了一個很震撼的說話
[00:03:18.360 --> 00:03:22.920]  就是說我是生命的糧
[00:03:22.920 --> 00:03:24.800]  不過那個震撼說話真的挺震撼
[00:03:24.800 --> 00:03:28.160]  有很多門徒就離開了他
[00:03:28.160 --> 00:03:30.840]  一震就震散了
[00:03:30.840 --> 00:03:33.280]  他的支持者大量的減少
[00:03:33.280 --> 00:03:37.160]  可能有一個弟弟很懂得做市場部
[00:03:37.160 --> 00:03:38.560]  很懂得推介
[00:03:38.560 --> 00:03:41.840]  哥你想去耶路撒冷去
[00:03:41.840 --> 00:03:45.200]  你去那裏做幾件神蹟
[00:03:45.200 --> 00:03:46.880]  那你就出名了
[00:03:46.880 --> 00:03:49.400]  暗地裏會不會帶起我們還沒說
[00:03:49.400 --> 00:03:50.720]  聖經沒有記載
[00:03:50.720 --> 00:03:54.040]  我們只是猜想
