
[00:00:00.000 --> 00:00:02.000]  靚姐妹,早安!
[00:00:02.000 --> 00:00:06.740]  很感恩有機會在大家當中分享
[00:00:06.740 --> 00:00:08.740]  一起學習神的話語
[00:00:08.740 --> 00:00:13.200]  我們都是要靠神才可以明白神的話語
[00:00:13.200 --> 00:00:15.200]  我們同心一起去祈禱
[00:00:15.200 --> 00:00:20.200]  天父我們去俯伏在祢面前
[00:00:20.200 --> 00:00:24.700]  求祢賜我們一顆謙卑的心
[00:00:24.700 --> 00:00:28.200]  讓我們放下自己的想法
[00:00:28.200 --> 00:00:30.200]  我們敞開的心
[00:00:30.200 --> 00:00:34.200]  我們迎接祢自己的真理
[00:00:34.200 --> 00:00:36.200]  求祢的真理衝擊我們
[00:00:36.200 --> 00:00:38.200]  拆毀我們
[00:00:38.200 --> 00:00:40.200]  但同樣再次建立我們
[00:00:40.200 --> 00:00:43.200]  成為一個更加合理心意的人
[00:00:43.200 --> 00:00:46.200]  我們需要祢去帶領我們
[00:00:46.200 --> 00:00:49.200]  禱告仰望奉耶穌基督的聖名
[00:00:49.200 --> 00:00:51.200]  阿們
[00:00:51.200 --> 00:00:53.200]  我想今天大家應該會精神一點
[00:00:53.200 --> 00:00:55.200]  為什麼呢?因為
[00:00:55.200 --> 00:00:59.200]  一個月的世界盃上星期已經完成了
[00:00:59.200 --> 00:01:02.200]  不需要再捱更多的事情去看世界盃
[00:01:02.200 --> 00:01:04.200]  說到世界盃
[00:01:04.200 --> 00:01:07.200]  我認識一些很忠實的球迷
[00:01:07.200 --> 00:01:09.200]  他們捧開一隊
[00:01:09.200 --> 00:01:11.200]  很長情
[00:01:11.200 --> 00:01:12.200]  很忠心
[00:01:12.200 --> 00:01:13.200]  很熱情
[00:01:13.200 --> 00:01:15.200]  始終如一不會變
[00:01:15.200 --> 00:01:17.200]  他們是這一隊的粉絲
[00:01:17.200 --> 00:01:18.200]  就是這一隊
[00:01:18.200 --> 00:01:20.200]  無論你的戰績是怎樣
[00:01:20.200 --> 00:01:22.200]  他們都是一路捧這一隊
[00:01:22.200 --> 00:01:25.200]  這裡有多少人看英超的?
[00:01:25.200 --> 00:01:27.200]  沒有啊?
[00:01:27.200 --> 00:01:29.200]  很少啊
[00:01:29.200 --> 00:01:31.200]  都是很少啊
[00:01:31.200 --> 00:01:33.200]  只有幾隻手
[00:01:33.200 --> 00:01:37.200]  現在球季已經結束了
[00:01:37.200 --> 00:01:39.200]  應該不會再捱更多的事情
[00:01:39.200 --> 00:01:42.200]  這裡有多少人是曼聯的擁躉?
[00:01:42.200 --> 00:01:44.200]  輝達很幸運
[00:01:44.200 --> 00:01:46.200]  看到了
[00:01:46.200 --> 00:01:48.200]  大家都知道
[00:01:48.200 --> 00:01:52.200]  幾年前的曼聯的領隊費格遜一退休
[00:01:52.200 --> 00:01:54.200]  戰績就滑落了
[00:01:54.200 --> 00:01:57.200]  從來沒有再拿過英超冠軍
[00:01:57.200 --> 00:01:59.200]  但是我認識的曼聯隊伍
[00:01:59.200 --> 00:02:01.200]  起碼是我認識的那些
