
[00:00:00.000 --> 00:00:02.720]  各位弟兄姊妹,大家主日平安
[00:00:02.720 --> 00:00:09.880]  沒有想到這次又透過這樣的方式和大家一起來敬拜,一起來分享主的話
[00:00:09.880 --> 00:00:13.240]  那麼這三年,我們都學習到隨機應變這樣的事情
[00:00:13.240 --> 00:00:18.440]  很多時候是常常的要預備好有新的變化
[00:00:18.440 --> 00:00:24.640]  今天我們要一起來看《馬拉基書》的第二章,十到第十六節
[00:00:24.640 --> 00:00:29.280]  講的題目就是《忠誠守約》
[00:00:29.280 --> 00:00:32.640]  《傳道書》所言,日光之下沒有心事
[00:00:32.640 --> 00:00:36.600]  在人類的歷史當中,真是屢屢得厭
[00:00:36.600 --> 00:00:40.080]  同類的事會重複出現如戰爭
[00:00:40.080 --> 00:00:44.800]  只不過是從冷兵器的時代發展到核武的時代
[00:00:44.800 --> 00:00:48.480]  另外就是歷史邏輯也會不斷的重複
[00:00:48.480 --> 00:00:52.080]  比如影響一個政權穩定性的因素
[00:00:52.080 --> 00:01:00.920]  往往是政權的合法性,人口,糧食,金融,社會管控,還有民族邊陲
[00:01:00.920 --> 00:01:02.160]  這六個方面呢
[00:01:02.160 --> 00:01:04.120]  如果出現問題,日積月累
[00:01:04.120 --> 00:01:07.080]  這個政權就會崩濺
[00:01:07.080 --> 00:01:09.360]  還有一樁不變的事實呢
[00:01:09.360 --> 00:01:15.560]  就是人類最大的歷史教訓,就是會忘記歷史教訓
[00:01:15.560 --> 00:01:20.120]  聖經讓我們看到以色列人的國族史,就是個典型的案例
[00:01:20.120 --> 00:01:22.440]  當初北國和南國的滅亡
[00:01:22.440 --> 00:01:26.520]  人民被擄,就是由於背棄與神所立的約
[00:01:26.520 --> 00:01:28.720]  從而招致了惡果
[00:01:28.720 --> 00:01:32.960]  因着神的信誓和憐憫,以色列人從被擄之地迴歸
[00:01:32.960 --> 00:01:35.440]  重建聖殿大概呢
[00:01:35.440 --> 00:01:37.880]  就是聽話了一百多年
[00:01:37.880 --> 00:01:39.880]  然後到了馬拉基先知的時代
[00:01:39.880 --> 00:01:44.120]  就是公元前五世紀,相當於中國的春秋時代
[00:01:44.120 --> 00:01:47.200]  那麼以色列人又開始重蹈覆轍
[00:01:47.200 --> 00:01:50.880]  實在是令人唏噓,也令人困惑
[00:01:50.880 --> 00:01:52.000]  再三思量之下
[00:01:52.000 --> 00:01:53.960]  發現其實直到今日呢
[00:01:53.960 --> 00:01:56.560]  這仍是人類常見的一個現象
[00:01:56.560 --> 00:01:59.200]  即使新事實和新經驗呢
[00:01:59.200 --> 00:02:01.240]  未必能夠改變一個人
[00:02:01.240 --> 00:02:07.960]  因爲如果一個人的世界觀或者是價值觀這類左右行事爲人的本質沒有改變
[00:02:07.960 --> 00:02:14.960]  他就會堅持用舊有的解釋框架去理解新事物和新經驗
[00:02:14.960 --> 00:02:18.520]  就會仍然不斷的落入同一個陷阱當中
[00:02:18.520 --> 00:02:19.040]  今天呢
[00:02:19.040 --> 00:02:22.640]  我們跟大家一起來分享馬拉基書的第二章
[00:02:22.640 --> 00:02:23.720]  第十六節
[00:02:23.720 --> 00:02:32.000]  這是這卷書裏面六個神域裏面的第三個有關以色列人背信棄約的論辯
[00:02:32.000 --> 00:02:35.360]  我會讀經文給大家聽
[00:02:35.360 --> 00:02:36.880]  第十節
[00:02:36.880 --> 00:02:39.280]  我們豈不都是一位父嗎
[00:02:39.280 --> 00:02:41.560]  豈不是一位神所造的嗎
[00:02:41.560 --> 00:02:47.880]  我們個人怎麼以鬼詐待弟兄背棄了神與我們列祖所立的約呢
[00:02:47.880 --> 00:02:50.320]  猶大人行事鬼詐
[00:02:50.320 --> 00:02:54.360]  並且在以色列和耶路撒冷中行一件可憎的事
[00:02:54.360 --> 00:02:59.880]  因爲猶大人竊讀耶和華所喜愛的聖節
[00:02:59.880 --> 00:03:04.640]  或做聖地取侍奉外邦神的女子爲妻
[00:03:04.640 --> 00:03:05.880]  繁行這事的
[00:03:05.880 --> 00:03:09.760]  無論何人何人的原文做叫醒的
[00:03:09.760 --> 00:03:15.320]  答應的就是獻供物給萬軍之耶和華
[00:03:15.320 --> 00:03:18.840]  耶和華也必從雅各的帳篷中揀除她
[00:03:18.840 --> 00:03:21.960]  你們又行了一件這樣的事
[00:03:21.960 --> 00:03:24.920]  使前妻嘆息哭泣的眼淚
[00:03:24.920 --> 00:03:26.720]  遮蓋耶和華的痰
[00:03:26.720 --> 00:03:30.000]  以致耶和華不再看顧那供物
[00:03:30.000 --> 00:03:32.800]  也不樂意從你們手中收納
[00:03:32.800 --> 00:03:35.320]  你們還說這是爲什麼呢
[00:03:35.320 --> 00:03:40.480]  因耶和華在你和你幼年所起的妻中間所見證
[00:03:40.480 --> 00:03:42.160]  她雖是你的配偶
[00:03:42.160 --> 00:03:45.000]  又是你盟約的妻
[00:03:45.000 --> 00:03:46.400]  你卻以鬼詐待她
[00:03:46.400 --> 00:03:49.320]  雖然神有靈的餘力
[00:03:49.320 --> 00:03:50.840]  能造多人
[00:03:50.840 --> 00:03:52.720]  她不是單造一人嗎
[00:03:52.720 --> 00:03:54.440]  爲何只造一人呢
[00:03:54.440 --> 00:03:58.320]  乃是她願人得虔誠的後裔
[00:03:58.320 --> 00:04:00.440]  所以當謹守你們的心
[00:04:00.440 --> 00:04:03.880]  誰也不可以鬼詐待幼年所取的妻
[00:04:05.440 --> 00:04:07.840]  耶和華以撕裂的神說
[00:04:07.840 --> 00:04:13.320]  修妻的事和以強暴待妻的人都是我所恨惡的
[00:04:13.320 --> 00:04:15.640]  所以當謹守你們的心
[00:04:15.640 --> 00:04:17.080]  不可行事鬼詐
[00:04:17.080 --> 00:04:19.600]  這是萬鈞知耶和華說的
[00:04:19.600 --> 00:04:24.160]  好讓我與你同低頭禱告
[00:04:24.160 --> 00:04:26.800]  慈悲憐憫的天父
[00:04:26.800 --> 00:04:27.520]  我們感謝你
[00:04:27.520 --> 00:04:29.480]  今天我們能夠在一起敬拜你
[00:04:29.480 --> 00:04:31.640]  並且能聆聽主你的話語
[00:04:31.640 --> 00:04:33.720]  求主你的靈在我們中間運行
[00:04:33.720 --> 00:04:35.440]  開啓我們的心
[00:04:35.440 --> 00:04:37.360]  施憐憫於講的和聽的
[00:04:37.360 --> 00:04:38.680]  讓我們能夠曉得
[00:04:38.680 --> 00:04:41.160]  並且能夠明白你所說的話
[00:04:41.160 --> 00:04:43.680]  更幫助我們能夠行出來
[00:04:43.680 --> 00:04:46.440]  謝謝主禱告奉耶穌基督的聖名
[00:04:46.440 --> 00:04:46.760]  阿妹
[00:04:46.760 --> 00:04:52.320]  我們看這段經文呢
[00:04:52.320 --> 00:04:53.720]  我們要想起上面
[00:04:53.720 --> 00:04:59.440]  我們上次講到所講的就是第一章的第六節到第二章的九節
[00:04:59.440 --> 00:05:00.440]  是提到了呢
[00:05:00.440 --> 00:05:03.200]  祭司被棄立位之約
[00:05:03.200 --> 00:05:04.760]  不敬畏神的榮耀
[00:05:04.760 --> 00:05:07.640]  也不忠心教導神的話語
[00:05:07.640 --> 00:05:09.320]  所以今天這段經文
[00:05:09.320 --> 00:05:13.960]  我們可以看它是祭司失職之後呢
[00:05:13.960 --> 00:05:17.760]  在百姓當中所造成的惡劣的後果
[00:05:17.760 --> 00:05:21.160]  迴歸後的猶太人社會
[00:05:21.160 --> 00:05:22.400]  雪崩式的瓦解
[00:05:22.400 --> 00:05:24.520]  不知道大家見過雪崩沒有啊
[00:05:24.520 --> 00:05:26.880]  就雪崩在電視當中看到呢
[00:05:26.880 --> 00:05:28.800]  它從上面開始很慢
