
[00:00:00.000 --> 00:00:02.000]  各位親愛的弟弟姊妹
[00:00:02.000 --> 00:00:05.140]  今天
[00:00:05.140 --> 00:00:09.880]  和大家分享創世紀四十五章一到八節
[00:00:09.880 --> 00:00:13.880]  最主要來看看從弱勢的身上
[00:00:13.880 --> 00:00:17.820]  去學習一個饒恕的秘笈
[00:00:17.820 --> 00:00:21.440]  我相信
[00:00:21.440 --> 00:00:26.280]  絕大部分的人
[00:00:26.280 --> 00:00:29.340]  都曾經多多少少
[00:00:30.000 --> 00:00:32.600]  受過別人的傷害
[00:00:32.600 --> 00:00:36.000]  或者我想問問在座中有多少人
[00:00:36.000 --> 00:00:38.880]  是因為別人的說話 因為別人的態度
[00:00:38.880 --> 00:00:40.540]  因為別人的行為
[00:00:40.540 --> 00:00:43.720]  是令到你受過傷害的
[00:00:43.720 --> 00:00:47.880]  可不可以舉舉手 有多少試過被傷害過的
[00:00:47.880 --> 00:00:49.620]  舉手好嗎 舉高一點
[00:00:49.620 --> 00:00:53.520]  我相信差不多全部人 除了少數
[00:00:53.520 --> 00:00:55.020]  不記得了
[00:00:55.020 --> 00:00:59.400]  那些不記得的人有福了
[00:01:00.000 --> 00:01:01.000]  (笑聲)
[00:01:01.000 --> 00:01:03.040]  有人說
[00:01:03.040 --> 00:01:05.720]  你要去forgive嗎
[00:01:05.720 --> 00:01:07.820]  你就一定要forget
[00:01:07.820 --> 00:01:10.480]  有沒有聽過
[00:01:10.480 --> 00:01:15.560]  就是說你要饒恕 你就首先要忘記那些東西
[00:01:15.560 --> 00:01:17.700]  但是實際上
[00:01:17.700 --> 00:01:20.200]  我們有沒有可能忘記
[00:01:20.200 --> 00:01:23.840]  別人過去說的話 別人做的事 別人的態度呢
[00:01:23.840 --> 00:01:25.080]  有沒有可能
[00:01:25.080 --> 00:01:28.320]  有多少人認為是沒有可能忘記的
[00:01:28.320 --> 00:01:31.000]  可不可以舉手 沒有可能忘記
[00:01:31.000 --> 00:01:34.480]  除非
[00:01:34.480 --> 00:01:38.160]  如果有人能夠將我們腦裏面
[00:01:38.160 --> 00:01:40.380]  有一個記憶體
[00:01:40.380 --> 00:01:43.620]  在我們腦裏面某一個位置是一個記憶體
[00:01:43.620 --> 00:01:47.080]  那個記憶體你電過它
[00:01:47.080 --> 00:01:50.200]  或者傷了那裡
[00:01:50.200 --> 00:01:52.400]  撞傷了那裡
[00:01:52.400 --> 00:01:55.320]  傷了之後 這個記憶體一傷了
[00:01:55.320 --> 00:01:58.400]  過去的事全部都忘記了
[00:01:58.400 --> 00:02:00.240]  多年前
[00:02:00.240 --> 00:02:02.040]  我有一個朋友
[00:02:02.040 --> 00:02:05.680]  他們兩夫婦都在大學教書 港大
[00:02:05.680 --> 00:02:09.380]  有一次太太在帕馬地
[00:02:09.380 --> 00:02:11.460]  就在馬路邊的時間
[00:02:11.460 --> 00:02:15.180]  正想過 突然間有輛車本來停在那裏
[00:02:15.180 --> 00:02:18.200]  但是司機沒有拉好制
[00:02:18.200 --> 00:02:20.440]  車子就後退
[00:02:20.440 --> 00:02:24.240]  結果不知不覺就撞到了他
[00:02:24.860 --> 00:02:27.000]  撞到之後就跌倒在那裏
[00:02:27.000 --> 00:02:29.400]  腦袋掛在地上的時候
[00:02:29.400 --> 00:02:33.340]  昏迷 進了醫院
[00:02:33.340 --> 00:02:36.360]  經過一段頗長的時間
[00:02:36.360 --> 00:02:38.640]  我都不記得多久了
[00:02:38.640 --> 00:02:40.480]  好幾個月在醫院
[00:02:40.480 --> 00:02:42.140]  後來呢
[00:02:42.140 --> 00:02:44.060]  神跡地
[00:02:44.060 --> 00:02:46.400]  神給他醒過來
[00:02:46.400 --> 00:02:49.980]  當然 家人認識他們的頂姐妹
[00:02:49.980 --> 00:02:51.700]  非常愛主的頂姐妹
[00:02:51.700 --> 00:02:53.420]  個個都歡喜若狂
[00:02:53.420 --> 00:02:55.220]  就是因為她醒過來了
[00:02:55.220 --> 00:02:59.160]  醒過來之後 做了物理治療 做了各方面的事
[00:02:59.160 --> 00:03:02.100]  靜一靜 她就可以出院了
[00:03:02.100 --> 00:03:04.760]  而且是經過一段很長的時間
[00:03:04.760 --> 00:03:05.960]  她出院了
[00:03:05.960 --> 00:03:08.360]  但是唯一的問題
[00:03:08.360 --> 00:03:12.040]  我們初期都為她的丈夫感恩
[00:03:12.040 --> 00:03:14.100]  丈夫都很開心
[00:03:14.100 --> 00:03:16.960]  沒有想到的就是
[00:03:16.960 --> 00:03:18.420]  出了院之後
[00:03:18.420 --> 00:03:20.160]  帶來的
[00:03:20.160 --> 00:03:23.080]  是越來越不開心
[00:03:23.080 --> 00:03:25.080]  主要的原因是什麼呢
[00:03:25.080 --> 00:03:27.600]  原來她撞過那次的車之後
[00:03:27.600 --> 00:03:31.240]  完全熟的人 一個都不記得
[00:03:31.240 --> 00:03:33.060]  一個都不認得
[00:03:33.060 --> 00:03:36.240]  對著自己的丈夫 好像陌路人一樣
[00:03:36.240 --> 00:03:37.480]  你是誰啊
[00:03:37.480 --> 00:03:39.980]  完全不認識
[00:03:39.980 --> 00:03:44.160]  我們很難理解
[00:03:44.160 --> 00:03:47.660]  看起來好像完全康復的人
[00:03:47.660 --> 00:03:50.760]  為什麼這麼多熟的人
[00:03:50.760 --> 00:03:52.080]  一個都不記得
[00:03:52.080 --> 00:03:54.200]  以前發生的事情 提醒她
[00:03:54.200 --> 00:03:55.260]  不記得
[00:03:55.260 --> 00:03:58.700]  但是她的英文 仍然很聰明
[00:03:58.700 --> 00:04:00.400]  沒問題的
[00:04:00.400 --> 00:04:02.480]  所以很奇怪
[00:04:02.480 --> 00:04:05.480]  到底我們腦子裡哪一塊東西
[00:04:05.480 --> 00:04:07.940]  只記得以前
[00:04:07.940 --> 00:04:10.380]  我們特別是跟人之間的這些東西
[00:04:10.380 --> 00:04:11.960]  如果你將那一樣
[00:04:11.960 --> 00:04:14.520]  特別是將不好的 抹掉了
[00:04:14.520 --> 00:04:15.580]  多好啊 是不是
[00:04:15.580 --> 00:04:17.280]  就是別人傷害你的那些
[00:04:17.280 --> 00:04:19.600]  在那裡就抹掉了
[00:04:19.600 --> 00:04:22.240]  抹掉之後 記憶中的都是好東西
[00:04:22.240 --> 00:04:23.920]  嘩 這個真是好啊
[00:04:23.920 --> 00:04:25.280]  很可惜
[00:04:25.280 --> 00:04:26.200]  在今天
[00:04:26.200 --> 00:04:27.920]  不是這樣的
[00:04:27.920 --> 00:04:30.640]  我們對那些傷害過我們的人
[00:04:30.640 --> 00:04:32.760]  幾十年都記得
[00:04:32.760 --> 00:04:35.280]  有一對夫婦 六十多歲
[00:04:35.280 --> 00:04:36.600]  還要罵離婚
[00:04:36.600 --> 00:04:37.880]  而離婚的時候
[00:04:37.880 --> 00:04:39.240]  太太還記得
[00:04:39.240 --> 00:04:41.240]  我結婚那一天
[00:04:41.240 --> 00:04:43.120]  你這個負心漢
[00:04:43.120 --> 00:04:44.640]  你不是愛我的
[00:04:44.640 --> 00:04:47.000]  自己開了車 坐在那裡
[00:04:47.000 --> 00:04:48.680]  門都不為我開
[00:04:49.160 --> 00:04:51.480]  車門都不為我開 還記得
[00:04:51.480 --> 00:04:53.560]  這一幕
[00:04:53.560 --> 00:04:54.960]  原來是
[00:04:54.960 --> 00:04:56.680]  多少年了
[00:04:56.680 --> 00:04:58.880]  差不多四十年前
[00:04:58.880 --> 00:05:01.080]  這一幕東西
[00:05:01.080 --> 00:05:02.880]  還記得在裡面
[00:05:02.880 --> 00:05:04.400]  深印在裡面
[00:05:04.400 --> 00:05:06.760]  另一方面
[00:05:06.760 --> 00:05:08.760]  我們看回現今
[00:05:08.760 --> 00:05:11.080]  非常多的衝突
[00:05:11.080 --> 00:05:12.880]  由國與國
[00:05:12.880 --> 00:05:14.160]  以亞的
[00:05:14.160 --> 00:05:16.720]  以色列 阿拉伯國家
[00:05:16.720 --> 00:05:18.320]  以色列 巴勒斯坦
[00:05:18.880 --> 00:05:19.880]  以色列
[00:05:19.880 --> 00:05:22.840]  與美國 歐洲
[00:05:22.840 --> 00:05:24.400]  這些聯軍之間
[00:05:24.400 --> 00:05:26.200]  另一方面
[00:05:26.200 --> 00:05:27.760]  有很多
[00:05:27.760 --> 00:05:30.120]  在國內不同種族
[00:05:30.120 --> 00:05:31.440]  一些的
[00:05:31.440 --> 00:05:32.440]  爭奪
[00:05:32.440 --> 00:05:34.560]  另一方面 伊拉克本身
[00:05:34.560 --> 00:05:35.640]  遜尼派
[00:05:35.640 --> 00:05:37.880]  和另外一些的派系
[00:05:37.880 --> 00:05:39.480]  在當中一些的
[00:05:39.480 --> 00:05:40.320]  爭奪
[00:05:40.320 --> 00:05:42.280]  不是你死就我亡
[00:05:42.280 --> 00:05:44.800]  甚至腰纏炸彈
[00:05:44.800 --> 00:05:46.880]  上了巴士 大家同歸於盡
[00:05:47.000 --> 00:05:49.200]  那種仇恨去到一個地步
[00:05:49.200 --> 00:05:50.840]  不是你死就是我亡
[00:05:50.840 --> 00:05:51.680]  就是這樣
[00:05:51.680 --> 00:05:55.160]  幾年前
[00:05:55.160 --> 00:05:57.360]  我去了中西部
[00:05:57.360 --> 00:05:59.280]  在
[00:05:59.280 --> 00:06:01.040]  辛辛拉提
[00:06:01.040 --> 00:06:03.480]  那個地方有一個退休會
[00:06:03.480 --> 00:06:09.120]  是中西部七個不同的州
[00:06:09.120 --> 00:06:11.920]  一起舉行聯合的退休會
[00:06:11.920 --> 00:06:13.920]  有一千五百多
[00:06:13.920 --> 00:06:15.600]  那些華人參加
[00:06:16.320 --> 00:06:18.040]  我記得有一次吃飯的時候
[00:06:18.040 --> 00:06:20.400]  有一個醫生就帶著一些弟兄姊妹
[00:06:20.400 --> 00:06:21.040]  其中
[00:06:21.040 --> 00:06:22.600]  他就介紹我認識了一個
