
[00:00:00.000 --> 00:00:03.500]  剛才 李詩敏姐妹講見證
[00:00:03.500 --> 00:00:06.380]  半張A4紙
[00:00:06.380 --> 00:00:08.760]  不是很色彩繽紛的
[00:00:08.760 --> 00:00:11.180]  吸引了她來到主耶穌面前
[00:00:11.180 --> 00:00:14.060]  我五歲的時候
[00:00:14.060 --> 00:00:17.280]  又是被一張公仔紙吸引我來到耶穌面前
[00:00:17.280 --> 00:00:19.940]  我讀幼稚園
[00:00:19.940 --> 00:00:21.580]  有人帶我去禮拜堂
[00:00:21.580 --> 00:00:25.280]  帶我去Sunday School 主日學
[00:00:25.280 --> 00:00:28.420]  那些老師一人派一張公仔紙
[00:00:28.420 --> 00:00:31.420]  我那個時代 現在沒有人派公仔紙
[00:00:31.420 --> 00:00:34.560]  我有一張這麼小的公仔紙
[00:00:34.560 --> 00:00:38.680]  四分之一張A4尺寸
[00:00:38.680 --> 00:00:40.500]  有個農夫在那裡殺種
[00:00:40.500 --> 00:00:43.360]  我看完那張公仔紙後 我就保留著
[00:00:43.360 --> 00:00:45.740]  很久很久 我都捨不得扔掉
[00:00:45.740 --> 00:00:47.520]  到我九歲的時候
[00:00:47.520 --> 00:00:49.940]  我曾經在香港 我出街找耶穌
[00:00:49.940 --> 00:00:52.940]  當然不是找耶穌的奇人
[00:00:52.940 --> 00:00:54.920]  我找教會
[00:00:54.920 --> 00:00:56.920]  第一間教會我聯絡了
[00:00:56.920 --> 00:01:00.480]  現在還在九龍佐敦道
[00:01:00.480 --> 00:01:03.380]  呂拔萃對面有一間紅色的磚屋
[00:01:03.380 --> 00:01:04.660]  而且是西洋教會
[00:01:04.660 --> 00:01:08.360]  我小時候就在那裡學習主日學
[00:01:08.360 --> 00:01:12.060]  我想跟大家分享一個問題 就是耶穌是誰
[00:01:12.060 --> 00:01:13.640]  一個科學家
[00:01:13.640 --> 00:01:17.160]  他想事情是特別一點的
[00:01:17.160 --> 00:01:20.640]  當牧草的時候
