
[00:00:00.000 --> 00:00:04.900]  我們今天來看看神的真道在前進
[00:00:04.900 --> 00:00:07.600]  我們不希望火勢在前進
[00:00:07.600 --> 00:00:10.000]  不希望風勢在前進
[00:00:10.000 --> 00:00:14.500]  但是我們希望神的真道在前進
[00:00:14.500 --> 00:00:17.500]  事實上我們見到教會歷史
[00:00:17.500 --> 00:00:19.800]  是司堂尊所記載的
[00:00:19.800 --> 00:00:23.400]  見到神的道是真的在前進的
[00:00:23.400 --> 00:00:26.200]  這個希望我們今年新的一年裏
[00:00:26.200 --> 00:00:28.100]  我們弟兄姊妹都是這樣
[00:00:28.100 --> 00:00:32.300]  願意我們的人生是一個前進的人生
[00:00:32.300 --> 00:00:34.100]  能夠發揮一個好的影響
[00:00:34.100 --> 00:00:35.300]  不是壞的影響
[00:00:35.300 --> 00:00:38.200]  能夠發揮神的道
[00:00:38.200 --> 00:00:40.800]  在這個世界上是何等需要
[00:00:40.800 --> 00:00:42.700]  我們都是配合
[00:00:42.700 --> 00:00:45.800]  來到一個前進的道路
[00:00:45.800 --> 00:00:50.100]  所以我們在上一次講到的時候
[00:00:50.100 --> 00:00:52.600]  講到司堂尊第十三章
[00:00:52.600 --> 00:00:56.100]  今天我們看由十三至五十二節
[00:00:56.100 --> 00:00:59.000]  上一次我們講了第一至十二節
[00:00:59.000 --> 00:01:04.500]  這個正是在仕途保羅巴拿巴
[00:01:04.500 --> 00:01:08.300]  他們是蒙安提阿教會的差派
[00:01:08.300 --> 00:01:15.800]  就開始了保羅的宣教歷程
[00:01:15.800 --> 00:01:17.000]  這是第一個歷程
[00:01:17.000 --> 00:01:18.100]  然後第二個
[00:01:18.100 --> 00:01:20.400]  總共有多少個?
[00:01:20.400 --> 00:01:22.100]  有多少個?
[00:01:22.100 --> 00:01:23.500]  有些說三個 有些說四個
[00:01:23.500 --> 00:01:26.000]  不過我們說很清楚
[00:01:26.000 --> 00:01:33.000]  看到保羅帶著宣教的意義
[00:01:33.000 --> 00:01:35.300]  就是主要這三個歷程
[00:01:35.300 --> 00:01:36.500]  當然中間還有一個
