
[00:00:00.000 --> 00:00:03.080]  那今天我要跟大家簡短的思想
[00:00:03.080 --> 00:00:06.440]  那我是想講短一點 因為洗禮才是重要的
[00:00:06.440 --> 00:00:08.900]  兩位做見證的還有
[00:00:08.900 --> 00:00:11.900]  實習的牧師才是重要的 那剛才牧師也很客氣
[00:00:11.900 --> 00:00:14.480]  我想講二十分鐘多一點就可以了
[00:00:14.480 --> 00:00:17.380]  那牧師說不要緊 三十分鐘也可以 但我盡量不要
[00:00:17.380 --> 00:00:18.880]  超過三十分鐘
[00:00:18.880 --> 00:00:22.660]  我有個題目 但是題目也是怪怪的
[00:00:22.660 --> 00:00:25.640]  現代化一點 因為有人是從上海來
[00:00:25.640 --> 00:00:28.000]  有人是從北京來 我們又是在香港
[00:00:28.000 --> 00:00:31.120]  所以這個題目就是 傳媒頂峰
[00:00:31.120 --> 00:00:32.820]  與人際低谷
[00:00:32.820 --> 00:00:36.180]  一個問號 不像教會講到的題目
[00:00:36.180 --> 00:00:38.180]  不過經文重要
[00:00:38.180 --> 00:00:42.140]  唯有基督在我們還做罪人的時候
[00:00:42.140 --> 00:00:44.860]  為我們死 神的愛
[00:00:44.860 --> 00:00:46.940]  就在此向我們顯明了
[00:00:46.940 --> 00:00:50.560]  另外一節經文呢是 你會常常
[00:00:50.560 --> 00:00:53.060]  在到處都會看到的 有教會的地方
[00:00:53.060 --> 00:00:56.340]  可能都會講的 講神愛世人
[00:00:56.500 --> 00:00:59.460]  甚至 將祂的獨生子
[00:00:59.460 --> 00:01:02.180]  賜給他們 叫一切信祂的
[00:01:02.180 --> 00:01:05.180]  不致滅亡 反得永生
[00:01:05.180 --> 00:01:07.980]  約翰福音三章十六節是在凡是
[00:01:07.980 --> 00:01:10.640]  基督教學校讀過書的人 都知道的
[00:01:10.640 --> 00:01:14.120]  或者不是在基督教學校讀書 不信主
[00:01:14.120 --> 00:01:15.120]  你在
[00:01:15.120 --> 00:01:18.180]  比如說在香港 路面上你看到
[00:01:18.180 --> 00:01:20.640]  基督教醫院 我們佈道會有基督教醫院
[00:01:20.640 --> 00:01:23.500]  大家知道 佈道會還有神學院
[00:01:23.500 --> 00:01:25.780]  都會知道的
[00:01:26.660 --> 00:01:28.940]  但是我今天把重點放在
[00:01:28.940 --> 00:01:32.000]  羅馬書五章八章 這兩節經文都講
[00:01:32.000 --> 00:01:33.000]  神的愛
[00:01:33.000 --> 00:01:34.560]  大家的這個
[00:01:34.560 --> 00:01:37.980]  聚會的這個手冊 印得也很
[00:01:37.980 --> 00:01:40.960]  精美 彩色的 它也有一個主題
[00:01:40.960 --> 00:01:43.420]  好像 這是愛
[00:01:43.420 --> 00:01:45.820]  愛
[00:01:45.820 --> 00:01:47.500]  是什麼
[00:01:47.500 --> 00:01:49.520]  愛
[00:01:49.520 --> 00:01:51.260]  的形體怎樣
[00:01:51.260 --> 00:01:53.200]  愛的重量
[00:01:54.400 --> 00:01:57.020]  是怎樣的 愛的顏色
[00:01:57.020 --> 00:01:59.420]  又是怎樣的 其實
[00:01:59.420 --> 00:02:00.960]  它不是一個
[00:02:00.960 --> 00:02:03.000]  物體
[00:02:03.000 --> 00:02:06.720]  愛我們都知道 它不是有形狀的
[00:02:06.720 --> 00:02:11.160]  但是愛存不存在呢 大家一起
[00:02:11.160 --> 00:02:14.280]  回答我 如果不存在 你就搖頭
[00:02:14.280 --> 00:02:17.680]  如果愛存在的話 你就點頭 我就問大家了
[00:02:17.680 --> 00:02:20.760]  請你用你的頭回答我 這個世界
[00:02:20.760 --> 00:02:24.000]  這個家庭 這個社會 有沒有愛
[00:02:25.080 --> 00:02:28.120]  大部分人都點頭 有的人還講了出來
[00:02:28.120 --> 00:02:29.620]  有
[00:02:29.620 --> 00:02:31.520]  愛是有的
[00:02:31.520 --> 00:02:35.020]  但是愛是四方的呢 還是圓形的呢
[00:02:35.020 --> 00:02:37.140]  對不起 這問題問錯了
[00:02:37.140 --> 00:02:40.440]  愛是用秤去秤的呢 還是用
[00:02:40.440 --> 00:02:43.240]  電腦去錄音的呢
[00:02:43.240 --> 00:02:44.680]  都不是
[00:02:44.680 --> 00:02:47.980]  愛是另外一個世界的東西
[00:02:47.980 --> 00:02:52.020]  我第一次學聖經
[00:02:52.020 --> 00:02:54.540]  涵授課程 那是臺灣的
[00:02:54.540 --> 00:02:57.720]  我是華僑 我在韓國出生
[00:02:57.720 --> 00:02:59.920]  在漢城 今天講韓國
[00:02:59.920 --> 00:03:02.940]  很多年輕人都喜歡去 我中午吃飯 有個年輕人說
[00:03:02.940 --> 00:03:04.860]  他又要去韓國了
[00:03:04.860 --> 00:03:08.220]  我讀臺灣的
[00:03:08.220 --> 00:03:10.940]  聖經涵授課程的時候 第一課
[00:03:10.940 --> 00:03:13.960]  他告訴我神的存在 我覺得很有道理
