
[00:00:00.000 --> 00:00:03.000]  今天我要跟各位講的題目叫做
[00:00:03.000 --> 00:00:06.000]  恩典永留不斷
[00:00:06.000 --> 00:00:11.000]  來作為我們要體驗在竹裡面的成長
[00:00:11.000 --> 00:00:14.500]  你要知道怎麼樣感恩圖報
[00:00:14.500 --> 00:00:17.000]  怎麼樣能夠恩上加恩 利上加利
[00:00:17.000 --> 00:00:19.500]  福上加福 榮上加榮
[00:00:19.500 --> 00:00:21.500]  還有樂上加樂
[00:00:21.500 --> 00:00:26.000]  然後我們才能夠體驗到在竹裡面的成長
[00:00:26.000 --> 00:00:27.500]  我的意思是
[00:00:27.500 --> 00:00:30.500]  我們常常不知覺
[00:00:30.500 --> 00:00:34.500]  明明是神祝福臨到
[00:00:34.500 --> 00:00:38.500]  但是我們卻認為是我們應該得的
[00:00:38.500 --> 00:00:40.500]  是努力得來的
[00:00:40.500 --> 00:00:43.500]  那麼卻忘記了神的恩典
[00:00:43.500 --> 00:00:46.500]  神的祝福 神的憐憫
[00:00:46.500 --> 00:00:50.500]  所以我們要有這個感觸
[00:00:50.500 --> 00:00:53.500]  有這個sense 有這個sensitivity
[00:00:53.500 --> 00:00:56.500]  知道什麼是神的恩典
[00:00:56.500 --> 00:01:01.500]  而且我們需要它不斷地湧入我們的生命裡面
[00:01:01.500 --> 00:01:03.500]  湧入我們的心裡面
[00:01:03.500 --> 00:01:04.500]  換句話說
[00:01:04.500 --> 00:01:08.500]  其實是你在一個困苦的環境
[00:01:08.500 --> 00:01:10.500]  但是你的心卻是富足的
[00:01:10.500 --> 00:01:11.500]  不是嗎
[00:01:11.500 --> 00:01:15.500]  其實是在一個很難過的一個境況
[00:01:15.500 --> 00:01:18.500]  但是你卻是充滿了喜樂
[00:01:18.500 --> 00:01:21.500]  這個恩典就不斷地湧流了
[00:01:21.500 --> 00:01:26.500]  別人看你沒有什麼好值得高興的
[00:01:26.500 --> 00:01:29.500]  但是你卻非常的高興
[00:01:29.500 --> 00:01:33.500]  因為神的恩典湧流不斷地進來
[00:01:33.500 --> 00:01:36.500]  這故事的背景是說
[00:01:36.500 --> 00:01:39.500]  在事實秉振的時代
[00:01:39.500 --> 00:01:41.500]  什麼叫事實秉振的時代呢
[00:01:41.500 --> 00:01:51.500]  就是在耶穌也在過來以後有一個叫做事實記
[00:01:51.500 --> 00:01:54.500]  事實記它最主要是講
[00:01:54.500 --> 00:01:56.500]  那個時候以色列沒有亡
