
[00:00:00.000 --> 00:00:03.280]  孔子的學生曾子曾經說過
[00:00:03.280 --> 00:00:07.000]  人之將死 其言也善
[00:00:07.000 --> 00:00:09.720]  我相信部份人真的可以做到
[00:00:09.720 --> 00:00:11.720]  我相信我們都經歷過
[00:00:11.720 --> 00:00:13.720]  但是
[00:00:13.720 --> 00:00:15.720]  亦有一句說話
[00:00:15.720 --> 00:00:18.960]  死到臨頭都這麼固執
[00:00:18.960 --> 00:00:20.960]  死不悔改
[00:00:20.960 --> 00:00:22.960]  因為人有罪
[00:00:22.960 --> 00:00:26.240]  但我們敬愛的仕途保羅
[00:00:26.240 --> 00:00:29.720]  他同樣知道自己快將離世
[00:00:29.720 --> 00:00:33.880]  他認為自己就像獻祭時候的酒
[00:00:33.880 --> 00:00:38.040]  獻祭最後的部份是將酒打在祭壇旁
[00:00:38.040 --> 00:00:40.040]  表示整個祭禮完結
[00:00:40.040 --> 00:00:42.720]  保羅用這件事來比喻自己
[00:00:42.720 --> 00:00:44.720]  快將死
[00:00:44.720 --> 00:00:49.160]  加上異端的勢力影響心願
[00:00:49.160 --> 00:00:53.960]  所以保羅很願意在他所謂的真兒子
[00:00:53.960 --> 00:00:56.720]  或者屬靈的兒子提摩一泰
[00:00:56.720 --> 00:01:00.760]  對他作出一個很重要的提醒
[00:01:00.760 --> 00:01:02.040]  就是提摩一泰
[00:01:02.040 --> 00:01:04.040]  你要知道你的身份
[00:01:04.040 --> 00:01:05.680]  你的使命
[00:01:05.680 --> 00:01:09.360]  同樣這個吩咐亦成為我們今天的提醒
[00:01:09.360 --> 00:01:12.520]  第一方面保羅作出的吩咐是什麼呢?
[00:01:12.520 --> 00:01:17.040]  保羅吩咐你不要傳講神的道
[00:01:17.040 --> 00:01:19.040]  不要傳講神的道
[00:01:19.040 --> 00:01:21.800]  這是整段這幾節一個很重要的訊息
[00:01:21.800 --> 00:01:23.800]  不要傳道
[00:01:23.800 --> 00:01:27.520]  這個吩咐不在於環境如何
[00:01:27.520 --> 00:01:29.520]  不在於是否有合適時間
[00:01:29.520 --> 00:01:31.520]  不要傳道
[00:01:31.520 --> 00:01:33.800]  無論得時不得時
[00:01:33.800 --> 00:01:34.800]  簡單來說
[00:01:34.800 --> 00:01:35.800]  好像我們今天所說
