
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹朋友,你們好
[00:00:02.000 --> 00:00:05.000]  先say hi吧
[00:00:05.000 --> 00:00:09.000]  剛才那個崇拜的音樂
[00:00:09.000 --> 00:00:11.000]  其實就是想大家投入去
[00:00:11.000 --> 00:00:14.000]  我們嘗試投入去神的敬拜
[00:00:14.000 --> 00:00:17.000]  聽聽今天神跟我們說一個甚麼訊息
[00:00:17.000 --> 00:00:20.000]  我們說實踐使命已經去到第幾堂?
[00:00:20.000 --> 00:00:24.000]  應該是1,2,3,4,第四堂
[00:00:24.000 --> 00:00:26.000]  實踐使命主要是說甚麼?
[00:00:26.000 --> 00:00:29.000]  是一個行動的篇
[00:00:29.000 --> 00:00:33.000]  第四堂我想和大家分享一個題目
[00:00:33.000 --> 00:00:38.000]  叫做行神德性的道
[00:00:38.000 --> 00:00:41.000]  行道,我們聽完道就要行神的道
[00:00:41.000 --> 00:00:43.000]  但下一個是甚麼道呢?
[00:00:43.000 --> 00:00:45.000]  是神德性的道
[00:00:45.000 --> 00:00:46.000]  今天買了一個關子
[00:00:46.000 --> 00:00:48.000]  我們一會兒進入去說說
[00:00:48.000 --> 00:00:50.000]  神德性的道是怎樣的
[00:00:50.000 --> 00:00:52.000]  首先我想問大家
[00:00:52.000 --> 00:00:54.000]  問下問題,讓大家醒一醒
[00:00:54.000 --> 00:00:56.000]  你們也用一下腦
[00:00:56.000 --> 00:00:59.000]  第一個問題是問有哪些人
[00:00:59.000 --> 00:01:01.000]  或者你們在座當中
[00:01:01.000 --> 00:01:04.000]  認為神是絕對
[00:01:04.000 --> 00:01:07.000]  是一個絕對德性勝利的神
[00:01:07.000 --> 00:01:10.000]  請舉手
[00:01:10.000 --> 00:01:12.000]  大部分都舉了
[00:01:12.000 --> 00:01:13.000]  後面都舉了
[00:01:13.000 --> 00:01:15.000]  第二個問題問
[00:01:15.000 --> 00:01:17.000]  有誰覺得
[00:01:17.000 --> 00:01:20.000]  在自己日常的經歷裏
[00:01:20.000 --> 00:01:25.000]  常常經歷到神的德性?
[00:01:25.000 --> 00:01:28.000]  很明顯有人舉手
[00:01:28.000 --> 00:01:30.000]  但常常的意思是
[00:01:30.000 --> 00:01:32.000]  每一秒
[00:01:32.000 --> 00:01:34.000]  沒有人舉手
[00:01:34.000 --> 00:01:36.000]  那你覺得
[00:01:36.000 --> 00:01:38.000]  為甚麼有這麼大的偏差呢?
[00:01:38.000 --> 00:01:39.000]  這麼奇怪
[00:01:39.000 --> 00:01:41.000]  既然我們相信神
[00:01:41.000 --> 00:01:42.000]  我們接受神
[00:01:42.000 --> 00:01:43.000]  有些信了主很久
[00:01:43.000 --> 00:01:44.000]  可能信了主幾個月
[00:01:44.000 --> 00:01:46.000]  幾年,幾十年
[00:01:46.000 --> 00:01:49.000]  為甚麼我們仍然有一個偏差
[00:01:49.000 --> 00:01:51.000]  就是你信神的德性
[00:01:51.000 --> 00:01:53.000]  但你經歷不到他的德性
[00:01:53.000 --> 00:01:55.000]  究竟神是否有德性呢?
[00:01:55.000 --> 00:01:58.000]  今天就嘗試在這個
[00:01:58.000 --> 00:02:00.000]  我們很矛盾的思維裏面
[00:02:00.000 --> 00:02:03.000]  去找一條出路
[00:02:03.000 --> 00:02:05.000]  有一個姊妹
[00:02:05.000 --> 00:02:06.000]  信了耶穌
[00:02:06.000 --> 00:02:08.000]  我稱她為姊妹
[00:02:08.000 --> 00:02:09.000]  公司
[00:02:09.000 --> 00:02:10.000]  全公司的人
