
[00:00:00.000 --> 00:00:01.960]  有人寫了一篇文章
[00:00:01.960 --> 00:00:03.000]  他媽媽是甚麼呢?
[00:00:03.000 --> 00:00:04.960]  他說媽媽是沒有下雨的時候
[00:00:04.960 --> 00:00:07.880]  都叫你去帶雨傘出街的人
[00:00:07.880 --> 00:00:10.600]  媽媽是一個很特別的鬧鐘
[00:00:10.600 --> 00:00:12.600]  不需要鬧鐘她自己會醒
[00:00:12.600 --> 00:00:15.600]  而更加重要這個媽媽是可以鬧醒你
[00:00:15.600 --> 00:00:18.960]  比你家裏的鬧鐘更加厲害
[00:00:18.960 --> 00:00:20.720]  一定會叫醒你
[00:00:20.720 --> 00:00:22.720]  他說媽媽是唯一一個人
[00:00:22.720 --> 00:00:24.320]  知道你不見了的那隻襪子
[00:00:24.320 --> 00:00:25.840]  在哪裏可以找得出來的
[00:00:25.840 --> 00:00:27.840]  這個只是母親而已
[00:00:27.840 --> 00:00:29.400]  他說媽媽會怎樣呢?
[00:00:29.400 --> 00:00:33.400]  就是一直都期望你會長大成人
[00:00:33.400 --> 00:00:35.880]  但又不想你離開他身邊的人
[00:00:35.880 --> 00:00:37.680]  這個是很特別的
[00:00:37.680 --> 00:00:39.280]  媽媽在你小時候
[00:00:39.280 --> 00:00:41.800]  看到你彈琴按了幾下的時候
[00:00:41.800 --> 00:00:43.800]  就會覺得你比朗朗更厲害
[00:00:43.800 --> 00:00:47.000]  或者李宏迪就會覺得你是有音樂天份
[00:00:47.000 --> 00:00:49.480]  於是就會叫你去學琴的人
[00:00:49.480 --> 00:00:52.880]  媽媽是會叫你自己做自己的功課
[00:00:52.880 --> 00:00:55.800]  但她就會幫你去做美術勞作的
[00:00:55.800 --> 00:00:57.200]  即是這些人
[00:00:57.200 --> 00:00:59.480]  他說媽媽就是一個這麼偉大的人
[00:00:59.480 --> 00:01:03.680]  他說媽媽也是唯一一個不會妒忌你的成就
[00:01:03.680 --> 00:01:05.400]  超越了他的人
[00:01:05.400 --> 00:01:08.640]  這個我相信是一個母親的描繪
[00:01:08.640 --> 00:01:10.840]  甚至雖然神學思想不是很對
[00:01:10.840 --> 00:01:11.840]  但我都會認同
[00:01:11.840 --> 00:01:12.640]  他說甚麼呢?
[00:01:12.640 --> 00:01:14.520]  他說可能神是很忙的
[00:01:14.520 --> 00:01:16.640]  所以不能夠照顧每一個人
[00:01:16.640 --> 00:01:19.440]  所以神就為人做了一個叫母親
[00:01:19.440 --> 00:01:21.880]  讓這個做母親的可以照顧我們
[00:01:21.880 --> 00:01:23.880]  我再說這個神學思想是錯的
[00:01:23.880 --> 00:01:26.880]  但其實背後就說到母親的偉大
[00:01:26.880 --> 00:01:30.680]  所以求神來幫助我們去珍惜我們的母親
[00:01:30.680 --> 00:01:32.280]  今天我和大家在母親節裏面
[00:01:32.280 --> 00:01:34.880]  來思想一個很偉大的母親
[00:01:34.880 --> 00:01:37.680]  很多人很喜歡做名門之後
[00:01:37.680 --> 00:01:40.800]  可以咬著金鎖匙出世
[00:01:40.800 --> 00:01:43.480]  可以享受父母為他的成果
[00:01:43.480 --> 00:01:45.480]  但有時候他們都會很沉重
[00:01:45.480 --> 00:01:46.880]  因為眾目所視
[00:01:46.880 --> 00:01:50.080]  又或者新一代是一孩不如一孩
[00:01:50.080 --> 00:01:52.880]  除了我們有時候很想名門之後
[00:01:52.880 --> 00:01:57.480]  但有很多的父母很想成為名門的父母
[00:01:57.480 --> 00:02:00.680]  希望自己的兒女能夠出人頭地
[00:02:00.680 --> 00:02:02.480]  是眾目所視
[00:02:02.480 --> 00:02:04.680]  於是有那個社會地位
[00:02:04.680 --> 00:02:06.480]  有豐富的財富
[00:02:06.480 --> 00:02:09.680]  於是能夠成為他的父母與有榮焉
[00:02:09.680 --> 00:02:11.480]  中國人都會這樣說的
[00:02:11.480 --> 00:02:12.680]  陽明星
[00:02:12.680 --> 00:02:14.280]  接著是甚麼?
[00:02:14.280 --> 00:02:16.280]  三字經來的
[00:02:16.280 --> 00:02:17.680]  三字經不是髒話
[00:02:17.680 --> 00:02:19.480]  陽明星下面那句是甚麼?
[00:02:19.480 --> 00:02:21.080]  顯父母
[00:02:21.080 --> 00:02:25.280]  意思就是說如果你能夠有好的成就的時候
[00:02:25.280 --> 00:02:28.480]  你父母都得著榮耀
[00:02:28.480 --> 00:02:32.880]  所以甚至有很多的父母會推兒女加入娛樂圈
[00:02:32.880 --> 00:02:36.280]  或者叫他們來選美上踏腳石
[00:02:36.280 --> 00:02:39.280]  這讓我們看到其實很多時候
[00:02:39.280 --> 00:02:42.680]  我們都很想做一個偉人的父母
[00:02:42.680 --> 00:02:45.480]  但有時候我們做父母有沒有想到
