
[00:00:00.000 --> 00:00:02.800]  好,今日同大家一齊分享一篇訊息,
[00:00:02.800 --> 00:00:05.300]  就叫「善非皆行」,
[00:00:05.300 --> 00:00:06.600]  但在我們領悟訊息之前,
[00:00:06.600 --> 00:00:08.600]  我們先來低頭,我們禱告,
[00:00:08.600 --> 00:00:11.300]  天皇懇求你自己親自來帶去幫助我們,
[00:00:11.300 --> 00:00:13.000]  讓我們能有一個敬虔的心,
[00:00:13.000 --> 00:00:15.400]  也懇求你來使用孩子今日所講的訊息,
[00:00:15.400 --> 00:00:17.100]  成為眾弟兄姊妹的幫助,
[00:00:17.100 --> 00:00:19.100]  求神的眷顧,打領日的時間,
[00:00:19.100 --> 00:00:20.800]  喬多拉奉主德聖的命。
[00:00:20.800 --> 00:00:26.400]  我們知道大衛統一了全國,
[00:00:26.400 --> 00:00:27.800]  當他統一了全國之後,
[00:00:27.800 --> 00:00:29.800]  他能夠登基作王了,
[00:00:29.800 --> 00:00:33.000]  於是他就為自己建立一個王宮,
[00:00:33.000 --> 00:00:35.800]  讓自己好好地在裡面居住,
[00:00:35.800 --> 00:00:37.800]  但是他也尊重神,
[00:00:37.800 --> 00:00:41.400]  於是他就迎接約櫃回來,
[00:00:41.400 --> 00:00:43.800]  終於經過一番波折,
[00:00:43.800 --> 00:00:46.800]  約櫃終於運到耶路撒冷了,
[00:00:46.800 --> 00:00:48.800]  但是他自己在想,
[00:00:48.800 --> 00:00:52.200]  我住的是香柏木的王宮,
[00:00:52.200 --> 00:00:57.000]  但是這個約櫃是代表了同在神的榮耀,
[00:00:57.000 --> 00:00:59.800]  但卻是放在一個空曠的地方裡面,
[00:00:59.800 --> 00:01:02.200]  找一個帳幕來包住,
[00:01:02.200 --> 00:01:05.600]  他覺得很不開心,
[00:01:05.600 --> 00:01:08.000]  為什麼神的事公,
[00:01:08.000 --> 00:01:10.000]  或者神的榮耀,
[00:01:10.000 --> 00:01:12.000]  就是這樣給我們有興奮,
[00:01:12.000 --> 00:01:14.400]  於是他就著意,
[00:01:14.400 --> 00:01:19.000]  去籌措要為神建一座聖殿,
[00:01:19.000 --> 00:01:23.000]  讓神的約櫃能夠好好的安放下去,
[00:01:23.000 --> 00:01:26.800]  這個絕對是一個善意的行動,
[00:01:26.800 --> 00:01:28.800]  但是很奇怪,
[00:01:28.800 --> 00:01:34.800]  神竟然阻止大衛來建造聖殿,
[00:01:34.800 --> 00:01:36.800]  為什麼會這樣呢?
[00:01:36.800 --> 00:01:40.800]  當中有些因素值得我們去反思,
[00:01:40.800 --> 00:01:42.800]  或者我們又要去想,
[00:01:42.800 --> 00:01:47.400]  究竟我怎樣來分辨哪些善意的事我要去做,
[00:01:47.400 --> 00:01:49.800]  哪些事我不用去做呢?
[00:01:49.800 --> 00:01:51.800]  藉著今天這篇訊息,
[00:01:51.800 --> 00:01:53.800]  希望成為我們的提醒,
[00:01:53.800 --> 00:01:56.200]  首先我們看到人的善意,
[00:01:56.200 --> 00:01:59.800]  在《撒慕爾記》第七章的第一到第三節,
[00:01:59.800 --> 00:02:01.800]  我們特別留意第一節,
[00:02:01.800 --> 00:02:03.800]  我們一起來讀出,
[00:02:03.800 --> 00:02:06.400]  「王鑄在自己宮中,
[00:02:06.400 --> 00:02:08.600]  若王鑄下安寢,
[00:02:08.600 --> 00:02:11.400]  不理四鬼的仇敵妖孽。」
[00:02:11.400 --> 00:02:13.400]  一開始神就說到,
[00:02:13.400 --> 00:02:15.400]  黎大爺去祝福大衛,
[00:02:15.400 --> 00:02:17.200]  讓他四景安寧,
[00:02:17.200 --> 00:02:18.400]  不讓他的仇敵,
[00:02:18.400 --> 00:02:20.400]  黎大爺去搞擾他,
[00:02:20.400 --> 00:02:21.600]  但是我只告訴大家,
[00:02:21.600 --> 00:02:24.000]  這是一個事後的結論,
