
[00:00:00.000 --> 00:00:08.400]  在上個星期 當分享完異象的分享會和事工發佈會之後
[00:00:08.400 --> 00:00:10.900]  突然之間有人問了一個問題
[00:00:10.900 --> 00:00:15.800]  問題是 因為上個星期是講半島事工
[00:00:15.800 --> 00:00:21.000]  半島事工 其實半島都有一堆華人教會在當中
[00:00:21.000 --> 00:00:27.500]  為什麼要繼續在半島那裡直堂呢?
[00:00:27.500 --> 00:00:30.500]  招募師就出來回答了
[00:00:30.500 --> 00:00:32.500]  我覺得回答得很好
[00:00:32.500 --> 00:00:34.500]  招募師就在那裡分享
[00:00:34.500 --> 00:00:38.000]  不單止每一間教會都有不同的特色
[00:00:38.000 --> 00:00:43.000]  每一間教會不可能是接觸所有的人
[00:00:43.000 --> 00:00:47.000]  不同的教會 不同的宗派 有不同的特色
[00:00:47.000 --> 00:00:51.000]  是能夠去接觸不同背景 不同類型的人
[00:00:51.000 --> 00:00:54.000]  這個也是會點的特色
[00:00:54.000 --> 00:01:01.000]  你們回來會點和回到中派的教會有一點不同
[00:01:01.000 --> 00:01:09.500]  我以前在德州回教會都要穿西裝 穿皮鞋
[00:01:09.500 --> 00:01:15.000]  我記得在我大學讀書的West Virginia
[00:01:15.000 --> 00:01:20.000]  我第一次回教會就沒有穿西裝
[00:01:20.000 --> 00:01:25.000]  穿恤衫 打領帶 都很隆重
[00:01:25.000 --> 00:01:29.000]  在門口已經被牧師截住了
[00:01:29.000 --> 00:01:33.000]  他說Hey son 即是小朋友
[00:01:33.000 --> 00:01:38.000]  Is this the best you dress up for Jesus?
[00:01:38.000 --> 00:01:44.000]  這個是不是你穿得最好來朝見耶穌的服飾
[00:01:44.000 --> 00:01:51.000]  下星期馬上要穿西裝 穿皮鞋回教會
[00:01:51.000 --> 00:01:53.000]  有些教會是能夠接觸到這類型的人
[00:01:53.000 --> 00:01:59.000]  但你看會點教會不是說大家穿得差
[00:01:59.000 --> 00:02:05.000]  我們在這裏都是比較舒服的
[00:02:05.000 --> 00:02:07.000]  穿得舒服的回來
[00:02:07.000 --> 00:02:13.000]  我們的文化和特色都是接觸這類型背景的人
[00:02:13.000 --> 00:02:20.000]  所以在灣區裏面不單止我們有會點特別的特色
[00:02:20.000 --> 00:02:23.000]  更加重要的是在半島裏面
[00:02:23.000 --> 00:02:27.000]  上星期回來我們的發佈會就知道
[00:02:27.000 --> 00:02:31.000]  只有13間華人教會
[00:02:31.000 --> 00:02:33.000]  可能有更多是家庭式的
[00:02:33.000 --> 00:02:34.000]  我們不知道
[00:02:34.000 --> 00:02:39.000]  但註冊了有地址的13間華人教會
[00:02:39.000 --> 00:02:44.000]  而整個半島裏面有十幾萬的中國人
[00:02:44.000 --> 00:02:47.000]  但13間華人教會裏面
[00:02:47.000 --> 00:02:52.000]  加起來都不夠一千人
[00:02:52.000 --> 00:02:55.000]  十幾萬個中國人
[00:02:55.000 --> 00:03:00.000]  但13間華人教會裏面大部份都是很小的教會
[00:03:00.000 --> 00:03:03.000]  資源很少的教會
[00:03:03.000 --> 00:03:05.000]  我們很想去接觸周圍的人
[00:03:05.000 --> 00:03:09.000]  但卻沒有那麼多的資源可以做到
[00:03:09.000 --> 00:03:13.000]  既然上帝給會點有這樣的資源
[00:03:13.000 --> 00:03:18.000]  為何我們不去將福音傳開去
[00:03:18.000 --> 00:03:20.000]  這也是我和朱牧師的盼望
[00:03:20.000 --> 00:03:23.000]  我們一直都希望將福音帶出去
[00:03:23.000 --> 00:03:24.000]  帶出去的目的
[00:03:24.000 --> 00:03:26.000]  是因為每一間教會
[00:03:26.000 --> 00:03:27.000]  我都說過
[00:03:27.000 --> 00:03:30.000]  每一間教會其實就是一個信仰的群體
[00:03:30.000 --> 00:03:32.000]  這個群體是在目的地聚集
[00:03:32.000 --> 00:03:35.000]  目的地就是要實踐大使命
[00:03:35.000 --> 00:03:37.000]  唯一一間教會不實踐大使命的
[00:03:37.000 --> 00:03:40.000]  不應該被稱為一間教會
[00:03:40.000 --> 00:03:42.000]  我們這班信徒
[00:03:42.000 --> 00:03:45.000]  我們希望做一件事
[00:03:45.000 --> 00:03:49.000]  就是叫人能夠幫助他們明白福音
[00:03:49.000 --> 00:03:51.000]  以致他們自己願意因為聖靈的感動
[00:03:51.000 --> 00:03:54.000]  以致他們能夠悔改歸向主
[00:03:54.000 --> 00:03:57.000]  因為這是上帝的應許
[00:03:57.000 --> 00:03:58.000]  在歷代之下
[00:03:58.000 --> 00:04:02.000]  大家很熟悉經文第七章第十四至十五節說
[00:04:02.000 --> 00:04:05.000]  這稱為我名下的子民
[00:04:05.000 --> 00:04:06.000]  如果我們謙卑自己
[00:04:06.000 --> 00:04:09.000]  禱告尋求上帝的面
[00:04:09.000 --> 00:04:10.000]  轉來他們的惡行
[00:04:10.000 --> 00:04:12.000]  我必從天上垂聽
[00:04:12.000 --> 00:04:13.000]  赦免他們的罪
[00:04:13.000 --> 00:04:14.000]  醫治他們的地
[00:04:14.000 --> 00:04:16.000]  我必睜眼看
[00:04:16.000 --> 00:04:20.000]  則以聽在此處所獻的禱告
[00:04:20.000 --> 00:04:25.000]  這個不單只是對信了主的人去說
[00:04:25.000 --> 00:04:28.000]  更加是對著未信主的人
[00:04:28.000 --> 00:04:34.000]  因為每一個人都是上帝看重的子女
