
[00:00:00.000 --> 00:00:02.000]  明天會平安
[00:00:02.000 --> 00:00:06.000]  祝大家聖誕快樂
[00:00:06.000 --> 00:00:08.000]  新年蒙福
[00:00:08.000 --> 00:00:11.000]  我們多數說Merry Christmas and Happy New Year
[00:00:11.000 --> 00:00:13.000]  兩樣東西放在一起
[00:00:13.000 --> 00:00:16.000]  這個星期我們都經歷了很多聚會
[00:00:16.000 --> 00:00:19.000]  有平安夜晚上的聚會
[00:00:19.000 --> 00:00:24.000]  有聖誕日的聚會
[00:00:24.000 --> 00:00:28.000]  還有今天聖誕後第一個處日
[00:00:28.000 --> 00:00:31.000]  平安夜的時候天后教師跟我們說到
[00:00:31.000 --> 00:00:33.000]  在當時黑暗的情況
[00:00:33.000 --> 00:00:35.000]  這個社會的高壓裏面
[00:00:35.000 --> 00:00:38.000]  有一班人是怎樣的?隨波逐流
[00:00:38.000 --> 00:00:41.000]  一班人是激烈的抵抗
[00:00:41.000 --> 00:00:44.000]  在這個聖誕日崇拜裏面
[00:00:44.000 --> 00:00:45.000]  陳牧師呼籲我們
[00:00:45.000 --> 00:00:48.000]  在這個環境裏面我們要有盼望
[00:00:48.000 --> 00:00:50.000]  我們要有盼望
[00:00:50.000 --> 00:00:52.000]  盼望是什麼呢?
[00:00:52.000 --> 00:00:57.000]  盼望是對可能發生的事情的一種熱情
[00:00:57.000 --> 00:01:00.000]  熱切的期望一些他想發生的事情
[00:01:00.000 --> 00:01:02.000]  但對基督徒來看
[00:01:02.000 --> 00:01:06.000]  盼望不單止是對一些可能性的出生
[00:01:06.000 --> 00:01:09.000]  盼望不是對一些possible
[00:01:09.000 --> 00:01:11.000]  一些可能出現的事情的期待
[00:01:11.000 --> 00:01:14.000]  盼望是對一些應許promise
[00:01:14.000 --> 00:01:16.000]  是對應許的那份passion
[00:01:16.000 --> 00:01:18.000]  那份熱切的期待
[00:01:18.000 --> 00:01:20.000]  是基督徒的盼望
[00:01:20.000 --> 00:01:22.000]  今天我們要看經文
[00:01:22.000 --> 00:01:25.000]  大家剛才已經有一個概略
[00:01:25.000 --> 00:01:27.000]  裏面會見到瑪麗的孩子
[00:01:27.000 --> 00:01:29.000]  就是神自己的兒子
[00:01:29.000 --> 00:01:33.000]  和舊約的制度連繫起來
[00:01:33.000 --> 00:01:35.000]  告訴我們
[00:01:35.000 --> 00:01:39.000]  他是連接著舊約的開始
[00:01:39.000 --> 00:01:41.000]  一個新的一頁
[00:01:41.000 --> 00:01:43.000]  縱然一切有難處
[00:01:43.000 --> 00:01:44.000]  有難阻
[00:01:44.000 --> 00:01:45.000]  有危險
[00:01:45.000 --> 00:01:50.000]  但神依然開啟這個歷史的新的一頁
[00:01:53.000 --> 00:01:55.000]  我們將會見到一群人
[00:01:55.000 --> 00:01:59.000]  他們圍著初生的嬰孩耶穌
[00:01:59.000 --> 00:02:04.000]  我們見到西面手抱著耶穌基督
[00:02:04.000 --> 00:02:06.000]  在那一刻
[00:02:06.000 --> 00:02:08.000]  女仙阿娜就走進來
[00:02:08.000 --> 00:02:10.000]  來清謝神
[00:02:10.000 --> 00:02:14.000]  來向當中一群等候以色列得贖的人
[00:02:14.000 --> 00:02:17.000]  他們講論神自己
[00:02:17.000 --> 00:02:21.000]  我們見到耶路撒冷裏面有一群人
[00:02:21.000 --> 00:02:24.000]  有一群不是隨波逐流的人
[00:02:24.000 --> 00:02:28.000]  有一群不是激烈抵抗的人
[00:02:28.000 --> 00:02:29.000]  有一群人
[00:02:29.000 --> 00:02:31.000]  聖經稱為愚民
[00:02:31.000 --> 00:02:33.000]  是愚下的民
[00:02:33.000 --> 00:02:37.000]  一群群體在那裏等候神自己
[00:02:37.000 --> 00:02:41.000]  他們心裏要活出這份盼望
[00:02:41.000 --> 00:02:44.000]  這群人可能唱著盼望之歌
